ROWID	_Effect|INTEGER	_EffectValue|INTEGER	_MinLevel|INTEGER	_MaxLevel|INTEGER	_Explanation|INTEGER
1	388	100	90	95	1000102000
2	388	100	90	95	1000102000
3	388	100	90	90	1000102001
4	388	90	90	90	1000102002
5	388	110	90	90	1000102003
6	255	100	70	90	1000102004
7	255	100	80	90	1000102005
8	255	100	90	90	1000102006
9	255	90	90	90	1000102007
10	255	110	90	90	1000102008
11	9	10000	1	90	1000102022
12	9	20000	1	90	1000102023
13	9	30000	1	90	1000102024
14	9	40000	1	90	1000102025
15	9	50000	1	90	1000102026
16	9	60000	1	90	1000102027
17	9	70000	1	90	1000102028
18	9	80000	1	90	1000102029
19	9	90000	1	90	1000102030
20	9	100000	1	90	1000102031
