ROWID	_Activate|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_AchieveIcon|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_GainCheckType|BOOLEAN	_AchieveCheckType|BOOLEAN	_MailID|INTEGER
1	1	1000053214	{1000000002}	4	19	9	200104	0	9	104	0	0	0	0	0	0	0	0	0	0	false	true	1501
2	1	1000053215	{2371},{1000000841}	4	3	3	53	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
3	1	1000053216	{1000000841}	4	3	3	53	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
4	1	1000053214	{1000000019}	4	19	9	200169	0	9	169	0	0	0	0	0	0	0	0	0	0	false	true	1501
5	1	1000053215	{2371},{1000000844}	4	3	3	68	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
6	1	1000053217	{1000000844},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
7	1	1000053218	{1000000009}	4	19	9	200129	0	9	129	0	0	0	0	0	0	0	0	0	0	false	true	1501
8	1	1000053219	{2371},{1000000842}	4	3	3	58	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
9	1	1000053220	{1000000842},30	4	3	3	58	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
10	1	1000053218	{1000000022}	4	19	9	200187	0	9	187	0	0	0	0	0	0	0	0	0	0	false	true	1501
11	1	1000053219	{2371},{1000000845}	4	3	3	73	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
12	1	1000053216	{1000000845}	4	3	3	73	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
13	1	1000053218	{1000004729}	4	19	9	200472	0	9	472	0	0	0	0	0	0	0	0	0	0	false	true	1501
14	1	1000053219	{2371},{1000000857}	4	3	3	144	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
15	1	1000053217	{1000000857},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
16	1	1000053218	{1000000015}	4	19	9	200148	0	9	148	0	0	0	0	0	0	0	0	0	0	false	true	1501
17	1	1000053215	{2371},{1000000843}	4	3	3	64	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
18	1	1000053220	{1000000843},30	4	3	3	64	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
19	1	1000053214	{1000000105}	4	19	9	200492	0	9	492	0	0	0	0	0	0	0	0	0	0	false	true	1501
20	1	1000053215	{2371},{1000000858}	4	3	3	149	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
21	1	1000053216	{1000000858}	4	3	3	149	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
22	1	1000053214	{1000000064}	4	19	9	200371	0	9	371	0	0	0	0	0	0	0	0	0	0	false	true	1501
23	1	1000053215	{2371},{1000000852}	4	3	3	119	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
24	1	1000053217	{1000000852},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
25	1	1000053218	{1000000122}	4	19	9	200612	0	9	612	0	0	0	0	0	0	0	0	0	0	false	true	1501
26	1	1000053215	{2371},{1000000861}	4	3	3	174	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
27	1	1000053220	{1000000861},30	4	3	3	174	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
28	1	1000053214	{1000000056}	4	19	9	200350	0	9	350	0	0	0	0	0	0	0	0	0	0	false	true	1501
29	1	1000053215	{2371},{1000000851}	4	3	3	114	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
30	1	1000053216	{1000000851}	4	3	3	114	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
31	1	1000053214	{1000005248}	4	19	9	200450	0	9	450	0	0	0	0	0	0	0	0	0	0	false	true	1501
32	1	1000053215	{2371},{1000000856}	4	3	3	139	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
33	1	1000053217	{1000000856},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
34	1	1000053218	{1000000034}	4	19	9	200248	0	9	248	0	0	0	0	0	0	0	0	0	0	false	true	1501
35	1	1000053215	{2371},{1000000847}	4	3	3	88	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
36	1	1000053220	{1000000847},30	4	3	3	88	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
37	1	1000053214	{1000000045}	4	19	9	200306	0	9	306	0	0	0	0	0	0	0	0	0	0	false	true	1501
38	1	1000053215	{2371},{1000051529}	4	3	3	103	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
39	1	1000053216	{1000051529}	4	3	3	103	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
40	1	1000053214	{1000032290}	4	19	9	200332	0	9	332	0	0	0	0	0	0	0	0	0	0	false	true	1501
41	1	1000053215	{2371},{1000008276}	4	3	3	107	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
42	1	1000053217	{1000008276},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
