ROWID	_Name1|TEXT	_FaceID1|INTEGER	_Name2|TEXT	_FaceID2|INTEGER	_Name3|TEXT	_FaceID3|INTEGER	_Name4|TEXT	_FaceID4|INTEGER	_Name5|TEXT	_FaceID5|INTEGER	_Name6|TEXT	_FaceID6|INTEGER	_Name7|TEXT	_FaceID7|INTEGER	_Name8|TEXT	_FaceID8|INTEGER	_Name9|TEXT	_FaceID9|INTEGER	_Name10|TEXT	_FaceID10|INTEGER	_Name11|TEXT	_FaceID11|INTEGER	_Name12|TEXT	_FaceID12|INTEGER	_Name13|TEXT	_FaceID13|INTEGER	_Name14|TEXT	_FaceID14|INTEGER	_Name15|TEXT	_FaceID15|INTEGER	_Name16|TEXT	_FaceID16|INTEGER	_Name17|TEXT	_FaceID17|INTEGER	_Name18|TEXT	_FaceID18|INTEGER	_Name19|TEXT	_FaceID19|INTEGER	_Name20|TEXT	_FaceID20|INTEGER	_Name21|TEXT	_FaceID21|INTEGER	_Name22|TEXT	_FaceID22|INTEGER	_Name23|TEXT	_FaceID23|INTEGER	_Name24|TEXT	_FaceID24|INTEGER	_Name25|TEXT	_FaceID25|INTEGER	_Name26|TEXT	_FaceID26|INTEGER	_Name27|TEXT	_FaceID27|INTEGER	_Name28|TEXT	_FaceID28|INTEGER	_Name29|TEXT	_FaceID29|INTEGER	_Name30|TEXT	_FaceID30|INTEGER	_Name31|TEXT	_FaceID31|INTEGER	_Name32|TEXT	_FaceID32|INTEGER	_Name33|TEXT	_FaceID33|INTEGER	_Name34|TEXT	_FaceID34|INTEGER	_Name35|TEXT	_FaceID35|INTEGER	_Name36|TEXT	_FaceID36|INTEGER	_Name37|TEXT	_FaceID37|INTEGER	_Name38|TEXT	_FaceID38|INTEGER	_Name39|TEXT	_FaceID39|INTEGER	_Name40|TEXT	_FaceID40|INTEGER	_Name41|TEXT	_FaceID41|INTEGER	_Name42|TEXT	_FaceID42|INTEGER	_Name43|TEXT	_FaceID43|INTEGER	_Name44|TEXT	_FaceID44|INTEGER	_Name45|TEXT	_FaceID45|INTEGER	_Name46|TEXT	_FaceID46|INTEGER	_Name47|TEXT	_FaceID47|INTEGER	_Name48|TEXT	_FaceID48|INTEGER	_Name49|TEXT	_FaceID49|INTEGER	_Name50|TEXT	_FaceID50|INTEGER	_UseMaskTexture|BOOLEAN
1	Warrior	1	Flicker	1000	Serious	1001	Pain	1002	Laugh	1003	Sad	1004	Shout	1005	Surprise	1006	Sleep	1007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2	Archer	100	Flicker	2000	Serious	2001	Pain	2002	Laugh	2003	Sad	2004	Shout	2005	Surprise	2006	Sleep	2007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3	Soceress	200	Flicker	3000	Serious	3001	Pain	3002	Laugh	3003	Sad	3004	Shout	3005	Surprise	3006	Sleep	3007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4	Cleric	300	Flicker	4000	Serious	4001	Pain	4002	Laugh	4003	Sad	4004	Shout	4005	Surprise	4006	Sleep	4007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5	Academic	400	Flicker	5000	Serious	5001	Pain	5002	Laugh	5003	Sad	5004	Shout	5005	Surprise	5006	Sleep	5007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
6	Kali	500	Flicker	6000	Serious	6001	Pain	6002	Laugh	6003	Sad	6004	Shout	6005	Surprise	6006	Sleep	6007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
7	Assassin	600	Flicker	7000	Serious	7001	Pain	7002	Laugh	7003	Sad	7004	Shout	7005	Surprise	7006	Sleep	7007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
8	Lencea	700	Flicker	8000	Serious	8001	Pain	8002	Laugh	8003	Sad	8004	Shout	8005	Surprise	8006	Sleep	8007		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
9	Machina	800	Flicker	9001	Serious	9002	Pain	9003	Laugh	9004	Sad	9005	Shout	9006	Surprise	9007	Sleep	9008		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
201	Vandar	101001	Flicker	101020	Serious	101021	Pain	101022	Laugh	101023	Sad	101024	Shout	101025	Surprise	101026	Sleep	101027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000001	Warrior	2	Flicker	1020	Serious	1021	Pain	1022	Laugh	1023	Sad	1024	Shout	1025	Surprise	1026	Sleep	1027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000002	Warrior	3	Flicker	1040	Serious	1041	Pain	1042	Laugh	1043	Sad	1044	Shout	1045	Surprise	1046	Sleep	1047		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000003	Warrior	4	Flicker	1060	Serious	1061	Pain	1062	Laugh	1063	Sad	1064	Shout	1065	Surprise	1066	Sleep	1067		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000004	Warrior	5	Flicker	1080	Serious	1081	Pain	1082	Laugh	1083	Sad	1084	Shout	1085	Surprise	1086	Sleep	1087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
