ROWID	_MapType|INTEGER	_MapID|INTEGER	_Difficulty|INTEGER	_MapName|INTEGER	_MissionName|INTEGER
1	2	16224	4	7973	0
2	3	16225	4	1000064186	0
3	3	16202	4	1000055496	0
4	3	16226	4	1000064187	0
5	3	16204	4	1000055498	0
6	3	16205	4	1000055499	0
7	3	16206	4	1000055500	0
8	3	16207	4	1000055501	0
9	3	16208	4	1000055502	0
10	3	16227	4	1000064188	0
11	3	16210	4	1000055504	0
12	3	16228	4	1000064189	0
13	3	16212	4	1000055506	0
14	3	16213	4	1000055507	0
15	3	16214	4	1000055508	0
16	3	16215	4	1000055509	0
17	3	16216	4	1000055510	0
18	3	16217	4	1000055511	0
19	3	16218	4	1000055512	0
20	3	16219	4	1000055513	0
21	3	16220	4	1000055514	0
22	3	16221	4	1000055515	0
23	3	16222	4	1000055516	0
24	3	16223	4	1000055517	0
