ROWID	_Type|INTEGER	_ScaleType|INTEGER	_Grade|INTEGER	_Compensation1|INTEGER	_CompensationValue1|INTEGER	_Compensation2|INTEGER	_CompensationValue2|INTEGER	_Compensation3|INTEGER	_CompensationValue3|INTEGER	_Compensation4|INTEGER	_CompensationValue4|INTEGER
1	0	0	1	268470095	1	268443239	1	0	0	0	0
2	0	0	2	268475077	1	268443239	1	0	0	0	0
3	0	0	3	268474996	1	268443239	1	0	0	0	0
4	0	0	4	268474998	1	268443239	1	0	0	0	0
5	0	0	5	268475078	1	268443239	1	0	0	0	0
6	0	0	6	268475079	1	268443240	1	0	0	0	0
7	0	0	7	268475080	1	268443240	1	0	0	0	0
8	0	0	8	268475081	1	268443240	1	0	0	0	0
9	0	0	9	268475003	1	268443240	1	0	0	0	0
10	0	0	10	268470093	1	268443240	1	0	0	0	0
11	0	1	1	268470095	1	268443239	1	0	0	0	0
12	0	1	2	268475077	1	268443239	1	0	0	0	0
13	0	1	3	268474996	1	268443239	1	0	0	0	0
14	0	1	4	268474998	1	268443239	1	0	0	0	0
15	0	1	5	268475078	1	268443239	1	0	0	0	0
16	0	1	6	268475079	1	268443240	1	0	0	0	0
17	0	1	7	268475080	1	268443240	1	0	0	0	0
18	0	1	8	268475081	1	268443240	1	0	0	0	0
19	0	1	9	268475003	1	268443240	1	0	0	0	0
20	0	1	10	268470093	1	268443240	1	0	0	0	0
21	1	0	1	805307585	1	268443239	1	0	0	0	0
22	1	0	2	805307586	1	268443239	1	0	0	0	0
23	1	0	3	805307587	1	268443239	1	0	0	0	0
