ROWID	_State1|INTEGER	_StateValue1|TEXT	_State2|INTEGER	_StateValue2|TEXT	_State3|INTEGER	_StateValue3|TEXT	_State4|INTEGER	_StateValue4|TEXT	_State5|INTEGER	_StateValue5|TEXT	_State6|INTEGER	_StateValue6|TEXT	_State7|INTEGER	_StateValue7|TEXT	_State8|INTEGER	_StateValue8|TEXT	_State9|INTEGER	_StateValue9|TEXT	_State10|INTEGER	_StateValue10|TEXT
1	25	10	-1		-1		-1		-1		-1		-1		-1		-1		-1	
2	25	30	-1		-1		-1		-1		-1		-1		-1		-1		-1	
3	25	44	-1		-1		-1		-1		-1		-1		-1		-1		-1	
4	25	10	12	10	-1		-1		-1		-1		-1		-1		-1		-1	
5	25	1004	-1		-1		-1		-1		-1		-1		-1		-1		-1	
6	25	104	4	104	5	104	-1		-1		-1		-1		-1		-1		-1	
7	25	104	6	104	7	104	-1		-1		-1		-1		-1		-1		-1	
8	25	104	12	104	-1		-1		-1		-1		-1		-1		-1		-1	
9	25	104	103	104	-1		-1		-1		-1		-1		-1		-1		-1	
10	25	104	8	104	-1		-1		-1		-1		-1		-1		-1		-1	
11	25	104	9	104	-1		-1		-1		-1		-1		-1		-1		-1	
12	6	10	7	10	-1		-1		-1		-1		-1		-1		-1		-1	
13	6	15	7	15	-1		-1		-1		-1		-1		-1		-1		-1	
14	6	20	7	20	-1		-1		-1		-1		-1		-1		-1		-1	
15	6	25	7	25	-1		-1		-1		-1		-1		-1		-1		-1	
16	6	30	7	30	-1		-1		-1		-1		-1		-1		-1		-1	
17	6	50	7	50	-1		-1		-1		-1		-1		-1		-1		-1	
18	9	10	-1		-1		-1		-1		-1		-1		-1		-1		-1	
19	9	20	-1		-1		-1		-1		-1		-1		-1		-1		-1	
20	6	100	7	100	4	100	5	100	8	50	9	50	-1		-1		-1		-1	
21	6	1	7	1	4	1	5	1	-1		-1		-1		-1		-1		-1	
22	6	7	7	7	4	7	5	7	-1		-1		-1		-1		-1		-1	
23	4	10	5	10	-1		-1		-1		-1		-1		-1		-1		-1	
24	4	10	5	10	6	90	7	90	-1		-1		-1		-1		-1		-1	
25	4	15	5	15	-1		-1		-1		-1		-1		-1		-1		-1	
26	4	20	5	20	-1		-1		-1		-1		-1		-1		-1		-1	
27	4	25	5	25	-1		-1		-1		-1		-1		-1		-1		-1	
28	4	30	5	30	6	30	7	30	-1		-1		-1		-1		-1		-1	
29	4	30	5	30	-1		-1		-1		-1		-1		-1		-1		-1	
30	4	44	5	44	6	44	7	44	-1		-1		-1		-1		-1		-1	
31	4	50	5	50	-1		-1		-1		-1		-1		-1		-1		-1	
32	4	50	5	50	6	50	7	50	-1		-1		-1		-1		-1		-1	
33	4	77	5	77	6	77	7	77	-1		-1		-1		-1		-1		-1	
34	4	90	5	90	6	10	7	10	-1		-1		-1		-1		-1		-1	
35	4	99	5	99	6	99	7	99	-1		-1		-1		-1		-1		-1	
36	4	100	5	100	6	100	7	100	-1		-1		-1		-1		-1		-1	
37	8	10	-1		-1		-1		-1		-1		-1		-1		-1		-1	
38	8	20	-1		-1		-1		-1		-1		-1		-1		-1		-1	
39	8	30	9	30	-1		-1		-1		-1		-1		-1		-1		-1	
40	12	10	103	30	-1		-1		-1		-1		-1		-1		-1		-1	
41	12	10	-1		-1		-1		-1		-1		-1		-1		-1		-1	
42	12	20	-1		-1		-1		-1		-1		-1		-1		-1		-1	
43	12	30	103	30	-1		-1		-1		-1		-1		-1		-1		-1	
44	12	30	-1		-1		-1		-1		-1		-1		-1		-1		-1	
45	12	44	-1		-1		-1		-1		-1		-1		-1		-1		-1	
46	12	44	103	44	-1		-1		-1		-1		-1		-1		-1		-1	
47	12	50	-1		-1		-1		-1		-1		-1		-1		-1		-1	
48	12	70	-1		-1		-1		-1		-1		-1		-1		-1		-1	
49	12	100	-1		-1		-1		-1		-1		-1		-1		-1		-1	
50	12	150	103	150	-1		-1		-1		-1		-1		-1		-1		-1	
51	103	10	-1		-1		-1		-1		-1		-1		-1		-1		-1	
52	103	20	-1		-1		-1		-1		-1		-1		-1		-1		-1	
53	103	30	-1		-1		-1		-1		-1		-1		-1		-1		-1	
54	103	44	-1		-1		-1		-1		-1		-1		-1		-1		-1	
55	103	70	-1		-1		-1		-1		-1		-1		-1		-1		-1	
56	103	100	-1		-1		-1		-1		-1		-1		-1		-1		-1	
57	54	0.004	55	0.004	56	0.004	57	0.004	-1		-1		-1		-1		-1		-1	
58	4	900	5	900	6	900	7	900	0	90	1	90	2	90	-1		-1		-1	
59	29	1000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
60	4	2500	5	2500	6	2500	7	2500	12	2500	103	2500	-1		-1		-1		-1	
61	12	800	103	800	-1		-1		-1		-1		-1		-1		-1		-1	
62	8	400	9	400	-1		-1		-1		-1		-1		-1		-1		-1	
63	4	800	5	800	6	800	7	800	-1		-1		-1		-1		-1		-1	
64	12	1000	103	1000	0	200	1	200	2	200	-1		-1		-1		-1		-1	
65	4	802	5	802	6	802	7	802	12	802	103	802	-1		-1		-1		-1	
66	12	99	103	99	-1		-1		-1		-1		-1		-1		-1		-1	
67	12	1	103	1	-1		-1		-1		-1		-1		-1		-1		-1	
