ROWID	_Level|INTEGER	_Grade|INTEGER	_Prob|INTEGER	_AssignmentName|INTEGER	_Time|INTEGER	_MercenaryExp|INTEGER	_MainReward|INTEGER	_MainCount|INTEGER	_Reward1|INTEGER	_Reward2|INTEGER	_Reward3|INTEGER	_Reward4|INTEGER	_Reward5|INTEGER	_Count1|INTEGER	_Count2|INTEGER	_Count3|INTEGER	_Count4|INTEGER	_Count5|INTEGER	_SuggestMercenary|INTEGER	_Image|TEXT
1	10	2	268	1000096430	360	590769	268483987	2	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_361.jpg
2	10	2	268	1000096431	10	295385	0	0	0	0	0	0	0	0	0	0	0	0	1004	Loading_5-1A.jpg
3	10	2	268	1000096432	720	1063385	268483987	3	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_14011.jpg
4	10	2	268	1000096433	720	1063385	268483987	3	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_14011.jpg
5	10	2	268	1000096434	720	1063385	268483987	3	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_14011.jpg
6	10	2	268	1000096435	720	1063385	268483987	3	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_14011.jpg
7	10	2	268	1000096436	180	561231	268483987	2	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_351.jpg
8	10	2	268	1000096437	720	1063385	268483987	3	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_14085.jpg
9	10	2	268	1000096438	720	1063385	268483987	3	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_14085.jpg
10	10	2	268	1000096439	60	472615	268483987	1	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_141.jpg
11	10	2	268	1000096440	180	561231	268483987	2	1073750029	268466189	268466749	805309845	805309846	1	1	1	1	1	1004	Loading_HermaltePort_New.jpg
12	10	2	268	1000096431	10	295385	0	0	0	0	0	0	0	0	0	0	0	0	1005	Loading_5-1A.jpg
13	10	2	268	1000096431	10	295385	0	0	0	0	0	0	0	0	0	0	0	0	1005	Loading_2-1A.jpg
14	10	2	268	1000096431	10	295385	0	0	0	0	0	0	0	0	0	0	0	0	1005	Loading_4-1A.jpg
