ROWID	_SkillIndex|INTEGER	_SkillLevel|INTEGER	_EffectClassValue1|TEXT	_EffectClassValue1Duration|INTEGER	_EffectClassValue2|TEXT	_EffectClassValue2Duration|INTEGER	_EffectClassValue3|TEXT	_EffectClassValue3Duration|INTEGER	_EffectClassValue4|TEXT	_EffectClassValue4Duration|INTEGER	_EffectClassValue5|TEXT	_EffectClassValue5Duration|INTEGER	_LevelLimit|INTEGER	_DelayTime|INTEGER	_AddRange|INTEGER	_NeedItem|INTEGER	_NeedItemDecreaseCount|INTEGER	_DecreaseHP|INTEGER	_DecreaseSP|INTEGER	_SkillExplanationID|INTEGER	_SkillExplanationIDParam|TEXT	_StateEffectTableID|TEXT	_CanUseParam1|TEXT	_CanUseParam2|TEXT	_CanUseParam3|TEXT	_CanUseParam4|TEXT	_CanUseParam5|TEXT	_CanUseParam6|TEXT	_CanUseParam7|TEXT	_CanUseParam8|TEXT	_CanUseParam9|TEXT	_CanUseParam10|TEXT	_ProcessParam1|TEXT	_ProcessParam2|TEXT	_ProcessParam3|TEXT	_ProcessParam4|TEXT	_ProcessParam5|TEXT	_ProcessParam6|TEXT	_ProcessParam7|TEXT	_ProcessParam8|TEXT	_ProcessParam9|TEXT	_ProcessParam10|TEXT	_AddThreat|INTEGER	_ApplyTargetType|INTEGER	_HPConsumeType|DOUBLE	_SPConsumeType|DOUBLE	_NeedSkillPoint|INTEGER	_CPScore|INTEGER	_StartSuperArmor|DOUBLE	_StartCanHit|BOOLEAN	_ApplyType|INTEGER	_DecreaseTIC|INTEGER	_TICConsumeType|INTEGER	__SummonMonsterID|INTEGER	_SummonMonsterPosition|TEXT	_EffectClassValue6|TEXT	_EffectClassValue6Duration|INTEGER	_EffectClassValue7|TEXT	_EffectClassValue7Duration|INTEGER	_GuildSkillAlarmID|INTEGER	_GuildSkillAlarmIDParam|TEXT
1626612801	250001	1	0.2	12000	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	1000065687	12.0,80	420	0	0	0	0	0	0	0	0	0	0	GuildSkill_TimeExelation	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	290	0	0	0	0	0	0	0	1000003334	
1626612865	250002	1	60000	20000	0.525	20000	0.525	20000	0	0	0	0	0	1000	0	0	0	0	0	1000032943	20,47.5%	101	0	0	0	0	0	0	0	0	0	0	GuildSkill_IronSkin	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	200	0	0	0	0	0	0	0	1000031473	
1626612929	250003	1	0.4	60000	0.2	60000	0	0	0	0	0	0	0	1000	0	0	0	0	0	1000089954	60,40,20	206	0	0	0	0	0	0	0	0	0	0	GuildSkill_SpiritBoost	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	200	0	0	0	0	0	0	0	1000003295	
1626612993	250004	1	15	30000	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	1000032945	15,1,30	108	0	0	0	0	0	0	0	0	0	0	GuildSkill_HighLander	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	290	0	0	0	0	0	0	0	1000017336	
1626613057	250005	1	0.7	60000	0.7	60000	0	0	0	0	0	0	0	1000	0	0	0	0	0	1000032946	{1000008038},{1000008039},30,30,60	418	0	0	0	0	0	0	0	0	0	0	GuildSkill_ProtectionShell	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	80	0	0	0	0	0	0	0	1000004128	
1626613121	250006	1	0.22	60000	0.22	60000	0	0	0	0	0	0	0	1000	0	0	0	0	0	1000032947	{5018},{5019},{5018},22.0,{5019},22.0,60	417	0	0	0	0	0	0	0	0	0	0	GuildSkill_Striking	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	80	0	0	0	0	0	0	0	1000002645	
1626613185	250007	1	0.2	60000	0.2	60000	0	0	0	0	0	0	0	1000	0	0	0	0	0	1000032949	{1000003802},{1000003804},{1000006344},20,{1000003804},20,60	416	0	0	0	0	0	0	0	0	0	0	GuildSkill_BlessOfLight	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	80	0	0	0	0	0	0	0	1000003375	
1626613249	250008	1	0.2	40000	60000	40000	0.7	40000	0.7	40000	0.4	40000	0	180000	0	0	0	0	0	1000032948	40,30,80,20,40	1016	0	0	0	0	0	0	0	0	0	0	GuildSkill_DemiGod	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	800	0	0	0	0.2	40000	0	0	1000030441	
1626613313	250009	1	0	0	0	0	0	0	0	0	0	0	0	300000	0	0	0	0	0	1000032416	60	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_OperatePortal	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	430	0	0	0	0	0	0	0	1000031474	
1626613377	250010	1	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	1000031421	20,90	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_DefenseUp	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	450	0	0	0	0	0	0	0	1000031475	
1626613441	250011	1	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	1000091078	60,25,6	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_SummonTrebuchet_Chaos	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	310	0	0	0;0;2		0		0	1000031476	
1626613505	250012	1	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	1000032421	60,20	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_SummonBallista_Chaos	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	280	0	0	0;0;2	0	0	0	0	1000031477	
1626613569	250013	1	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	1000091078	60,25,6	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_SummonTrebuchet_Cosmos	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	310	0	0	0;0;2		0		0	1000031476	
1626613633	250014	1	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	1000032421	60,20	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_SummonBallista_Cosmos	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	280	0	0	0;0;2	0	0	0	0	1000031477	
1626613697	250015	1	0	20000	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	1000031384	20	0	0	0	0	0	0	0	0	0	0	0	GuildSkill_Radar	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1	0	0.0	true	0	30	0	0	0	0	0	0	0	1000031478	
