ROWID	_Season|INTEGER	_TileType1|INTEGER	_TileType2|INTEGER	_Value|INTEGER	_TileName|INTEGER	_ContentsType|INTEGER
1	9	2	1	15	1000118924	1
2	9	0	0	10	1000118931	1
3	9	0	0	30	1000118931	1
4	9	1	1	8	1000118932	1
5	9	1	2	120	1000118933	1
6	9	0	0	30	1000118931	1
7	9	0	0	10	1000118931	1
8	9	1	2	150	1000118933	1
9	9	0	0	20	1000118931	1
10	9	1	1	13	1000118932	1
11	9	1	1	8	1000118932	1
12	9	0	0	50	1000118931	1
13	9	0	0	10	1000118931	1
14	9	1	1	10	1000118932	1
15	9	0	0	20	1000118931	1
16	9	0	0	30	1000118931	1
17	9	0	0	50	1000118931	1
18	9	1	2	100	1000118933	1
19	9	1	1	10	1000118932	1
20	9	0	0	30	1000118931	1
