ROWID	_OffsetWidth|INTEGER	_OffsetHeight|INTEGER	_OffsetMinZoom|INTEGER	_OffsetMaxZoom|INTEGER
1	35	70	100	300
2	50	150	700	1000
3	180	180	200	250
4	200	20	150	160
5	210	30	50	120
6	220	60	30	70
7	30	180	1100	1300
8	60	100	370	700
9	35	70	670	1000
10	89	82	210	540
101	0	70	500	830
102	0	70	500	830
103	0	200	1000	1330
104	0	85	70	400
105	0	85	70	400
106	0	85	300	630
107	0	85	300	630
108	0	85	70	400
109	0	85	70	400
110	0	85	70	400
111	0	85	70	400
112	0	85	70	400
113	0	85	70	400
114	0	200	1000	1330
115	0	85	300	630
116	0	85	300	630
117	0	85	70	400
118	0	100	300	630
119	0	85	70	400
120	0	85	70	400
121	0	180	400	730
122	0	200	1000	1330
123	0	85	70	400
124	0	100	300	630
125	0	150	300	630
126	0	120	300	630
127	0	85	70	400
128	0	200	1000	1330
129	0	85	70	400
130	0	200	1000	1330
131	0	200	1000	1330
132	0	120	300	630
133	0	200	1000	1330
134	35	70	100	403
135	0	85	70	400
136	0	85	70	400
137	0	170	490	820
138	0	85	70	400
139	0	85	70	400
140	0	85	70	400
141	0	120	550	880
142	0	120	300	630
143	0	200	700	1030
144	0	85	70	400
145	0	140	420	750
146	0	160	500	830
147	0	85	70	400
148	0	120	300	630
149	0	85	70	400
150	0	85	70	400
151	0	85	70	400
152	0	85	70	400
153	0	305	1100	1430
154	0	160	400	730
155	0	85	70	400
156	0	85	70	400
157	0	85	70	400
158	35	70	100	600
159	35	70	100	600
160	35	85	150	660
10000	0	62	550	880
10001	0	62	550	880
10002	35	70	100	300
