ROWID	_Type|INTEGER	_AllowMapTypes|INTEGER	_Show|INTEGER	_Window|INTEGER	_SN01|INTEGER	_SN02|INTEGER	_SN03|INTEGER	_SN04|INTEGER	_SN05|INTEGER	_SN06|INTEGER	_SN07|INTEGER	_SN08|INTEGER	_SN09|INTEGER	_SN10|INTEGER
1	0	1	0	0	300000007	300000025	300000026	0	0	0	0	0	0	0
2	1	1	1	0	300000003	300000029	300000030	0	0	0	0	0	0	0
3	2	-1	1	0	1300131	0	0	0	0	0	0	0	0	0
4	3	1	1	0	1300132	1300133	0	0	0	0	0	0	0	0
5	4	1	1	0	1300134	1300135	0	0	0	0	0	0	0	0
6	5	1	0	0	0	0	0	0	0	0	0	0	0	0
7	6	1	1	0	1320015	0	0	0	0	0	0	0	0	0
8	7	1	1	1	1300136	0	0	0	0	0	0	0	0	0
9	9	1	0	0	0	0	0	0	0	0	0	0	0	0
10	10	1	0	0	0	0	0	0	0	0	0	0	0	0
11	11	1	1	0	1300139	1300138	0	0	0	0	0	0	0	0
12	8	1	0	1	300000023	300000047	0	0	0	0	0	0	0	0
13	12	1	1	0	1320015	0	0	0	0	0	0	0	0	0
14	13	-1	0	0	0	0	0	0	0	0	0	0	0	0
15	14	1	1	0	1300140	0	0	0	0	0	0	0	0	0
16	21	1	0	0	1300138	0	0	0	0	0	0	0	0	0
17	23	1	1	0	1300228	1300229	1300230	0	0	0	0	0	0	0
