ROWID	_SN|INTEGER	_Category|INTEGER	_SubCategory|INTEGER	_NameID|INTEGER	_DescriptionID|INTEGER	_ItemID01|INTEGER	_ItemID02|INTEGER	_ItemID03|INTEGER	_ItemID04|INTEGER	_ItemID05|INTEGER	_LinkSN01|INTEGER	_LinkSN02|INTEGER	_LinkSN03|INTEGER	_LinkSN04|INTEGER	_LinkSN05|INTEGER	_Period|INTEGER	_VIPSell|BOOLEAN	_VIPLevel|INTEGER	_Pay|BOOLEAN	_PaySale|INTEGER	_Price|INTEGER	_Count|INTEGER	_Priority|INTEGER	_OnSale|BOOLEAN	_State|INTEGER	_Limit|BOOLEAN	_ReserveGive|BOOLEAN	_Reserve|INTEGER	_validity|TEXT	_ReserveAble|BOOLEAN	_PresentAble|BOOLEAN	_ItemSort|INTEGER	_PriceFix|INTEGER	_CartAble|BOOLEAN	_KeyLinkSN|INTEGER	_OnSaleREAL|BOOLEAN	_SNDACash|BOOLEAN	_3rdCash|BOOLEAN	_VIPPoint|INTEGER	_SNJPN|TEXT	_SyncDate|TEXT	_OverlapBuy|INTEGER	_NoRefund|BOOLEAN	_CreditAble|BOOLEAN	_CreditAbleLV|INTEGER	_UseCoupon|BOOLEAN	_ShowBanner|INTEGER	_CashAble|BOOLEAN	_SeedAble|BOOLEAN	_Seed|INTEGER	_SeedGive|BOOLEAN	_StateDuplicate|TEXT	_IsHiddenCashShop|BOOLEAN	_PeriodType|INTEGER	_buylevel|INTEGER	_DolisPackageAble|BOOLEAN	_TooltipCharmNum|TEXT
910000159	910000159	0	0	1000089915	1000089916	1073909527	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	true	
910000160	910000160	0	0	1000089915	1000089916	1073909528	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	true	
910000161	910000161	0	0	1000149393	1000149395	805311915	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	true	
910000162	910000162	0	0	1000149394	1000149425	805311916	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	true	
910000163	910000163	0	0	1000154633	1000154634	1073912570	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	true	
910000713	910000713	0	0	1000142989	1000142990	1073907498	0	0	0	0	0	0	0	0	0	14	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	3	0	false	
910000714	910000714	0	0	7105	1000156852	1073914936	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	true	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000715	910000715	0	0	1000155068	1000155069	1073914960	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000716	910000716	0	0	1000043915	1000086455	805307014	0	0	0	0	0	0	0	0	0	7	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	3	0	false	
910000717	910000717	0	0	1000161494	1000161495	805307374	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000718	910000718	0	0	1000156557	1000159649	1073914392	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000719	910000719	0	0	1000156558	1000159650	1073914393	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000720	910000720	0	0	1000156559	1000159651	1073914394	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000721	910000721	0	0	1000161739	1000062159	1073915178	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000722	910000722	0	0	1000161923	1000161925	1073915232	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000723	910000723	0	0	1000161924	1000161926	1073915233	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000724	910000724	0	0	1000157473	1000157474	805312326	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000725	910000725	0	0	1000156924	1000156928	805312369	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000726	910000726	0	0	1000156925	1000156929	805312370	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000727	910000727	0	0	1000156926	1000156930	805312371	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000728	910000728	0	0	1000162166	1000162170	1073915601	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000729	910000729	0	0	1000162167	1000162171	1073915602	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000730	910000730	0	0	1000162168	1000162172	1073915603	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000731	910000731	0	0	1000162169	1000162173	1073915604	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000732	910000732	0	0	1000162226	1000162227	1073915605	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000733	910000733	0	0	1000115260	1000114898	1073888728	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	20	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000734	910000734	0	0	1000121900	1000121901	1073897604	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000735	910000735	0	0	1000021444	1000129884	872915253	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	6000	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000736	910000736	0	0	1000137458	1000148024	536880273	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	5	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000737	910000737	0	0	1000105094	1000054010	1073915610	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000738	910000738	0	0	1000162410	1000107033	805312439	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	false	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000739	910000739	0	0	1000115297	1000115298	805312468	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000740	910000740	0	0	1000102570	1000163351	805312469	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000741	910000741	0	0	1000104154	1000104155	805312470	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000742	910000742	0	0	1000104152	1000163352	805312471	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000743	910000743	0	0	1000107220	1000107221	805312472	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000744	910000744	0	0	1000102718	1000163353	805312473	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000745	910000745	0	0	1000097341	1000097345	805312474	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000746	910000746	0	0	1000097342	1000097346	805312475	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000747	910000747	0	0	1000097343	1000097347	805312476	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000748	910000748	0	0	1000128407	1000163354	805312477	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000749	910000749	0	0	1000128408	1000163355	805312478	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000750	910000750	0	0	1000128409	1000163356	805312479	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000751	910000751	0	0	1000121063	1000163357	805312480	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	0	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
910000752	910000752	0	0	1000163349	1000163350	805312481	0	0	0	0	0	0	0	0	0	-1	false	0	false	0	0	1	0	false	0	false	false	0	0	false	false	1	0	false	0	true	true	true	0			0	false	false	0	false	0	true	false	0	false		false	0	0	false	
