ROWID	_Type|INTEGER	_ExchangeType|INTEGER	_Rank|INTEGER	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_Group|INTEGER	_EnchantLevel|INTEGER	_DisjointDrop|INTEGER
1	1	26	4	1073914928	950000000	1	1073914928	50000000	2	0	0	0	0	0	0	0	0	0	1	0	0
2	1	27	4	1073914928	950000000	1	1073914928	50000000	2	0	0	0	0	0	0	0	0	0	1	0	0
3	1	28	4	1073914928	950000000	1	1073914928	50000000	2	0	0	0	0	0	0	0	0	0	1	0	0
4	0	16	1	1073742198	1000000000	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	16	2	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	0	0
6	0	16	3	1073904631	100000000	4	1073888728	600000000	4	1073888727	300000000	2	0	0	0	0	0	0	0	0	0
7	0	17	1	1073742198	1000000000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	17	2	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	0	0
9	0	17	3	1073904631	100000000	3	1073888728	600000000	2	1073888726	300000000	2	0	0	0	0	0	0	0	0	0
10	1	18	1	268476880	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	19	1	268476859	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	20	1	268476860	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	21	1	268476861	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	22	1	268476861	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	18	2	268477745	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1	19	2	268476775	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	20	2	268476786	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1	21	2	268476783	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	22	2	268476783	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1	18	3	268476866	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1	19	3	268476867	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1	20	3	268476868	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1	21	3	268476869	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	22	3	268476869	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	25	1	268476433	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1	23	1	268476433	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1	24	1	268476433	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1	26	1	268476573	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1	27	1	268476573	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1	28	1	268476573	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1	29	1	268476573	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1	25	2	268476862	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1	23	2	268476862	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1	24	2	268476862	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1	26	2	268476873	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1	27	2	268476873	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1	28	2	268476873	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1	29	2	268476787	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1	25	3	268476874	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1	23	3	268476874	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	1	24	3	268476874	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1	26	3	268476869	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	1	27	3	268476869	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	1	28	3	268476869	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	1	29	3	268490661	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	1	77	1	268476876	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	1	77	2	268484943	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	1	77	3	268476878	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	1	26	4	268477351	950000000	1	1073914928	50000000	1	0	0	0	0	0	0	0	0	0	0	0	0
50	1	27	4	268477351	950000000	1	1073914928	50000000	1	0	0	0	0	0	0	0	0	0	0	0	0
51	1	28	4	268477351	950000000	1	1073914928	50000000	1	0	0	0	0	0	0	0	0	0	0	0	0
52	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0
53	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0
54	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0
