ROWID	_Type|INTEGER	_ExchangeType|INTEGER	_Rank|INTEGER	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_Group|INTEGER	_EnchantLevel|INTEGER	_DisjointDrop|INTEGER
100007	0	16	4	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	0	184555792
100008	0	16	4	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	1	184555793
100009	0	16	4	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	2	184555794
100010	0	16	4	1073904631	100000000	4	1073888728	600000000	4	1073888727	300000000	2	0	0	0	0	0	0	0	3	184555795
100011	0	16	4	1073904631	100000000	4	1073888728	600000000	4	1073888727	300000000	2	0	0	0	0	0	0	0	4	184555796
100012	0	16	4	1073904631	100000000	4	1073888728	600000000	4	1073888727	300000000	2	0	0	0	0	0	0	0	5	184555797
100018	0	17	4	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	0	184555803
100019	0	17	4	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	1	184555804
100020	0	17	4	1073904631	200000000	1	1073888728	800000000	1	0	0	0	0	0	0	0	0	0	0	2	184555805
100021	0	17	4	1073904631	100000000	3	1073888728	600000000	2	1073888726	300000000	2	0	0	0	0	0	0	0	3	184555806
100022	0	17	4	1073904631	100000000	3	1073888728	600000000	2	1073888726	300000000	2	0	0	0	0	0	0	0	4	184555807
100023	0	17	4	1073904631	100000000	3	1073888728	600000000	2	1073888726	300000000	2	0	0	0	0	0	0	0	5	184555808
100029	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184555757
100030	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	184555814
100031	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	184555815
100032	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	184555816
100033	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	184555817
100034	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	184555818
100035	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	184555819
100036	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	184555820
100037	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	184555821
100038	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	184555822
100039	1	26	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	184555823
100040	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184555758
100041	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	184555824
100042	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	184555825
100043	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	184555826
100044	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	184555827
100045	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	184555828
100046	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	184555829
100047	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	184555830
100048	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	184555831
100049	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	184555832
100050	1	27	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	184555833
100051	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184555759
100052	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	184555834
100053	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	184555835
100054	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	184555836
100055	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	184555837
100056	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	184555838
100057	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	184555839
100058	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	184555840
100059	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	184555841
100060	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	184555842
100061	1	28	4	1073893773	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	184555843
