ROWID	_Tab_Type|INTEGER	_Item_Type|INTEGER
1	1	0
2	1	1
3	2	2
4	2	3
5	2	6
6	2	24
7	2	86
8	2	105
9	2	111
10	2	117
11	2	118
12	2	121
13	2	130
14	3	4
15	3	5
16	3	10
17	3	11
18	3	12
19	3	14
20	3	15
21	3	17
22	3	19
23	3	20
24	3	21
25	3	22
26	3	23
27	3	25
28	3	26
29	3	27
30	3	28
31	3	29
32	3	30
33	3	31
34	3	32
35	3	33
36	3	37
37	3	38
38	3	39
39	3	40
40	3	41
41	3	42
42	3	43
43	3	47
44	3	58
45	3	59
46	3	60
47	3	61
48	3	63
49	3	67
50	3	69
51	3	70
52	3	72
53	3	73
54	3	74
55	3	75
56	3	76
57	3	77
58	3	78
59	3	79
60	3	82
61	3	83
62	3	85
63	3	87
64	3	88
65	3	89
66	3	90
67	3	91
68	3	92
69	3	93
70	3	94
71	3	95
72	3	96
73	3	97
74	3	98
75	3	99
76	3	102
77	3	103
78	3	104
79	3	106
80	3	107
81	3	108
82	3	109
83	3	110
84	3	113
85	3	114
86	3	115
87	3	116
88	3	119
89	3	120
90	3	123
91	3	124
92	3	125
93	3	126
94	3	127
95	3	128
96	3	129
97	3	131
98	3	132
99	4	7
100	4	8
101	3	9
102	4	13
103	4	16
104	3	18
105	4	34
106	4	35
107	4	36
108	4	44
109	4	45
110	4	46
111	4	48
112	4	49
113	4	50
114	4	51
115	4	52
116	4	53
117	4	54
118	4	55
119	4	56
120	4	57
121	4	62
122	4	64
123	4	65
124	4	66
125	4	68
126	4	71
127	4	80
128	4	81
129	4	84
130	4	100
131	4	101
132	4	112
133	4	122
134	3	148
135	3	141
136	3	156
137	4	157
138	3	158
139	3	163
140	3	162
141	3	168
142	4	142
143	3	184
144	3	186
145	3	192
146	4	195
147	3	194
148	3	211
150	2	189
151	2	213
152	2	212
