ROWID	_MinScore|INTEGER	_Class|INTEGER	_EquipType|INTEGER	_DropID|INTEGER
1	50	1	0	401011200
2	60	1	0	401012200
3	70	1	0	401013200
4	80	1	0	401014200
5	90	1	0	401015200
6	100	1	0	401016200
7	110	1	0	142608052
8	120	1	0	142608053
9	130	1	0	142608054
10	140	1	0	142608055
11	150	1	0	142608056
12	170	1	0	142608057
13	180	1	0	142608058
14	190	1	0	142608059
15	200	1	0	142608060
16	230	1	0	142608061
17	240	1	0	142608062
18	250	1	0	142608063
19	290	1	0	142608064
20	300	1	0	142608065
21	350	1	0	142608066
22	50	1	1	401021200
23	60	1	1	401022200
24	70	1	1	401023200
25	80	1	1	401024200
26	90	1	1	401025200
27	100	1	1	401026200
28	110	1	1	142608067
29	120	1	1	142608068
30	130	1	1	142608069
31	140	1	1	142608070
32	150	1	1	142608071
33	170	1	1	142608072
34	180	1	1	142608073
35	190	1	1	142608074
36	200	1	1	142608075
37	230	1	1	142608076
38	240	1	1	142608077
39	250	1	1	142608078
40	290	1	1	142608079
41	300	1	1	142608080
42	350	1	1	142608081
43	50	1	2	401031200
44	60	1	2	401032200
45	70	1	2	401033200
46	80	1	2	401034200
47	90	1	2	401035200
48	100	1	2	401036200
49	110	1	2	142608082
50	120	1	2	142608083
51	130	1	2	142608084
52	140	1	2	142608085
53	150	1	2	142608086
54	170	1	2	142608087
55	180	1	2	142608088
56	190	1	2	142608089
57	200	1	2	142608090
58	230	1	2	142608091
59	240	1	2	142608092
60	250	1	2	142608093
61	290	1	2	142608094
62	300	1	2	142608095
63	350	1	2	142608096
64	50	1	3	401041200
65	60	1	3	401042200
66	70	1	3	401043200
67	80	1	3	401044200
68	90	1	3	401045200
69	100	1	3	401046200
70	110	1	3	142608097
71	120	1	3	142608098
72	130	1	3	142608099
73	140	1	3	142608100
74	150	1	3	142608101
75	170	1	3	142608102
76	180	1	3	142608103
77	190	1	3	142608104
78	200	1	3	142608105
79	230	1	3	142608106
80	240	1	3	142608107
81	250	1	3	142608108
82	290	1	3	142608109
83	300	1	3	142608110
84	350	1	3	142608111
85	50	1	4	401051200
86	60	1	4	401052200
87	70	1	4	401053200
88	80	1	4	401054200
89	90	1	4	401055200
90	100	1	4	401056200
91	110	1	4	142608112
92	120	1	4	142608113
93	130	1	4	142608114
94	140	1	4	142608115
95	150	1	4	142608116
96	170	1	4	142608117
97	180	1	4	142608118
98	190	1	4	142608119
99	200	1	4	142608120
100	230	1	4	142608121
101	240	1	4	142608122
102	250	1	4	142608123
103	290	1	4	142608124
104	300	1	4	142608125
105	350	1	4	142608126
106	50	2	0	401011300
107	60	2	0	401012300
108	70	2	0	401013300
109	80	2	0	401014300
110	90	2	0	401015300
111	100	2	0	401016300
112	110	2	0	142608127
113	120	2	0	142608128
114	130	2	0	142608129
115	140	2	0	142608130
116	150	2	0	142608131
117	170	2	0	142608132
118	180	2	0	142608133
119	190	2	0	142608134
120	200	2	0	142608135
121	230	2	0	142608136
122	240	2	0	142608137
123	250	2	0	142608138
124	290	2	0	142608139
