ROWID	_SN|INTEGER	_StartDate|TEXT	_EndDate|TEXT	_BuyAbleCount|INTEGER	_Sellcount|INTEGER	_BuyAbleReset|INTEGER
1	100000004	2010/03/04	2010/03/25	1	0	0
2	100000006	10/03/04	10/03/25	1	0	0
3	100000008	10/03/04	10/03/25	1	0	0
4	100000009	10/03/04	10/03/25	1	0	0
5	100000012	10/03/25	10/04/14	0	0	0
6	100000013	10/03/25	10/04/14	0	0	0
7	100000014	10/03/25	10/04/14	0	0	0
8	100000015	10/03/25	10/04/14	0	0	0
9	100000016	10/03/25	10/04/14	0	0	0
10	100000017	10/03/25	10/04/14	0	0	0
11	100000018	10/03/25	10/04/14	0	0	0
12	100000019	10/03/25	10/04/14	0	0	0
13	100000020	10/03/25	10/04/14	0	0	0
14	100000021	10/03/25	10/04/14	0	0	0
15	100000022	10/03/25	10/04/14	0	0	0
16	100000023	10/03/25	10/04/14	0	0	0
17	100000025	10/04/15	10/04/28	0	0	0
18	100000028	10/05/20	10/06/02	0	0	0
19	100000029	10/05/20	10/06/02	0	0	0
20	100000030	10/05/20	10/06/02	0	0	0
21	100000031	10/05/20	10/06/02	0	0	0
22	100000032	10/05/20	10/06/02	0	0	0
23	100000033	10/05/20	10/06/02	0	0	0
24	100000034	10/05/20	10/06/02	0	0	0
25	100000035	10/05/20	10/06/02	0	0	0
26	100000036	10/05/20	10/06/02	0	0	0
27	100000037	10/05/20	10/06/02	0	0	0
28	100000038	10/05/20	10/06/02	0	0	0
29	100000039	10/05/20	10/06/02	0	0	0
30	100000040	10/04/29	10/05/19	0	0	0
31	100000041	10/04/29	10/05/19	0	0	0
32	100000042	10/04/29	10/05/19	0	0	0
33	100000089	10/06/10	10/06/24	0	0	0
34	100000090	10/06/10	10/06/24	0	0	0
35	100000091	10/06/10	10/06/24	0	0	0
36	100000092	10/06/24	10/07/08	0	0	0
37	100000093	10/06/24	10/07/08	0	0	0
38	100000094	10/06/24	10/07/08	0	0	0
39	100000095	10/06/24	10/07/08	0	0	0
40	100000096	10/06/24	10/07/08	0	0	0
41	100000097	10/06/24	10/07/08	0	0	0
42	100000098	10/06/24	10/07/08	0	0	0
43	100000099	10/06/24	10/07/08	0	0	0
44	100000100	10/06/24	10/07/08	0	0	0
45	100000101	10/06/24	10/07/08	0	0	0
46	100000102	10/06/24	10/07/08	0	0	0
47	100000103	10/06/24	10/07/08	0	0	0
48	100000104	10/07/22	10/08/25	0	0	0
49	100000105	10/07/22	10/08/25	0	0	0
50	100000106	10/07/22	10/08/25	0	0	0
51	100000107	10/07/22	10/08/25	0	0	0
52	100000108	10/07/22	10/08/25	0	0	0
53	100000109	10/07/22	10/08/25	0	0	0
54	100000110	10/07/22	10/08/25	0	0	0
55	100000111	10/07/22	10/08/25	0	0	0
56	100000112	10/07/22	10/08/25	0	0	0
57	100000113	10/07/22	10/08/25	0	0	0
58	100000114	10/07/22	10/08/25	0	0	0
59	100000115	10/07/22	10/08/25	0	0	0
60	100000116	10/08/26	10/09/30	0	0	0
61	100000117	10/08/26	10/09/30	0	0	0
62	100000118	10/08/26	10/09/30	0	0	0
63	100000131	10/08/26	10/09/30	0	0	0
64	100000132	10/08/26	10/09/30	0	0	0
65	100000133	10/08/26	10/09/30	0	0	0
66	100000122	10/08/26	10/09/30	0	0	0
67	100000123	10/08/26	10/09/30	0	0	0
68	100000124	10/08/26	10/09/30	0	0	0
69	100000137	10/08/26	10/09/30	0	0	0
70	100000138	10/08/26	10/09/30	0	0	0
71	100000139	10/08/26	10/09/30	0	0	0
72	100000140	10/09/09	10/09/30	0	0	0
73	100000141	10/09/09	10/09/30	0	0	0
74	100000142	10/09/09	10/09/30	0	0	0
75	100000143	10/09/09	10/09/30	0	0	0
76	100000144	10/09/09	10/09/30	0	0	0
77	100000145	10/09/09	10/09/30	0	0	0
78	100000146	10/09/09	10/09/30	0	0	0
79	100000147	10/09/09	10/09/30	0	0	0
80	100000148	10/09/09	10/09/30	0	0	0
81	100000149	10/09/09	10/09/30	0	0	0
82	100000150	10/09/09	10/09/30	0	0	0
83	100000151	10/09/09	10/09/30	0	0	0
84	100000152	10/10/07	10/10/28	0	0	0
85	100000153	10/10/07	10/10/28	0	0	0
86	100000154	10/10/07	10/10/28	0	0	0
87	100000155	10/10/07	10/10/28	0	0	0
88	100000156	10/10/07	10/10/28	0	0	0
89	100000157	10/10/07	10/10/28	0	0	0
90	100000158	10/10/07	10/10/28	0	0	0
91	100000159	10/10/07	10/10/28	0	0	0
92	100000160	10/10/07	10/10/28	0	0	0
93	100000161	10/10/07	10/10/28	0	0	0
94	100000162	10/10/07	10/10/28	0	0	0
95	100000163	10/10/07	10/10/28	0	0	0
96	100000171	10/10/28	10/11/25	0	0	0
97	100000172	10/10/28	10/11/25	0	0	0
98	100000173	10/10/28	10/11/25	0	0	0
99	100000174	10/10/28	10/11/25	0	0	0
100	100000175	10/10/28	10/11/25	0	0	0
101	100000176	10/10/28	10/11/25	0	0	0
102	100000177	10/10/28	10/11/25	0	0	0
103	100000178	10/10/28	10/11/25	0	0	0
104	100000179	10/10/28	10/11/25	0	0	0
105	100000180	10/10/28	10/11/25	0	0	0
106	100000181	10/10/28	10/11/25	0	0	0
107	100000182	10/10/28	10/11/25	0	0	0
108	205300008	10/10/28	10/11/25	0	0	0
109	205300016	10/10/28	10/11/25	0	0	0
110	205300000	10/10/28	10/11/25	0	0	0
111	205300009	10/10/28	10/11/25	0	0	0
112	205300017	10/10/28	10/11/25	0	0	0
113	205300001	10/10/28	10/11/25	0	0	0
114	205300010	10/10/28	10/11/25	0	0	0
115	205300018	10/10/28	10/11/25	0	0	0
116	205300002	10/10/28	10/11/25	0	0	0
117	205300011	10/10/28	10/11/25	0	0	0
118	205300019	10/10/28	10/11/25	0	0	0
119	205300003	10/10/28	10/11/25	0	0	0
120	205300012	10/10/28	10/11/25	0	0	0
121	205300020	10/10/28	10/11/25	0	0	0
122	205300004	10/10/28	10/11/25	0	0	0
123	205300013	10/10/28	10/11/25	0	0	0
124	205300021	10/10/28	10/11/25	0	0	0
125	205300005	10/10/28	10/11/25	0	0	0
126	205300014	10/10/28	10/11/25	0	0	0
127	205300022	10/10/28	10/11/25	0	0	0
128	205300006	10/10/28	10/11/25	0	0	0
129	205300015	10/10/28	10/11/25	0	0	0
130	205300023	10/10/28	10/11/25	0	0	0
131	205300007	10/10/28	10/11/25	0	0	0
132	100000192	10/12/23	11/01/06	0	0	0
133	100000193	10/12/23	11/01/06	0	0	0
134	100000194	10/12/23	11/01/06	0	0	0
135	100000195	10/12/23	11/01/06	0	0	0
136	100000196	10/12/23	11/01/06	0	0	0
137	100000197	10/12/23	11/01/06	0	0	0
138	100000198	10/12/23	11/01/06	0	0	0
139	100000199	10/12/23	11/01/06	0	0	0
140	200000322	10/12/23	11/01/06	0	0	0
141	200000323	10/12/23	11/01/06	0	0	0
142	200000324	10/12/23	11/01/06	0	0	0
