ROWID	_SN|INTEGER	_CommodityID00|INTEGER	_CommodityID01|INTEGER	_CommodityID02|INTEGER	_CommodityID03|INTEGER	_CommodityID04|INTEGER	_CommodityID05|INTEGER	_CommodityID06|INTEGER	_CommodityID07|INTEGER	_CommodityID08|INTEGER	_CommodityID09|INTEGER	_CommodityID10|INTEGER	_CommodityID11|INTEGER	_CommodityID12|INTEGER	_CommodityID13|INTEGER	_CommodityID14|INTEGER	_CommodityID15|INTEGER	_CommodityID16|INTEGER	_CommodityID17|INTEGER	_CommodityID18|INTEGER	_CommodityID19|INTEGER
35	900000013	201000190	202000187	203000187	204000187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	900000014	201000193	202000190	203000190	204000190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	900000015	201000196	202000193	203000193	204000193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	900000016	201000055	202000052	203000052	204000052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	900000017	201000058	202000055	203000055	204000055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	900000018	201000061	202000058	203000058	204000058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	900000019	201000127	202000124	203000124	204000124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	900000020	201000130	202000127	203000127	204000127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	900000021	201000133	202000130	203000130	204000130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	900000022	201000109	202000106	203000106	204000106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	900000023	201000112	202000109	203000109	204000109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	900000024	201000115	202000112	203000112	204000112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
467	1900218	1900182	1900183	1900184	1900185	1900186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
468	1900219	1900187	1900188	1900189	1900190	1900191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
469	1900220	1900192	1900193	1900194	1900195	1900196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
688	1900711	1900696	1900697	1900698	1900699	1900700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
689	1900712	1900701	1900702	1900703	1900704	1900705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
690	1900713	1900706	1900707	1900708	1900709	1900710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1766	1990140	1990135	1990136	1990137	1990138	1990139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	900000174	900000133	900000134	900000135	900000136	900000137	900000157	900000158	900000159	900000160	900000153	900000173	0	0	0	0	0	0	0	0	0
223	900000175	900000138	900000139	900000140	900000141	900000142	900000161	900000162	900000163	900000164	900000154	900000173	0	0	0	0	0	0	0	0	0
224	900000176	900000143	900000144	900000145	900000146	900000147	900000165	900000166	900000167	900000168	900000155	900000173	0	0	0	0	0	0	0	0	0
225	900000177	900000148	900000149	900000150	900000151	900000152	900000169	900000170	900000171	900000172	900000156	900000173	0	0	0	0	0	0	0	0	0
244	900000216	900000207	900000208	900000209	900000210	900000211	900000212	900000213	900000214	900000215	900000173	0	0	0	0	0	0	0	0	0	0
303	900000479	900000429	900000430	900000431	900000432	900000433	900000434	900000435	900000436	900000437	900000438	900000478	0	0	0	0	0	0	0	0	0
304	900000480	900000439	900000440	900000441	900000442	900000443	900000444	900000445	900000446	900000447	900000448	900000478	0	0	0	0	0	0	0	0	0
305	900000481	900000449	900000450	900000451	900000452	900000453	900000454	900000455	900000456	900000457	900000458	900000478	0	0	0	0	0	0	0	0	0
306	900000482	900000459	900000460	900000461	900000462	900000463	900000464	900000465	900000466	900000467	900000468	900000478	0	0	0	0	0	0	0	0	0
307	900000483	900000469	900000470	900000471	900000472	900000473	900000474	900000475	900000476	900000477	900000478	0	0	0	0	0	0	0	0	0	0
378	900000553	900000544	900000545	900000546	900000547	900000548	900000549	900000550	900000551	900000552	900000478	0	0	0	0	0	0	0	0	0	0
379	900000563	900000554	900000555	900000556	900000557	900000558	900000559	900000560	900000561	900000562	900000173	0	0	0	0	0	0	0	0	0	0
692	1900731	1900722	1900723	1900724	1900725	1900726	1900727	1900728	1900729	900000478	0	0	0	0	0	0	0	0	0	0	0
693	1900741	1900732	1900733	1900734	1900735	1900736	1900737	1900738	1900739	900000173	0	0	0	0	0	0	0	0	0	0	0
1074	1901274	1901266	1901267	1901268	1901269	1901270	1901271	1901272	1901273	900000478	0	0	0	0	0	0	0	0	0	0	0
1075	1901283	1901275	1901276	1901277	1901278	1901279	1901280	1901281	1901282	900000173	0	0	0	0	0	0	0	0	0	0	0
1710	1902042	1902034	1902035	1902036	1902037	1902038	1902039	1902040	1902041	900000478	0	0	0	0	0	0	0	0	0	0	0
1711	1902051	1902043	1902044	1902045	1902046	1902047	1902048	1902049	1902050	900000173	0	0	0	0	0	0	0	0	0	0	0
105000	910000059	910000087	910000088	910000141	910000142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105001	910000060	910000089	910000090	910000141	910000142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105002	910000061	910000091	910000092	910000141	910000142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105003	910000062	910000093	910000094	910000143	910000144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105004	910000063	910000095	910000096	910000143	910000144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105005	910000064	910000097	910000098	910000143	910000144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105006	910000065	910000099	910000100	910000145	910000146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105007	910000066	910000101	910000102	910000145	910000146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105008	910000067	910000103	910000104	910000145	910000146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105009	910000068	910000105	910000106	910000147	910000148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105010	910000069	910000107	910000108	910000147	910000148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
