ROWID	_ItemID|INTEGER	_Count|INTEGER	_Prob|INTEGER	_Period|INTEGER	_ChaoscubeNum|INTEGER	_Msg|BOOLEAN	_Gold|INTEGER	_Chaosmatchingnum|INTEGER	_Resultgrade|INTEGER
5000000	1073922670	1	3	0	900297456	false	0	2	0
5000001	1073922671	1	3	0	900297456	false	0	2	0
5000002	1073922672	1	3	0	900297456	false	0	2	0
5000003	1073922673	1	3	0	900297456	false	0	2	0
5000004	1073922674	1	3	0	900297456	false	0	2	0
5000005	1073922675	1	3	0	900297456	false	0	2	0
5000006	1073922676	1	3	0	900297456	false	0	2	0
5000007	1073922677	1	3	0	900297456	false	0	2	0
5000008	1073922678	1	3	0	900297456	false	0	2	0
5000009	1073922679	1	3	0	900297456	false	0	2	2
5000010	1073922680	1	3	0	900297456	false	0	2	2
5000011	1073922681	1	3	0	900297456	false	0	2	2
5000012	1073922682	1	3	0	900297456	false	0	2	2
5000013	1073922683	1	3	0	900297456	false	0	2	2
5000014	1073922684	1	3	0	900297456	false	0	2	2
5000015	1073922685	1	3	0	900297456	false	0	2	2
5000016	1073922686	1	3	0	900297456	false	0	2	2
5000017	1073922687	1	3	0	900297456	false	0	2	2
5000018	1073922688	1	3	0	900297456	false	0	2	2
5000019	1073922689	1	3	0	900297456	false	0	2	4
5000020	1073922690	1	3	0	900297456	false	0	2	4
5000021	1073922691	1	3	0	900297456	false	0	2	4
5000022	1073922692	1	3	0	900297456	false	0	2	4
5000023	1073922693	1	3	0	900297456	false	0	2	4
5000024	1073922694	1	3	0	900297456	false	0	2	4
5000025	1073922695	1	3	0	900297456	false	0	2	4
5000026	1073922696	1	3	0	900297456	false	0	2	4
5000027	1073922697	1	3	0	900297456	false	0	2	4
5000028	1073922698	1	3	0	900297456	false	0	2	4
5000029	1073922699	1	3	0	900297456	false	0	2	4
5000030	1073922700	1	3	0	900297456	false	0	2	4
5000031	1073922701	1	3	0	900297456	false	0	2	4
5000032	1073922702	1	3	0	900297456	false	0	2	4
5000033	1073922703	1	3	0	900297456	false	0	2	5
5000034	1073922704	1	3	0	900297456	false	0	2	5
5000035	1073922705	1	3	0	900297456	false	0	2	5
5000036	1073922706	1	1	0	900297456	false	0	2	5
5000037	1073922707	1	1	0	900297456	false	0	2	5
5000038	1073922708	1	1	0	900297456	false	0	2	5
5000039	1073922709	1	1	0	900297456	false	0	2	5
5000040	1073922710	1	1	0	900297456	false	0	2	5
5000041	1073922711	1	1	0	900297456	false	0	2	5
5000042	1073922712	1	1	0	900297456	false	0	2	5
5000043	1073922713	1	1	0	900297456	false	0	2	5
5000044	1073922714	1	1	0	900297456	false	0	2	5
5000045	1073922715	1	1	0	900297456	false	0	2	5
5000046	1073922716	1	1	0	900297456	false	0	2	5
5000047	1073922717	1	1	0	900297456	false	0	2	5
5000048	1073922774	1	1664	0	900301427	false	0	1	0
5000049	1073922775	1	1252	0	900301427	false	0	1	0
5000050	1073922776	1	844	0	900301427	false	0	1	0
5000051	1073922777	1	196	0	900301427	false	0	1	0
5000052	1073922778	1	44	0	900301427	false	0	1	0
5000053	1073922779	1	1664	0	900301427	false	0	1	0
5000054	1073922780	1	1252	0	900301427	false	0	1	0
5000055	1073922781	1	844	0	900301427	false	0	1	0
5000056	1073922782	1	196	0	900301427	false	0	1	0
5000057	1073922783	1	44	0	900301427	false	0	1	0
5000058	1073922784	1	1664	0	900301427	false	0	1	0
5000059	1073922785	1	1252	0	900301427	false	0	1	0
5000060	1073922786	1	844	0	900301427	false	0	1	0
5000061	1073922787	1	196	0	900301427	false	0	1	0
5000062	1073922788	1	44	0	900301427	false	0	1	0
5000063	1073922789	1	1664	0	900301427	false	0	1	0
5000064	1073922790	1	1252	0	900301427	false	0	1	0
5000065	1073922791	1	844	0	900301427	false	0	1	0
5000066	1073922792	1	196	0	900301427	false	0	1	0
5000067	1073922793	1	44	0	900301427	false	0	1	0
5000068	1073922794	1	1664	0	900301427	false	0	1	0
5000069	1073922795	1	1252	0	900301427	false	0	1	0
5000070	1073922796	1	844	0	900301427	false	0	1	0
5000071	1073922797	1	196	0	900301427	false	0	1	0
5000072	1073922798	1	44	0	900301427	false	0	1	0
5000073	1073922799	1	1664	0	900301427	false	0	1	0
5000074	1073922800	1	1252	0	900301427	false	0	1	0
5000075	1073922801	1	844	0	900301427	false	0	1	0
5000076	1073922802	1	196	0	900301427	false	0	1	0
5000077	1073922803	1	44	0	900301427	false	0	1	0
5000078	1073922804	1	1664	0	900301427	false	0	1	0
5000079	1073922805	1	1252	0	900301427	false	0	1	0
5000080	1073922806	1	844	0	900301427	false	0	1	0
5000081	1073922807	1	196	0	900301427	false	0	1	0
5000082	1073922808	1	44	0	900301427	false	0	1	0
5000083	1073922809	1	3760	0	900301427	false	0	1	0
5000084	1073922810	1	196	0	900301427	false	0	1	0
5000085	1073922811	1	44	0	900301427	false	0	1	0
5000086	1073922812	1	832	0	900301427	false	0	1	0
5000087	1073922813	1	626	0	900301427	false	0	1	0
5000088	1073922814	1	422	0	900301427	false	0	1	0
5000089	1073922815	1	98	0	900301427	false	0	1	0
5000090	1073922816	1	22	0	900301427	false	0	1	0
5000091	1073922817	1	832	0	900301427	false	0	1	0
5000092	1073922818	1	626	0	900301427	false	0	1	0
5000093	1073922819	1	422	0	900301427	false	0	1	0
5000094	1073922820	1	98	0	900301427	false	0	1	0
5000095	1073922821	1	22	0	900301427	false	0	1	0
5000096	1073922822	1	832	0	900301427	false	0	1	0
5000097	1073922823	1	626	0	900301427	false	0	1	0
5000098	1073922824	1	422	0	900301427	false	0	1	0
5000099	1073922825	1	98	0	900301427	false	0	1	0
5000100	1073922826	1	22	0	900301427	false	0	1	0
5000101	1073922827	1	832	0	900301427	false	0	1	0
5000102	1073922828	1	626	0	900301427	false	0	1	0
5000103	1073922829	1	422	0	900301427	false	0	1	0
5000104	1073922830	1	98	0	900301427	false	0	1	0
5000105	1073922831	1	22	0	900301427	false	0	1	0
5000106	1073922832	1	832	0	900301427	false	0	1	0
5000107	1073922833	1	626	0	900301427	false	0	1	0
5000108	1073922834	1	422	0	900301427	false	0	1	0
5000109	1073922835	1	98	0	900301427	false	0	1	0
5000110	1073922836	1	22	0	900301427	false	0	1	0
5000111	1073922837	1	832	0	900301427	false	0	1	0
5000112	1073922838	1	626	0	900301427	false	0	1	0
5000113	1073922839	1	422	0	900301427	false	0	1	0
5000114	1073922840	1	98	0	900301427	false	0	1	0
5000115	1073922841	1	22	0	900301427	false	0	1	0
5000116	1073922842	1	832	0	900301427	false	0	1	0
5000117	1073922843	1	626	0	900301427	false	0	1	0
5000118	1073922844	1	422	0	900301427	false	0	1	0
5000119	1073922845	1	98	0	900301427	false	0	1	0
5000120	1073922846	1	22	0	900301427	false	0	1	0
5000121	1073922847	1	1880	0	900301427	false	0	1	0
5000122	1073922848	1	98	0	900301427	false	0	1	0
5000123	1073922849	1	22	0	900301427	false	0	1	0
5000124	1073922850	1	416	0	900301427	false	0	1	0
5000125	1073922851	1	313	0	900301427	false	0	1	0
5000126	1073922852	1	211	0	900301427	false	0	1	0
5000127	1073922853	1	49	0	900301427	false	0	1	0
5000128	1073922854	1	11	0	900301427	false	0	1	0
