ROWID	_ItemID|INTEGER	_Count|INTEGER	_ChaoscubeNum|INTEGER	_GaugeValue|INTEGER	_Chaosmatchingnum|INTEGER
100000	1073853375	1	100106	0	0
100001	1073853390	1	100106	0	0
100002	1073853405	1	100106	0	0
100003	1073853420	1	100106	0	0
100004	1073853435	1	100106	0	0
100005	1073853450	1	100106	0	0
100006	1073853465	1	100106	0	0
100007	1073853480	1	100106	0	0
100008	1073901706	1	100106	0	0
100009	1073853380	1	100106	0	0
100010	1073853395	1	100106	0	0
100011	1073853410	1	100106	0	0
100012	1073853425	1	100106	0	0
100013	1073853440	1	100106	0	0
100014	1073853455	1	100106	0	0
100015	1073853470	1	100106	0	0
100016	1073853485	1	100106	0	0
100017	1073901711	1	100106	0	0
100018	1073853385	1	100106	0	0
100019	1073853400	1	100106	0	0
100020	1073853415	1	100106	0	0
100021	1073853430	1	100106	0	0
100022	1073853445	1	100106	0	0
100023	1073853460	1	100106	0	0
100024	1073853475	1	100106	0	0
100025	1073853490	1	100106	0	0
100026	1073901716	1	100106	0	0
100027	1073853376	1	100107	0	0
100028	1073853391	1	100107	0	0
100029	1073853406	1	100107	0	0
100030	1073853421	1	100107	0	0
100031	1073853436	1	100107	0	0
100032	1073853451	1	100107	0	0
100033	1073853466	1	100107	0	0
100034	1073853481	1	100107	0	0
100035	1073901707	1	100107	0	0
100036	1073853381	1	100107	0	0
100037	1073853396	1	100107	0	0
100038	1073853411	1	100107	0	0
100039	1073853426	1	100107	0	0
100040	1073853441	1	100107	0	0
100041	1073853456	1	100107	0	0
100042	1073853471	1	100107	0	0
100043	1073853486	1	100107	0	0
100044	1073901712	1	100107	0	0
100045	1073853386	1	100107	0	0
100046	1073853401	1	100107	0	0
100047	1073853416	1	100107	0	0
100048	1073853431	1	100107	0	0
100049	1073853446	1	100107	0	0
100050	1073853461	1	100107	0	0
100051	1073853476	1	100107	0	0
100052	1073853491	1	100107	0	0
100053	1073901717	1	100107	0	0
100054	1073853377	1	100108	0	0
100055	1073853392	1	100108	0	0
100056	1073853407	1	100108	0	0
100057	1073853422	1	100108	0	0
100058	1073853437	1	100108	0	0
100059	1073853452	1	100108	0	0
100060	1073853467	1	100108	0	0
100061	1073853482	1	100108	0	0
100062	1073901708	1	100108	0	0
100063	1073853382	1	100108	0	0
100064	1073853397	1	100108	0	0
100065	1073853412	1	100108	0	0
100066	1073853427	1	100108	0	0
100067	1073853442	1	100108	0	0
100068	1073853457	1	100108	0	0
100069	1073853472	1	100108	0	0
100070	1073853487	1	100108	0	0
100071	1073901713	1	100108	0	0
100072	1073853387	1	100108	0	0
100073	1073853402	1	100108	0	0
100074	1073853417	1	100108	0	0
100075	1073853432	1	100108	0	0
100076	1073853447	1	100108	0	0
100077	1073853462	1	100108	0	0
100078	1073853477	1	100108	0	0
100079	1073853492	1	100108	0	0
100080	1073901718	1	100108	0	0
100081	1073853378	1	100109	0	0
100082	1073853393	1	100109	0	0
100083	1073853408	1	100109	0	0
100084	1073853423	1	100109	0	0
100085	1073853438	1	100109	0	0
100086	1073853453	1	100109	0	0
100087	1073853468	1	100109	0	0
100088	1073853483	1	100109	0	0
100089	1073901709	1	100109	0	0
100090	1073853383	1	100109	0	0
100091	1073853398	1	100109	0	0
100092	1073853413	1	100109	0	0
100093	1073853428	1	100109	0	0
100094	1073853443	1	100109	0	0
100095	1073853458	1	100109	0	0
100096	1073853473	1	100109	0	0
100097	1073853488	1	100109	0	0
100098	1073901714	1	100109	0	0
100099	1073853388	1	100109	0	0
100100	1073853403	1	100109	0	0
100101	1073853418	1	100109	0	0
100102	1073853433	1	100109	0	0
100103	1073853448	1	100109	0	0
100104	1073853463	1	100109	0	0
100105	1073853478	1	100109	0	0
100106	1073853493	1	100109	0	0
100107	1073901719	1	100109	0	0
100108	1073853379	1	100110	0	0
100109	1073853394	1	100110	0	0
100110	1073853409	1	100110	0	0
100111	1073853424	1	100110	0	0
100112	1073853439	1	100110	0	0
100113	1073853454	1	100110	0	0
100114	1073853469	1	100110	0	0
100115	1073853484	1	100110	0	0
100116	1073901710	1	100110	0	0
100117	1073853384	1	100110	0	0
100118	1073853399	1	100110	0	0
100119	1073853414	1	100110	0	0
100120	1073853429	1	100110	0	0
100121	1073853444	1	100110	0	0
100122	1073853459	1	100110	0	0
100123	1073853474	1	100110	0	0
100124	1073853489	1	100110	0	0
100125	1073901715	1	100110	0	0
100126	1073853389	1	100110	0	0
100127	1073853404	1	100110	0	0
100128	1073853419	1	100110	0	0
100129	1073853434	1	100110	0	0
100130	1073853449	1	100110	0	0
100131	1073853464	1	100110	0	0
100132	1073853479	1	100110	0	0
100133	1073853494	1	100110	0	0
100134	1073901720	1	100110	0	0
100135	1073853495	1	100111	0	0
100136	1073853497	1	100111	0	0
100137	1073853499	1	100111	0	0
100138	1073853501	1	100111	0	0
100139	1073853503	1	100111	0	0
100140	1073853505	1	100111	0	0
100141	1073853507	1	100111	0	0
100142	1073853509	1	100111	0	0
100143	1073901721	1	100111	0	0
100144	1073853496	1	100112	0	0
100145	1073853498	1	100112	0	0
100146	1073853500	1	100112	0	0
100147	1073853502	1	100112	0	0
100148	1073853504	1	100112	0	0
100149	1073853506	1	100112	0	0
100150	1073853508	1	100112	0	0
100151	1073853510	1	100112	0	0
100152	1073901722	1	100112	0	0
100153	1073904937	1	100113	0	0
100154	1073904952	1	100113	0	0
100155	1073904967	1	100113	0	0
100156	1073904982	1	100113	0	0
100157	1073904997	1	100113	0	0
100158	1073905012	1	100113	0	0
100159	1073905027	1	100113	0	0
100160	1073905042	1	100113	0	0
100161	1073905057	1	100113	0	0
100162	1073904942	1	100113	0	0
100163	1073904957	1	100113	0	0
100164	1073904972	1	100113	0	0
100165	1073904987	1	100113	0	0
100166	1073905002	1	100113	0	0
100167	1073905017	1	100113	0	0
100168	1073905032	1	100113	0	0
100169	1073905047	1	100113	0	0
100170	1073905062	1	100113	0	0
100171	1073904947	1	100113	0	0
100172	1073904962	1	100113	0	0
100173	1073904977	1	100113	0	0
100174	1073904992	1	100113	0	0
100175	1073905007	1	100113	0	0
100176	1073905022	1	100113	0	0
100177	1073905037	1	100113	0	0
100178	1073905052	1	100113	0	0
100179	1073905067	1	100113	0	0
100180	1073904938	1	100114	0	0
100181	1073904953	1	100114	0	0
100182	1073904968	1	100114	0	0
100183	1073904983	1	100114	0	0
100184	1073904998	1	100114	0	0
100185	1073905013	1	100114	0	0
100186	1073905028	1	100114	0	0
100187	1073905043	1	100114	0	0
100188	1073905058	1	100114	0	0
100189	1073904943	1	100114	0	0
100190	1073904958	1	100114	0	0
100191	1073904973	1	100114	0	0
100192	1073904988	1	100114	0	0
100193	1073905003	1	100114	0	0
100194	1073905018	1	100114	0	0
100195	1073905033	1	100114	0	0
100196	1073905048	1	100114	0	0
100197	1073905063	1	100114	0	0
100198	1073904948	1	100114	0	0
100199	1073904963	1	100114	0	0
100200	1073904978	1	100114	0	0
100201	1073904993	1	100114	0	0
100202	1073905008	1	100114	0	0
100203	1073905023	1	100114	0	0
100204	1073905038	1	100114	0	0
100205	1073905053	1	100114	0	0
100206	1073905068	1	100114	0	0
100207	1073904939	1	100115	0	0
100208	1073904954	1	100115	0	0
100209	1073904969	1	100115	0	0
100210	1073904984	1	100115	0	0
100211	1073904999	1	100115	0	0
100212	1073905014	1	100115	0	0
100213	1073905029	1	100115	0	0
100214	1073905044	1	100115	0	0
100215	1073905059	1	100115	0	0
100216	1073904944	1	100115	0	0
100217	1073904959	1	100115	0	0
100218	1073904974	1	100115	0	0
100219	1073904989	1	100115	0	0
100220	1073905004	1	100115	0	0
