ROWID	_ItemID|INTEGER	_Count|INTEGER	_ChaoscubeNum|INTEGER	_GaugeValue|INTEGER	_Chaosmatchingnum|INTEGER
5100000	1073926233	1	900301427	0	0
5100001	1073925586	1	900301427	0	1
5100002	1073925587	1	900301427	0	2
5100003	1073925588	1	900301427	0	3
5100004	1073925589	1	900301427	0	4
5100005	1073925590	1	900301427	0	5
5100006	1073925591	1	900301427	0	6
151416	1073921716	1	100937	0	0
151417	1073921718	1	100937	0	0
151418	1073921720	1	100937	0	0
151419	1073921722	1	100937	0	0
151420	1073921724	1	100937	0	0
151421	1073921726	1	100937	0	0
151422	1073921728	1	100937	0	0
151423	1073921730	1	100937	0	0
151424	1073921732	1	100937	0	0
151425	1073921734	1	100937	0	0
151426	1073921736	1	100937	0	0
151427	1073921738	1	100937	0	0
151428	1073921740	1	100937	0	0
151429	1073921742	1	100937	0	0
151430	1073921744	1	100937	0	0
151431	1073921746	1	100937	0	0
151432	1073921748	1	100937	0	0
151433	1073921750	1	100937	0	0
151434	1073921752	1	100937	0	0
151435	1073921754	1	100937	0	0
151436	1073921756	1	100937	0	0
151437	1073921758	1	100937	0	0
151438	1073921760	1	100937	0	0
151439	1073921762	1	100937	0	0
151440	1073921764	1	100937	0	0
151441	1073921766	1	100937	0	0
151442	1073921768	1	100937	0	0
151443	1073921770	1	100937	0	0
151444	1073921772	1	100937	0	0
151445	1073921774	1	100937	0	0
151446	1073921776	1	100937	0	0
151447	1073921778	1	100937	0	0
151448	1073921780	1	100937	0	0
151449	1073921782	1	100937	0	0
151450	1073921784	1	100937	0	0
151451	1073921786	1	100937	0	0
151452	1073921788	1	100937	0	0
151453	1073921790	1	100937	0	0
151454	1073921792	1	100937	0	0
151455	1073921794	1	100937	0	0
151456	1073921796	1	100937	0	0
151457	1073921798	1	100937	0	0
151458	1073921800	1	100937	0	0
151459	1073921802	1	100937	0	0
151460	1073921804	1	100937	0	0
151461	1073921806	1	100937	0	0
151462	1073921808	1	100937	0	0
151463	1073921717	1	100938	0	0
151464	1073921719	1	100938	0	0
151465	1073921721	1	100938	0	0
151466	1073921723	1	100938	0	0
151467	1073921725	1	100938	0	0
151468	1073921727	1	100938	0	0
151469	1073921729	1	100938	0	0
151470	1073921731	1	100938	0	0
151471	1073921733	1	100938	0	0
151472	1073921735	1	100938	0	0
151473	1073921737	1	100938	0	0
151474	1073921739	1	100938	0	0
151475	1073921741	1	100938	0	0
151476	1073921743	1	100938	0	0
151477	1073921745	1	100938	0	0
151478	1073921747	1	100938	0	0
151479	1073921749	1	100938	0	0
151480	1073921751	1	100938	0	0
151481	1073921753	1	100938	0	0
151482	1073921755	1	100938	0	0
151483	1073921757	1	100938	0	0
151484	1073921759	1	100938	0	0
151485	1073921761	1	100938	0	0
151486	1073921763	1	100938	0	0
151487	1073921765	1	100938	0	0
151488	1073921767	1	100938	0	0
151489	1073921769	1	100938	0	0
151490	1073921771	1	100938	0	0
151491	1073921773	1	100938	0	0
151492	1073921775	1	100938	0	0
151493	1073921777	1	100938	0	0
151494	1073921779	1	100938	0	0
151495	1073921781	1	100938	0	0
151496	1073921783	1	100938	0	0
151497	1073921785	1	100938	0	0
151498	1073921787	1	100938	0	0
151499	1073921789	1	100938	0	0
151500	1073921791	1	100938	0	0
151501	1073921793	1	100938	0	0
151502	1073921795	1	100938	0	0
151503	1073921797	1	100938	0	0
151504	1073921799	1	100938	0	0
151505	1073921801	1	100938	0	0
151506	1073921803	1	100938	0	0
151507	1073921805	1	100938	0	0
151508	1073921807	1	100938	0	0
151509	1073921809	1	100938	0	0
