ROWID	_ItemID|INTEGER	_Count|INTEGER	_ChaoscubeNum|INTEGER	_GaugeValue|INTEGER	_Chaosmatchingnum|INTEGER
1012	1073902559	1	253885	1000	0
1013	1073902560	1	253885	4000	0
1014	1073902561	1	253885	8000	0
1015	1073906109	1	253885	1400	0
1016	1073906110	1	253885	2800	0
1017	1073906111	1	253885	5600	0
1018	1073908530	1	253885	1400	0
1019	1073908531	1	253885	2800	0
1020	1073908532	1	253885	5600	0
1021	1073905985	1	253885	1400	0
1022	1073905986	1	253885	2800	0
1023	1073905987	1	253885	5600	0
1024	1073915032	1	253885	1400	0
1025	1073915033	1	253885	2800	0
1026	1073915034	1	253885	5600	0
1027	1073913055	1	253885	1400	0
1028	1073913056	1	253885	2800	0
1029	1073913057	1	253885	5600	0
1030	1073919406	1	253885	1400	0
1031	1073919407	1	253885	2800	0
1032	1073919408	1	253885	5600	0
1033	1073921376	1	253885	1400	0
1034	1073921377	1	253885	2800	0
1035	1073921378	1	253885	5600	0
1036	1073924397	1	253885	1400	0
1037	1073924877	1	253885	2800	0
1038	1073924878	1	253885	5600	0
1101	1073801169	1	253885	100	0
1102	1073872504	1	253885	100	0
1103	1073887542	1	253885	100	0
1104	1073843318	1	253885	100	0
1105	1073868716	1	253885	100	0
1106	1073891027	1	253885	100	0
1107	1073900243	1	253885	100	0
1108	1073762447	1	253885	100	0
1109	1073769217	1	253885	100	0
1110	1073769218	1	253885	100	0
1111	1124612096	1	253885	100	0
1112	1124599808	1	253885	10	0
1113	1124601856	1	253885	10	0
1114	1073758912	1	253885	10	0
1115	1073811400	1	253885	10	0
1116	1073811401	1	253885	10	0
1117	1073841948	1	253885	100	0
1118	1073813936	1	253885	100	0
1119	1073816559	1	253885	100	0
1120	1073816561	1	253885	100	0
1121	1073816562	1	253885	100	0
1122	1073849119	1	253885	100	0
1123	1073854065	1	253885	100	0
1124	1073859105	1	253885	100	0
1125	1073872606	1	253885	100	0
1126	1073875728	1	253885	100	0
1127	1073903028	1	253885	100	0
1128	1073903714	1	253885	100	0
1129	1073903715	1	253885	100	0
1130	1073903716	1	253885	100	0
1131	1073848056	1	253885	100	0
1132	1073784355	1	253885	10	0
1133	1073835593	1	253885	10	0
1134	1073862336	1	253885	10	0
1135	1073817025	1	253885	10	0
1136	1073824839	1	253885	100	0
1137	1073878091	1	253885	100	0
1138	1073879817	1	253885	100	0
1139	1073772130	1	253885	100	0
1140	1073796644	1	253885	100	0
1141	1073797975	1	253885	100	0
1142	1073879808	1	253885	100	0
1143	1073793381	1	253885	100	0
1144	1073839263	1	253885	100	0
1145	1073859086	1	253885	100	0
1146	1073897604	1	253885	100	0
1147	1073907500	1	253885	10	0
1148	1073801168	1	253885	100	0
1149	1073858510	1	253885	100	0
1150	1073862345	1	253885	100	0
1151	1073900404	1	253885	100	0
1152	1073865781	1	253885	100	0
1153	1073894735	1	253885	100	0
1154	1073885131	1	253885	100	0
1155	1073891282	1	253885	100	0
1156	1073815501	1	253885	100	0
1157	1073885138	1	253885	100	0
1158	1073749630	1	253885	100	0
1159	1073898733	1	253885	100	0
1160	1073750082	1	253885	100	0
1161	1073862335	1	253885	10	0
1162	1073796637	1	253885	10	0
1163	1073896886	1	253885	100	0
1164	1073828150	1	253885	100	0
1165	1073855895	1	253885	100	0
1166	1073798455	1	253885	100	0
1167	1073742910	1	253885	100	0
1168	1073853511	1	253885	100	0
1169	1073742921	1	253885	100	0
1170	1073867680	1	253885	100	0
1171	1073879870	1	253885	100	0
1172	1073893110	1	253885	100	0
1173	1073906428	1	253885	5	0
1174	1073760581	1	253885	100	0
1175	1073854923	1	253885	100	0
1176	1073772128	1	253885	100	0
1177	1073805447	1	253885	100	0
1178	1073826027	1	253885	10	0
1179	1073826028	1	253885	10	0
1180	1073841954	1	253885	10	0
1181	1073845969	1	253885	10	0
1182	1073855267	1	253885	10	0
1183	1073877183	1	253885	10	0
1184	1073883217	1	253885	10	0
1185	1073883218	1	253885	10	0
1186	1073883219	1	253885	10	0
1187	1073887267	1	253885	10	0
1188	1073893026	1	253885	10	0
1189	1073893848	1	253885	10	0
1190	1073894690	1	253885	10	0
1191	1073899377	1	253885	10	0
1192	1073910612	1	253885	100	0
1193	1073913059	1	253885	10	0
1194	1124603904	1	253885	10	0
1195	1124605952	1	253885	10	0
1196	1073741866	1	253885	10	0
1197	1073916062	1	253885	100	0
1198	1073919013	1	253885	100	0
