ROWID	_ItemID|INTEGER	_CharmNum|INTEGER	_Prob|INTEGER	_PotenProb|INTEGER
100013481	872915253	99198727	1000000	0
100013482	1073904646	99198728	1000000	0
100013483	1073904646	99198729	1000000	0
100013484	268477037	99198730	1000000	0
100013485	1073895635	99198731	1000000	0
100013486	268476609	99198732	1000000	0
100013487	268477490	99198733	1000000	0
100013488	268483044	99198734	1000000	0
100013489	268442257	99198735	1000000	0
100014654	536881184	99198995	1000000	0
100014655	805310104	99198995	1000000	0
100014656	268477145	99198996	1000000	0
100014657	536881185	99198996	1000000	0
100014658	536881186	99198997	1000000	0
100014659	536881187	99198997	1000000	0
100014660	268466189	99198998	1000000	0
100014661	536879966	99198998	1000000	0
100014662	536881188	99198999	1000000	0
100014663	536881189	99198999	1000000	0
100014664	805312453	99198999	1000000	0
100014665	1073895635	99199000	1000000	0
100014666	1073770347	99199001	1000000	0
100014667	872915253	99199002	1000000	0
100014668	1073772130	99199003	1000000	0
100014669	1073913356	99199004	1000000	0
100014670	805312455	99199005	1000000	0
100014671	805312456	99199005	1000000	0
100015290	1073917552	99199139	1000000	0
100015291	268488462	99199140	1000000	0
100015292	268476329	99199141	1000000	0
100015293	1073904679	99199142	1000000	0
100015294	1073915586	99199143	1000000	0
100015295	805310104	99199144	1000000	0
100015296	536881465	99199145	1000000	0
100015297	536881465	99199146	1000000	0
100015736	1073905759	99199333	1000000	0
100015737	1073906079	99199333	1000000	0
100015738	1073905759	99199334	1000000	0
100015739	1073917975	99199334	1000000	0
100015740	1073905759	99199335	1000000	0
100015741	1073913235	99199335	1000000	0
100015742	1073905759	99199336	1000000	0
100015743	1073917977	99199336	1000000	0
100015744	1073905759	99199337	1000000	0
100015745	1073917976	99199337	1000000	0
100015746	1073905759	99199338	1000000	0
100015747	805309912	99199338	1000000	0
100015748	1073905759	99199339	1000000	0
100015749	1073917974	99199339	1000000	0
100015750	1073905759	99199340	1000000	0
100015751	1073879808	99199340	1000000	0
100015752	268488448	99199341	1000000	0
100015753	1073917981	99199341	1000000	0
100015754	1073917981	99199342	1000000	0
100015806	805312680	99199356	1000000	0
100015807	805312681	99199357	1000000	0
100015808	805312682	99199358	1000000	0
100015809	805312683	99199359	1000000	0
100015810	805312684	99199360	1000000	0
100015811	805312685	99199361	1000000	0
100015812	805307331	99199362	1000000	0
100015813	1073866845	99199363	1000000	0
100015814	1073906079	99199364	1000000	0
100015815	1073905759	99199365	1000000	0
100015816	1073905759	99199366	1000000	0
100015817	1073905759	99199367	1000000	0
100015818	1073838019	99199368	1000000	0
100015819	268477038	99199369	1000000	0
100015982	268488974	99199431	1000000	0
100015983	536882083	99199431	1000000	0
100015984	268483044	99199432	1000000	0
100015985	1073919429	99199432	1000000	0
100015986	268488974	99199433	1000000	0
100015987	805312150	99199433	1000000	0
100015988	268488974	99199434	1000000	0
100015989	536881910	99199434	1000000	0
100015990	268483044	99199435	1000000	0
100015991	536881482	99199435	1000000	0
100015992	805311020	99199435	1000000	0
100015993	536880904	99199435	1000000	0
100016082	1073916727	99199458	1000000	0
100016146	268487421	99199482	1000000	0
100016147	268456820	99199483	1000000	0
100016148	268487421	99199484	1000000	0
100016149	268490532	99199485	1000000	0
100016150	268487421	99199486	1000000	0
100016151	536881935	99199487	1000000	0
100016152	268487421	99199488	1000000	0
100016153	536881945	99199489	1000000	0
100016154	268487421	99199490	1000000	0
100016155	268487421	99199491	1000000	0
100016156	536879659	99199491	1000000	0
100016157	536881513	99199491	1000000	0
100016502	536881910	99199595	1000000	0
700000040	700000040	700000035	1000000	0
700000041	700000041	700000035	1000000	0
700000042	700000042	700000036	1000000	0
700000043	700000043	700000036	1000000	0
700000044	700000044	700000037	1000000	0
700000045	700000045	700000037	1000000	0
700000046	700000046	700000038	1000000	0
700000047	700000047	700000038	1000000	0
700000048	700000048	700000039	1000000	0
700000049	700000049	700000039	1000000	0
700000050	700000050	700000040	1000000	0
700000051	700000051	700000040	1000000	0
700000052	700000052	700000041	1000000	0
700000053	700000053	700000041	1000000	0
700000054	700000054	700000042	1000000	0
700000055	700000055	700000042	1000000	0
700000056	700000056	700000043	1000000	0
700000057	700000057	700000043	1000000	0
700000058	700000058	700000044	1000000	0
700000059	700000059	700000044	1000000	0
700000249	700000249	700000120	0	0
700000250	700000250	700000120	0	0
700000251	700000251	700000120	0	0
700000252	700000252	700000120	0	0
700000253	700000253	700000121	0	0
700000254	700000254	700000121	0	0
700000255	700000255	700000121	0	0
700000256	700000256	700000121	0	0
700000257	700000257	700000122	0	0
700000258	700000258	700000122	0	0
700000259	700000259	700000122	0	0
700000260	700000260	700000122	0	0
700000261	700000261	700000123	0	0
700000262	700000262	700000123	0	0
700000263	700000263	700000123	0	0
700000264	700000264	700000123	0	0
700000265	700000265	700000124	0	0
700000266	700000266	700000124	0	0
700000267	700000267	700000124	0	0
700000268	700000268	700000124	0	0
700000269	700000269	700000125	0	0
700000270	700000270	700000125	0	0
700000271	700000271	700000125	0	0
700000272	700000272	700000125	0	0
700000273	700000273	700000126	0	0
700000274	700000274	700000126	0	0
700000275	700000275	700000126	0	0
700000276	700000276	700000126	0	0
700000277	700000277	700000127	0	0
700000278	700000278	700000127	0	0
700000279	700000279	700000127	0	0
700000280	700000280	700000127	0	0
700000281	700000281	700000128	0	0
700000282	700000282	700000128	0	0
700000283	700000283	700000128	0	0
700000284	700000284	700000128	0	0
700000285	700000285	700000129	0	0
700000286	700000286	700000129	0	0
700000287	700000287	700000129	0	0
700000288	700000288	700000129	0	0
700000289	700000289	700000130	0	0
700000290	700000290	700000130	0	0
700000291	700000291	700000130	0	0
700000292	700000292	700000130	0	0
700000293	700000293	700000131	0	0
700000294	700000294	700000131	0	0
700000295	700000295	700000131	0	0
700000296	700000296	700000131	0	0
700000297	700000297	700000132	0	0
700000298	700000298	700000132	0	0
700000299	700000299	700000132	0	0
700000300	700000300	700000132	0	0
700000301	700000301	700000133	0	0
700000302	700000302	700000133	0	0
700000303	700000303	700000133	0	0
700000304	700000304	700000133	0	0
700000305	700000305	700000134	0	0
700000306	700000306	700000134	0	0
700000307	700000307	700000134	0	0
700000308	700000308	700000134	0	0
700000500	700000500	99200124	0	0
700000501	700000501	99200124	0	0
700000502	700000502	99200124	0	0
700000503	700000503	99200125	0	0
700000504	700000504	99200125	0	0
700000505	700000505	99200125	0	0
700000506	700000506	99200126	0	0
700000507	700000507	99200126	0	0
700000508	700000508	99200126	0	0
700000509	700000509	99200127	0	0
700000510	700000510	99200127	0	0
700000511	700000511	99200127	0	0
700000512	700000512	99200128	0	0
700000513	700000513	99200128	0	0
700000514	700000514	99200128	0	0
700000515	700000515	99200129	0	0
700000516	700000516	99200129	0	0
700000517	700000517	99200129	0	0
700000518	700000518	99200130	0	0
700000519	700000519	99200130	0	0
700000520	700000520	99200130	0	0
700000521	700000521	99200131	0	0
700000522	700000522	99200131	0	0
700000523	700000523	99200131	0	0
700000524	700000524	99200132	0	0
700000525	700000525	99200132	0	0
700000526	700000526	99200132	0	0
700000527	700000527	99200133	0	0
700000528	700000528	99200133	0	0
700000529	700000529	99200133	0	0
700000530	700000530	99200134	0	0
700000531	700000531	99200134	0	0
700000532	700000532	99200134	0	0
700000533	700000533	99200135	0	0
700000534	700000534	99200135	0	0
700000535	700000535	99200135	0	0
700000536	700000536	99200136	0	0
700000537	700000537	99200136	0	0
700000538	700000538	99200136	0	0
700000539	700000539	99200137	0	0
700000540	700000540	99200137	0	0
700000541	700000541	99200137	0	0
700000542	700000542	99200138	0	0
700000543	700000543	99200138	0	0
700000544	700000544	99200138	0	0
700000545	700000545	99200139	0	0
700000546	700000546	99200139	0	0
700000547	700000547	99200139	0	0
700000548	700000548	99200140	0	0
700000549	700000549	99200140	0	0
700000550	700000550	99200140	0	0
700000551	700000551	99200141	0	0
700000552	700000552	99200141	0	0
700000553	700000553	99200141	0	0
700000554	700000554	99200142	0	0
700000555	700000555	99200142	0	0
700000556	700000556	99200142	0	0
700000557	700000557	99200143	0	0
700000558	700000558	99200143	0	0
700000559	700000559	99200143	0	0
