ROWID	_ItemID|INTEGER	_Count|INTEGER	_Prob|INTEGER	_Period|INTEGER	_CharmNum|INTEGER	_Msg|BOOLEAN	_Gold|INTEGER	_Look|BOOLEAN	_MsgType|INTEGER	_PotenProb|INTEGER	_PotenLook|BOOLEAN	_UnableOverlap|BOOLEAN	_CharmType|INTEGER	_GainLimit|INTEGER	_ItemOption|INTEGER	_MinLevelLimit|INTEGER	_MaxLevelLimit|INTEGER	_ItemNameID|INTEGER	_ItemNameIDParam|TEXT	_ListColor|TEXT	_ShowProb|FLOAT
9990000	805307010	1	0	30	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990001	805307197	1	0	30	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990002	805307056	1	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990003	805307060	1	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990004	805307756	1	0	7	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990005	1126301744	1	0	7	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990006	1107308544	1	0	7	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990007	838861816	30	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990008	838861817	15	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990009	805307051	1	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990010	872915297	5	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990011	872915298	5	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990012	872915294	10	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990013	872915295	10	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990014	612442112	20	0	0	999900	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990401	268445174	2	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990402	268445168	2	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990403	415760640	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990404	415760512	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990405	415761792	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990406	268436905	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990407	268436922	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990408	268436931	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990409	268443393	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990410	268443396	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990411	268446873	1	0	0	999907	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990158	805307079	1	0	0	114247	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990159	805307080	1	0	0	114247	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990160	805307081	1	0	0	114247	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
9990161	805307082	1	0	0	114247	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
