ROWID	_ItemID|INTEGER	_Count|INTEGER	_Prob|INTEGER	_Period|INTEGER	_CharmNum|INTEGER	_Msg|BOOLEAN	_Gold|INTEGER	_Look|BOOLEAN	_MsgType|INTEGER	_PotenProb|INTEGER	_PotenLook|BOOLEAN	_UnableOverlap|BOOLEAN	_CharmType|INTEGER	_GainLimit|INTEGER	_ItemOption|INTEGER	_MinLevelLimit|INTEGER	_MaxLevelLimit|INTEGER	_ItemNameID|INTEGER	_ItemNameIDParam|TEXT	_ListColor|TEXT	_ShowProb|FLOAT
100000000	1073750029	1	0	0	157851	false	200000	true	0	0	true	false	0	0	0	0	0	0			0.0
100000001	805309508	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000003	268456489	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000004	268456490	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000005	268456491	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000006	268456492	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000009	268445502	2	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000010	268445979	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000012	536876171	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000015	536876172	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000016	536876173	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000017	536876174	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000018	536876175	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000019	536876176	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000020	536876177	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000021	1124601856	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000022	805309507	1	0	0	157849	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000101	536875584	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000104	536875587	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000105	536875602	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000106	536875603	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000107	536875604	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000108	536875605	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100000109	536875606	1	0	0	157850	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100001300	805309508	1	0	0	157855	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
