ROWID	_ItemID|INTEGER	_Count|INTEGER	_Prob|INTEGER	_Period|INTEGER	_CharmNum|INTEGER	_Msg|BOOLEAN	_Gold|INTEGER	_Look|BOOLEAN	_MsgType|INTEGER	_PotenProb|INTEGER	_PotenLook|BOOLEAN	_UnableOverlap|BOOLEAN	_CharmType|INTEGER	_GainLimit|INTEGER	_ItemOption|INTEGER	_MinLevelLimit|INTEGER	_MaxLevelLimit|INTEGER	_ItemNameID|INTEGER	_ItemNameIDParam|TEXT	_ListColor|TEXT	_ShowProb|FLOAT
100013481	872915253	2000	0	0	99198727	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013482	1073904646	1	0	0	99198728	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013483	1073904646	1	0	0	99198729	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013484	268477037	2	0	0	99198730	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013485	1073895635	4	0	0	99198731	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013486	268476609	1	0	0	99198732	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013487	268477490	1	0	0	99198733	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013488	268483044	5	0	0	99198734	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100013489	268442257	300	0	0	99198735	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014654	536881184	1	0	0	99198995	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014655	805310104	3	0	0	99198995	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014656	268477145	50	0	0	99198996	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014657	536881185	1	0	0	99198996	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014658	536881186	1	0	0	99198997	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014659	536881187	1	0	0	99198997	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014660	268466189	2000	0	0	99198998	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014661	536879966	2000	0	0	99198998	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014662	536881188	1	0	0	99198999	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014663	536881189	1	0	0	99198999	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014664	805312453	1	0	0	99198999	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014665	1073895635	4	0	0	99199000	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014666	1073770347	1	0	0	99199001	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014667	872915253	2000	0	0	99199002	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014668	1073772130	1	0	0	99199003	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014669	1073913356	1	0	0	99199004	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014670	805312455	1	0	0	99199005	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100014671	805312456	1	0	0	99199005	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015290	1073917552	1	0	0	99199139	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015291	268488462	5000	0	0	99199140	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015292	268476329	1	0	0	99199141	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015293	1073904679	10	0	0	99199142	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015294	1073915586	3	0	0	99199143	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015295	805310104	3	0	0	99199144	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015296	536881465	1	0	0	99199145	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015297	536881465	1	0	0	99199146	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015736	1073905759	10	0	0	99199333	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015737	1073906079	1	0	0	99199333	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015738	1073905759	10	0	0	99199334	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015739	1073917975	1	0	0	99199334	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015740	1073905759	10	0	0	99199335	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015741	1073913235	1	0	0	99199335	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015742	1073905759	10	0	0	99199336	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015743	1073917977	1	0	0	99199336	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015744	1073905759	20	0	0	99199337	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015745	1073917976	1	0	0	99199337	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015746	1073905759	20	0	0	99199338	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015747	805309912	1	0	0	99199338	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015748	1073905759	30	0	0	99199339	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015749	1073917974	1	0	0	99199339	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015750	1073905759	30	0	0	99199340	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015751	1073879808	1	0	0	99199340	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015752	268488448	1	0	0	99199341	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015753	1073917981	1	0	0	99199341	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015754	1073917981	1	0	0	99199342	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015806	805312680	1	0	0	99199356	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015807	805312681	1	0	0	99199357	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015808	805312682	1	0	0	99199358	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015809	805312683	1	0	0	99199359	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015810	805312684	1	0	0	99199360	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015811	805312685	1	0	0	99199361	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015812	805307331	1	0	30	99199362	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015813	1073866845	1	0	0	99199363	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
100015814	1073906079	1	0	0	99199364	false	0	true	0	0	true	false	0	0	0	0	0	0			0.0
