ROWID	_ON|BOOLEAN	_AlbumName|INTEGER	_Start_Date|TEXT	_End_Date|TEXT	_CollectionID_1|INTEGER	_CollectionCount_1|INTEGER	_CollectionID_2|INTEGER	_CollectionCount_2|INTEGER	_CollectionID_3|INTEGER	_CollectionCount_3|INTEGER	_CollectionID_4|INTEGER	_CollectionCount_4|INTEGER	_CollectionID_5|INTEGER	_CollectionCount_5|INTEGER	_RewardID_1|INTEGER	_RewardID_2|INTEGER	_RewardID_3|INTEGER	_RewardID_4|INTEGER	_RewardID_5|INTEGER	_CollectionImageID|INTEGER	_HideSlot_1|TEXT	_HideSlot_2|TEXT	_HideSlot_3|TEXT	_HideSlot_4|TEXT	_HideSlot_5|TEXT
101	false	1000102673	20160106	20160203	805310164	80	805310164	100	805310164	170	805310164	200	805310164	250	3335	3336	3337	3338	3339	42788	4;9;14;19;20;21;22;23;24	3;8;13;15;16;17;18	2;7;10;11;12	1;5;6	0
102	false	1000107948	20160706	20160803	805310371	10	805310371	20	805310371	30	805310371	40	805310371	50	3535	3536	3537	3537	3539	45922	4;9;14;19;20;21;22;23;24	3;8;13;15;16;17;18	2;7;10;11;12	1;5;6	0
103	false	1000107948	20160620	20160701	805310371	10	805310371	20	805310371	30	805310371	40	805310371	50	3535	3536	3537	3537	3539	45922	4;9;14;19;20;21;22;23;24	3;8;13;15;16;17;18	2;7;10;11;12	1;5;6	0
104	false	1000112404	20161006	20161103	805310506	2	805310506	2	805310506	2	805310506	3	805310506	3	3535	3536	3537	3537	3679	48093	4;9;14;19;20;21;22;23;24	3;8;13;15;16;17;18	2;7;10;11;12	1;5;6	0
106	false	1000114034	20161206	20170105	805310584	2	805310584	3	805310584	4	805310584	5	805310584	6	3723	3724	3725	3726	3727	49004	0;1;2;3;4;5;9;10;14;15;19;20;24	21;22;23;16	17;18;11	6;8;13;12	7
108	false	1000115070	20170105	20170209	805310761	10	805310761	10	805310761	10	805310761	10	805310761	10	3538	3758	3759	3760	3761	49329	0;1;4;5;9;10;19;20	21;22;	2;3;7;8;13;14	12;17;18;23;24	6;11;15;16
110	false	1000119599	20170706	20170802	805311192	10	805311192	10	805311192	10	805311192	10	805311192	10	3900	3901	3902	3903	3904	51882	0;5;6;10;11	7;12;17	13;14;18;19;24	15;16;20;21;22;23	1;2;3;4;8;9
112	false	1000121722	20171102	20171115	805311276	1	805311276	1	805311276	1	805311276	1	805311276	1	3983	3983	3980	3981	3982	53149	20;21;22;23;24	15;16;17;18;19	10;11;12;13;14	5;6;7;8;9	0;1;2;3;4
114	false	1000123140	20171214	20171231	805311322	10	805311322	10	805311322	10	805311322	10	805311322	10	4027	4028	4029	4030	4031	53840	2;3;4;7;8;9	15;16;17;20;21;22	0;5;10	14;19;24	1;6;11;12;13;18;23
116	false	1000125597	20180208	20180308	805311351	1	805311351	1	805311351	1	805311351	1	805311351	1	4032	4033	4034	4035	4036	53945	0;1;2;5;10	3;4;8;9;14	18;19;022;23;24	11;15;16;20;21	6;7;12;13;17
118	false	10377	20180719	20180809	805311552	1	805311552	2	805311553	1	805311553	2	805311554	1	4268	4268	4269	4268	4270	56383	0;1;2;5;10	3;4;8;9;14	18;19;022;23;24	11;15;16;20;21	6;7;12;13;17
120	false	1000137416	20181011	20181114	805311651	3	805311651	5	805311651	7	805311651	9	805311651	11	4350	4351	4352	4353	4354	57580	0;5;6;10;11	7;12;17	13;14;18;19;24	15;16;20;21;22;23	1;2;3;4;8;9
122	false	1000143378	20181213	20190110	805311696	1	805311696	1	805311696	1	805311696	1	805311696	1	4448	4449	4450	4461	4451	58239	0;1;2;3;4;5;9;10;14;15;19;20;24	21;22;23;16	17;18;11	6;8;13;12	7
500	true	1000131659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56902	0	0	0	0	0
