ROWID	_ShopID|INTEGER	_TabID|INTEGER	_TabNameID|INTEGER	_ListID|INTEGER	_itemindex|INTEGER	_Quantity|INTEGER	_Period|INTEGER	_PurchaseType1|INTEGER	_PurchaseItem1|INTEGER	_PurchaseItemValue1|INTEGER	_PurchaseType2|INTEGER	_PurchaseItem2|INTEGER	_PurchaseItemValue2|INTEGER	_PurchaseLimitType|INTEGER	_PurchaseLimitValue|INTEGER	_buyLimitCount|INTEGER	_ShopLimitReset|INTEGER	_SampleID|INTEGER	_ItemOptionID|INTEGER	_RepurchaseTime|INTEGER	_ShopSealCount|INTEGER	_PotentialList|INTEGER	_StorePreview|BOOLEAN
33001100	33001	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33002100	33002	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33003100	33003	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33004100	33004	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33005100	33005	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33006100	33006	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33007100	33007	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33008100	33008	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33009100	33009	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33010100	33010	1	1000165145	0	805312332	1	0	35	0	800	0	0	0	0	0	0	0	0	0	0	-1	0	false
33001101	33001	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33002101	33002	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33003101	33003	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33004101	33004	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33005101	33005	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33006101	33006	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33007101	33007	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33008101	33008	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33009101	33009	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33010101	33010	1	1000165145	1	805312333	1	0	35	0	400	0	0	0	0	0	0	0	0	0	0	-1	0	false
33001102	33001	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33002102	33002	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33003102	33003	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33004102	33004	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33005102	33005	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33006102	33006	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33007102	33007	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33008102	33008	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33009102	33009	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33010102	33010	1	1000165145	2	805311673	1	0	35	0	3150	0	0	0	0	0	0	0	0	0	0	-1	0	false
33001103	33001	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33002103	33002	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33003103	33003	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33004103	33004	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33005103	33005	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33006103	33006	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33007103	33007	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33008103	33008	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33009103	33009	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33010103	33010	1	1000165145	3	536877972	1	0	35	0	7275	0	0	0	0	0	3	4	0	0	0	-1	0	false
33001105	33001	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
33002105	33002	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
33003105	33003	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
33004105	33004	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
33005105	33005	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
33006105	33006	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
33007105	33007	1	1000165145	5	1073789219	1	0	35	0	38750	0	0	0	0	0	0	0	0	0	0	-1	0	false
