ROWID	_ShopID|INTEGER	_TabID|INTEGER	_TabNameID|INTEGER	_ListID|INTEGER	_itemindex|INTEGER	_Quantity|INTEGER	_Period|INTEGER	_PurchaseType1|INTEGER	_PurchaseItem1|INTEGER	_PurchaseItemValue1|INTEGER	_PurchaseType2|INTEGER	_PurchaseItem2|INTEGER	_PurchaseItemValue2|INTEGER	_PurchaseLimitType|INTEGER	_PurchaseLimitValue|INTEGER	_buyLimitCount|INTEGER	_ShopLimitReset|INTEGER	_SampleID|INTEGER	_ItemOptionID|INTEGER	_RepurchaseTime|INTEGER	_ShopSealCount|INTEGER	_PotentialList|INTEGER	_StorePreview|BOOLEAN
45001100	45001	1	1000028972	0	348323841	1	0	1	0	1000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001110	45001	1	1000028972	10	348259329	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001111	45001	1	1000028972	11	348266497	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	-1	0	false
45003100	45003	1	1000080622	0	348259329	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	-1	0	false
45003101	45003	1	1000080622	1	348266497	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001200	45001	2	1000085387	0	268456662	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001201	45001	2	1000085387	1	268456663	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001202	45001	2	1000085387	2	268456664	1	0	1	0	2000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001203	45001	2	1000085387	3	268456665	1	0	1	0	2000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001204	45001	2	1000085387	4	268456666	1	0	1	0	8000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001205	45001	2	1000085387	5	268456667	1	0	1	0	8000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001210	45001	2	1000085387	10	268475876	1	0	1	0	15000	0	0	0	2	95	0	0	0	0	0	-1	0	false
45001215	45001	2	1000085387	15	268476750	1	0	1	0	10000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001216	45001	2	1000085387	16	268476751	1	0	1	0	10000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001217	45001	2	1000085387	17	268476752	1	0	1	0	10000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001218	45001	2	1000085387	18	268476753	1	0	1	0	10000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45001219	45001	2	1000085387	19	268476754	1	0	1	0	10000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45002100	45002	1	1000028976	0	348251137	1	0	1	0	1000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45002101	45002	1	1000028976	1	348251649	1	0	1	0	10000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45002102	45002	1	1000028976	2	348252161	1	0	1	0	100000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45002103	45002	1	1000028976	3	348252673	1	0	1	0	300000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45002104	45002	1	1000028976	4	348253185	1	0	1	0	1000000	0	0	0	0	0	0	0	0	0	0	-1	0	false
45004100	45004	1	1000028972	0	348323841	1	0	1	0	1000	0	0	0	0	0	0	0	0	0	0	-1	0	false
