ROWID	_RewardCount|INTEGER	_CollectionStateID|INTEGER
1	5	914358288
2	10	914358354
3	15	914358355
4	20	914358356
5	25	914358357
6	30	914358358
7	35	914358359
8	40	914358360
9	45	914358361
10	50	914358362
11	55	914358363
12	60	914358364
13	65	914358365
14	70	914358366
15	75	914358367
16	80	914358368
17	85	914358369
18	90	914358370
19	95	914358371
20	100	914358372
21	105	914358373
22	110	914358374
23	115	914358375
24	120	914358376
25	125	914358377
26	130	914358378
27	135	914358379
28	140	914358380
29	145	914358381
30	150	914358382
31	155	914358383
32	160	914358384
33	165	914358385
34	170	914358386
35	175	914358387
36	180	914358388
37	185	914358389
38	190	914358390
39	195	914358391
40	200	914358392
