ROWID	_TabNum|INTEGER	_Class|INTEGER	_DesignID|INTEGER	_Position|INTEGER	_PositionName|INTEGER	_ColorSort|INTEGER	_ColorName|INTEGER	_StateNum|INTEGER	_Helmet|INTEGER	_Body|INTEGER	_Leg|INTEGER	_Glove|INTEGER	_Boots|INTEGER	_MainWeapon|INTEGER	_SubWeapon|INTEGER
1	15	1	1	2	1000089472	1	1000089517	1	1073844867	1073844868	1073844869	1073844870	1073844871	1073845347	1073845348
2	15	1	1	2	1000089472	2	1000089518	1	1073844872	1073844873	1073844874	1073844875	1073844876	1073845347	1073845348
3	15	1	1	2	1000089472	3	1000089519	1	1073844877	1073844878	1073844879	1073844880	1073844881	1073845347	1073845348
4	15	2	1	2	1000089472	1	1000089517	1	1073844882	1073844883	1073844884	1073844885	1073844886	1073845349	1073845350
5	15	2	1	2	1000089472	2	1000089518	1	1073844887	1073844888	1073844889	1073844890	1073844891	1073845349	1073845350
6	15	2	1	2	1000089472	3	1000089519	1	1073844892	1073844893	1073844894	1073844895	1073844896	1073845349	1073845350
7	15	3	1	2	1000089472	1	1000089517	1	1073844897	1073844898	1073844899	1073844900	1073844901	1073845351	1073845352
8	15	3	1	2	1000089472	2	1000089518	1	1073844902	1073844903	1073844904	1073844905	1073844906	1073845351	1073845352
9	15	3	1	2	1000089472	3	1000089519	1	1073844907	1073844908	1073844909	1073844910	1073844911	1073845351	1073845352
10	15	4	1	2	1000089472	1	1000089517	1	1073844912	1073844913	1073844914	1073844915	1073844916	1073845353	1073845354
11	15	4	1	2	1000089472	2	1000089518	1	1073844917	1073844918	1073844919	1073844920	1073844921	1073845353	1073845354
12	15	4	1	2	1000089472	3	1000089519	1	1073844922	1073844923	1073844924	1073844925	1073844926	1073845353	1073845354
13	15	5	1	2	1000089472	1	1000089517	1	1073844927	1073844928	1073844929	1073844930	1073844931	1073845355	1073845356
14	15	5	1	2	1000089472	2	1000089518	1	1073844932	1073844933	1073844934	1073844935	1073844936	1073845355	1073845356
15	15	5	1	2	1000089472	3	1000089519	1	1073844937	1073844938	1073844939	1073844940	1073844941	1073845355	1073845356
16	15	6	1	2	1000089472	1	1000089517	1	1073844942	1073844943	1073844944	1073844945	1073844946	1073845357	1073845358
17	15	6	1	2	1000089472	2	1000089518	1	1073844947	1073844948	1073844949	1073844950	1073844951	1073845357	1073845358
18	15	6	1	2	1000089472	3	1000089519	1	1073844952	1073844953	1073844954	1073844955	1073844956	1073845357	1073845358
19	15	7	1	2	1000089472	1	1000089517	1	1073844957	1073844958	1073844959	1073844960	1073844961	1073845359	1073845360
20	15	7	1	2	1000089472	2	1000089518	1	1073844962	1073844963	1073844964	1073844965	1073844966	1073845359	1073845360
21	15	7	1	2	1000089472	3	1000089519	1	1073844967	1073844968	1073844969	1073844970	1073844971	1073845359	1073845360
22	15	8	1	2	1000089472	1	1000089517	1	1073844972	1073844973	1073844974	1073844975	1073844976	1073845361	1073845362
23	15	8	1	2	1000089472	2	1000089518	1	1073844977	1073844978	1073844979	1073844980	1073844981	1073845361	1073845362
24	15	8	1	2	1000089472	3	1000089519	1	1073844982	1073844983	1073844984	1073844985	1073844986	1073845361	1073845362
25	15	1	2	3	1000089516	1	1000089520	1	1073855161	1073855162	0	0	0	1073855209	1073855210
26	15	1	2	3	1000089516	2	1000089521	1	1073855163	1073855164	0	0	0	1073855209	1073855210
27	15	1	2	3	1000089516	3	1000089522	1	1073855165	1073855166	0	0	0	1073855209	1073855210
28	15	2	2	3	1000089516	1	1000089523	1	1073855167	1073855168	0	0	0	1073855211	1073855212
29	15	2	2	3	1000089516	2	1000089524	1	1073855169	1073855170	0	0	0	1073855211	1073855212
30	15	2	2	3	1000089516	3	1000089525	1	1073855171	1073855172	0	0	0	1073855211	1073855212
31	15	3	2	3	1000089516	1	1000089526	1	1073855173	1073855174	0	0	0	1073855213	1073855214
32	15	3	2	3	1000089516	2	1000089527	1	1073855175	1073855176	0	0	0	1073855213	1073855214
33	15	3	2	3	1000089516	3	1000089528	1	1073855177	1073855178	0	0	0	1073855213	1073855214
