ROWID	_MixUseCompound|BOOLEAN	_MixRank|INTEGER	_MixMsg|BOOLEAN	_MixResultAble|BOOLEAN
1073880623	false	5	true	false
1073880624	false	5	true	false
1073880625	false	5	true	false
1073880626	false	5	true	false
1073880627	false	5	true	false
1073912582	false	5	true	false
1073912583	false	5	true	false
1073912584	false	5	true	false
1073912585	false	5	true	false
1073912586	false	5	true	false
1073912587	false	5	true	false
1073912588	false	5	true	false
1073912589	false	5	true	false
1073912590	false	5	true	false
1073912591	false	5	true	false
1073918416	false	5	true	false
1073918417	false	5	true	false
1073918418	false	5	true	false
1073918419	false	5	true	false
1073918420	false	5	true	false
1073918421	false	5	true	false
1073918422	false	5	true	false
1073918423	false	5	true	false
1073918424	false	5	true	false
1073918425	false	5	true	false
