ROWID	_MixUseCompound|BOOLEAN	_MixRank|INTEGER	_MixMsg|BOOLEAN	_MixResultAble|BOOLEAN
1073899974	true	2	false	false
1073899975	false	2	false	false
1073899976	true	2	false	false
1073899977	false	2	false	false
1073899978	true	2	false	false
1073899979	false	2	false	false
1073899980	true	2	false	false
1073899981	false	2	false	false
1073899982	true	2	false	false
1073899983	false	2	false	false
1073899984	true	2	false	false
1073899985	false	2	false	false
1073899986	true	2	false	false
1073899987	false	2	false	false
1073899988	true	2	false	false
1073899989	false	2	false	false
1073899990	true	2	false	false
1073899991	false	2	false	false
1073899992	true	2	false	false
1073899993	false	2	false	false
1073899994	true	2	false	false
1073899995	false	2	false	false
1073899996	true	2	false	false
1073899997	false	2	false	false
1073899998	true	2	false	false
1073899999	false	2	false	false
1073900000	true	2	false	false
1073900001	false	2	false	false
1073900002	true	2	false	false
1073900003	false	2	false	false
1073900004	true	2	false	false
1073900005	false	2	false	false
1073900006	true	2	false	false
1073900007	false	2	false	false
1073900008	true	2	false	false
1073900009	false	2	false	false
1073900010	true	2	false	false
1073900011	false	2	false	false
1073900012	true	2	false	false
1073900013	false	2	false	false
1073900014	true	2	false	false
1073900015	false	2	false	false
1073900016	true	2	false	false
1073900017	false	2	false	false
1073900018	true	2	false	false
1073900019	false	2	false	false
1073900020	true	2	false	false
1073900021	false	2	false	false
1073900022	true	2	false	false
1073900023	false	2	false	false
1073900024	true	2	false	false
1073900025	false	2	false	false
1073900026	true	2	false	false
1073900027	false	2	false	false
1073920274	true	2	false	false
1073920275	false	2	false	false
1073920276	true	2	false	false
1073920277	false	2	false	false
1073920278	true	2	false	false
1073920279	false	2	false	false
1073899389	false	2	false	false
1073899390	false	2	false	false
1073899391	false	2	false	false
1073899392	false	2	false	false
1073899393	false	2	false	false
1073899394	false	2	false	false
1073899395	false	2	false	false
1073899396	false	2	false	false
1073899397	false	2	false	false
1073899398	false	2	false	false
1073899399	false	2	false	false
1073899400	false	2	false	false
1073899401	false	2	false	false
1073899402	false	2	false	false
1073899403	false	2	false	false
1073899404	false	2	false	false
1073899405	false	2	false	false
1073899406	false	2	false	false
1073899407	false	2	false	false
1073899408	false	2	false	false
1073899409	false	2	false	false
1073899410	false	2	false	false
1073899411	false	2	false	false
1073899412	false	2	false	false
1073899413	false	2	false	false
1073899414	false	2	false	false
1073899415	false	2	false	false
1073899416	false	2	false	false
1073899417	false	2	false	false
1073899418	false	2	false	false
1073899419	false	2	false	false
1073899420	false	2	false	false
1073899421	false	2	false	false
1073899422	false	2	false	false
1073899423	false	2	false	false
1073899424	false	2	false	false
1073899425	false	2	false	false
1073899426	false	2	false	false
1073899427	false	2	false	false
1073899428	false	2	false	false
1073899429	false	2	false	false
1073899430	false	2	false	false
1073899431	false	2	false	false
1073899432	false	2	false	false
1073899433	false	2	false	false
1073899434	false	2	false	false
1073899435	false	2	false	false
1073899436	false	2	false	false
1073899437	false	2	false	false
1073899438	false	2	false	false
1073899439	false	2	false	false
1073899440	false	2	false	false
1073899441	false	2	false	false
1073899442	false	2	false	false
1073899443	false	2	false	false
1073899444	false	2	false	false
1073899445	false	2	false	false
1073899446	false	2	false	false
1073899447	false	2	false	false
1073899448	false	2	false	false
1073899449	false	2	false	false
1073899450	false	2	false	false
1073899451	false	2	false	false
1073899452	false	2	false	false
1073899453	false	2	false	false
1073899454	false	2	false	false
1073899455	false	2	false	false
1073899456	false	2	false	false
1073899457	false	2	false	false
1073899458	false	2	false	false
1073899459	false	2	false	false
1073899460	false	2	false	false
1073899461	false	2	false	false
1073899462	false	2	false	false
1073899463	false	2	false	false
1073899464	false	2	false	false
1073899465	false	2	false	false
1073899466	false	2	false	false
1073899467	false	2	false	false
1073899468	false	2	false	false
1073899469	false	2	false	false
1073899470	false	2	false	false
1073899471	false	2	false	false
1073899472	false	2	false	false
1073899473	false	2	false	false
1073899474	false	2	false	false
1073899475	false	2	false	false
1073899476	false	2	false	false
1073899477	false	2	false	false
1073899478	false	2	false	false
1073899479	false	2	false	false
1073899480	false	2	false	false
1073899481	false	2	false	false
1073899482	false	2	false	false
1073899483	false	2	false	false
1073899484	false	2	false	false
1073899485	false	2	false	false
