ROWID	_MixUseCompound|BOOLEAN	_MixRank|INTEGER	_MixMsg|BOOLEAN	_MixResultAble|BOOLEAN
1073759013	false	5	false	false
1073759014	false	5	false	false
1073759015	false	2	false	false
1073759016	false	2	false	false
1073759017	false	2	false	false
1073759018	false	2	false	false
1073759019	false	2	false	false
1073759020	false	2	false	false
1073759021	false	2	false	false
1073759022	false	2	false	false
1073759023	false	2	false	false
1073759024	false	2	false	false
1073759025	false	2	false	false
1073759026	false	2	false	false
1073759027	false	2	false	false
1073759028	false	2	false	false
1073759029	false	2	false	false
1073759030	false	0	false	false
1073759031	false	0	false	false
1073759032	false	0	false	false
1073759033	false	0	false	false
1073761182	false	0	false	false
1073761183	false	0	false	false
1073761184	false	0	false	false
1073761185	false	0	false	false
1073761186	false	0	false	false
1073761187	false	0	false	false
1073761188	false	0	false	false
1073761189	false	0	false	false
1073761190	false	0	false	false
1073761191	false	0	false	false
1073761192	false	0	false	false
1073761193	false	1	false	false
1073761194	false	1	false	false
1073761195	false	1	false	false
1073761196	false	1	false	false
1073791265	false	1	false	false
1073791266	false	1	false	false
1073791267	false	1	false	false
1073791268	false	1	false	false
1073791269	false	1	false	false
1073791270	false	1	false	false
1073791271	false	1	false	false
1073791272	false	1	false	false
1073791273	false	1	false	false
1073791274	false	1	false	false
1073791275	false	1	false	false
1073791276	false	1	false	false
1073791277	false	1	false	false
1073791278	false	1	false	false
1073791279	false	1	false	false
1073791324	false	0	false	false
1073791325	false	2	false	false
1073812757	false	2	false	false
1073774518	false	2	false	false
1073774519	false	2	false	false
1073774520	false	1	false	false
1073774521	false	1	false	false
1073774522	false	1	false	false
1073774523	false	1	false	false
1073774524	false	1	false	false
1073774525	false	1	false	false
1073774526	false	1	false	false
1073774527	false	1	false	false
1073774528	false	1	false	false
1073774529	false	1	false	false
1073774530	false	1	false	false
1073774531	false	1	false	false
1073774532	false	1	false	false
1073774533	false	1	false	false
1073774534	false	0	false	false
1073774535	false	0	false	false
1073774536	false	1	false	false
1073774537	false	1	false	false
1073774538	false	1	false	false
1073774539	false	0	false	false
1073774540	false	0	false	false
1073774541	false	0	false	false
1073774542	false	0	false	false
1073774543	false	0	false	false
1073774544	false	0	false	false
1073774545	false	0	false	false
1073774546	false	0	false	false
1073774547	false	0	false	false
1073774548	false	0	false	false
1073774549	false	0	false	false
1073774550	false	0	false	false
1073797966	false	2	false	false
71000000	false	1	false	false
71000005	false	1	false	false
71000010	false	1	false	false
71000015	false	1	false	false
71000001	false	1	false	false
71000006	false	1	false	false
71000011	false	1	false	false
71000016	false	1	false	false
71000002	false	1	false	false
71000007	false	1	false	false
71000012	false	1	false	false
71000017	false	1	false	false
71000003	false	1	false	false
71000008	false	1	false	false
71000013	false	1	false	false
71000018	false	1	false	false
71000211	false	0	false	false
71000212	false	0	false	false
71000213	false	0	false	false
71000214	false	0	false	false
71000215	false	0	false	false
71000216	false	0	false	false
71000217	false	0	false	false
71000225	false	1	false	false
71000226	false	1	false	false
71000227	false	1	false	false
71000228	false	1	false	false
71000229	false	0	false	false
71000230	false	0	false	false
805306369	false	0	false	false
805306370	false	0	false	false
805306371	false	0	false	false
805306372	false	0	false	false
805306374	false	0	false	false
805306375	false	0	false	false
805306376	false	0	false	false
805306377	false	0	false	false
805306379	false	0	false	false
805306380	false	0	false	false
805306381	false	0	false	false
805306382	false	0	false	false
805306384	false	0	false	false
805306385	false	0	false	false
805306386	false	0	false	false
805306387	false	0	false	false
805306389	false	0	false	false
805306390	false	0	false	false
805306391	false	0	false	false
805306392	false	0	false	false
805306394	false	0	false	false
805306395	false	0	false	false
805306396	false	0	false	false
805306397	false	0	false	false
805306399	false	0	false	false
805306400	false	0	false	false
805306401	false	0	false	false
805306402	false	0	false	false
805306404	false	0	false	false
805306405	false	0	false	false
805306406	false	0	false	false
805306407	false	0	false	false
