ROWID	_Cash|INTEGER	_Helmet|INTEGER	_Body|INTEGER	_Leg|INTEGER	_Hand|INTEGER	_Foot|INTEGER	_Weapon|INTEGER	_Weapon1|INTEGER
1	1	1073911348	1073911349	1073911350	1073911351	1073911352	1073911393	1073911394
4	1	1073911353	1073911354	1073911355	1073911356	1073911357	1073911395	1073911396
7	1	1073911358	1073911359	1073911360	1073911361	1073911362	1073911397	1073911398
10	1	1073911363	1073911364	1073911365	1073911366	1073911367	1073911399	1073911400
13	1	1073911368	1073911369	1073911370	1073911371	1073911372	1073911401	1073911402
16	1	1073911373	1073911374	1073911375	1073911376	1073911377	1073911403	1073911404
19	1	1073911378	1073911379	1073911380	1073911381	1073911382	1073911405	1073911406
22	1	1073911383	1073911384	1073911385	1073911386	1073911387	1073911407	1073911408
25	1	1073911388	1073911389	1073911390	1073911391	1073911392	1073911409	1073911410
28	1	1073919851	1073919852	1073919853	1073919854	1073919855	1073919856	1073919857
2	0	268478943	268478944	268478945	268478946	268478947	268488024	268488022
5	0	268478943	268478944	268478945	268478946	268478947	268488026	268488048
8	0	268478943	268478944	268478945	268478946	268478947	268488031	268488037
11	0	268478943	268478944	268478945	268478946	268478947	268488028	268488034
14	0	268478943	268478944	268478945	268478946	268478947	268488041	268488045
17	0	268478943	268478944	268478945	268478946	268478947	268488046	268488040
20	0	268478943	268478944	268478945	268478946	268478947	268488033	268488044
23	0	268478943	268478944	268478945	268478946	268478947	268488032	268488029
26	0	268478943	268478944	268478945	268478946	268478947	268488049	268488050
29	0	268478943	268478944	268478945	268478946	268478947	268488640	268488639
3	0	268484906	268484907	268484908	268484909	268484910	268487351	268484747
6	0	268484906	268484907	268484908	268484909	268484910	268487356	268484754
9	0	268484906	268484907	268484908	268484909	268484910	268484749	268487379
12	0	268484906	268484907	268484908	268484909	268484910	268487360	268484750
15	0	268484906	268484907	268484908	268484909	268484910	268487394	268484753
18	0	268484906	268484907	268484908	268484909	268484910	268487402	268484751
21	0	268484906	268484907	268484908	268484909	268484910	268487367	268484752
24	0	268484906	268484907	268484908	268484909	268484910	268487365	268484748
27	0	268484906	268484907	268484908	268484909	268484910	268487408	268484755
30	0	268484906	268484907	268484908	268484909	268484910	268488656	268488666
