ROWID	_DescriptionID|INTEGER	_UseItem01|INTEGER	_UseItem02|INTEGER	_UseItem03|INTEGER	_UseItem04|INTEGER	_UseItem05|INTEGER	_UseItem06|INTEGER	_UseItem07|INTEGER	_UseItem08|INTEGER	_UseItem09|INTEGER	_UseItem10|INTEGER	_UseItem11|INTEGER	_UseItem12|INTEGER	_UseItem13|INTEGER	_UseItem14|INTEGER	_UseItem15|INTEGER	_UseItem16|INTEGER	_UseItem17|INTEGER	_UseItem18|INTEGER	_UseItem19|INTEGER	_UseItem20|INTEGER	_UseItem21|INTEGER	_UseItem22|INTEGER	_UseItem23|INTEGER	_UseItem24|INTEGER	_UseItem25|INTEGER	_UseItem26|INTEGER	_UseItem27|INTEGER	_UseItem28|INTEGER	_UseItem29|INTEGER	_UseItem30|INTEGER	_SubCategory|INTEGER
1	1000048610	999999154	999999155	999999156	999999157	999999158	999999159	999999160	999999161	999999162	999999163	999999164	999999165	999999166	999999167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
2	1000048610	999999902	999999903	999999904	999999905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
3	1000048610	999999907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
4	1000048610	999999908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
5	1000048610	3800001	3800002	3800003	3800004	3800005	3800017	3800018	3800019	3800020	3800023	3800024	3800025	3800026	3800027	3800028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
6	1000048610	4070001	4070002	4070003	4070004	4070005	4070006	4070007	4070008	4070009	4070010	4070011	4070012	4070013	4070014	4070015	4070016	4070017	4070018	4070019	4070020	0	0	0	0	0	0	0	0	0	0	350
7	1000048610	800000359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
8	1000048610	4071002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
9	1000048610	999999000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
10	1000048610	999999001	999999002	999999003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
11	1000048610	999999004	999999005	999999006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
12	1000048610	999999007	999999008	999999009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
13	1000048610	999999010	999999011	999999012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
14	1000048610	999999013	999999014	999999015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
15	1000048610	3800006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
16	1000048610	3800007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
17	1000048610	3800008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
18	1000048610	3800009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
19	1000048610	3800010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
20	1000048610	7900013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
21	1000048610	3800011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
22	1000048610	3800012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
23	1000048610	3800013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
24	1000048610	3800014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
