ROWID	_KillScore|INTEGER	_AssistScore|INTEGER	_CriticalHitScore|INTEGER	_StunHitScore|INTEGER	_SuperAmmorBreakScore|INTEGER	_BrokenShieldScore|INTEGER	_GenocideScore|INTEGER	_AirComboScore|INTEGER	_ChainComboScore|INTEGER	_RescueScore|INTEGER	_ComboScore|INTEGER	_HitedScore|INTEGER	_CriticalHitedScore|INTEGER	_StunHitedScore|INTEGER	_DeathCountScore|INTEGER	_ProbBreak|INTEGER	_GetItem|INTEGER	_MapIndex|INTEGER	_ClassID|INTEGER
1	5	5	15	15	20	50	100	10	10	50	2	-5	-25	-25	-100	1	1	0	1
2	11	11	12	13	14	15	16	17	18	19	20	-11	-12	-13	-14	1	1	0	1
3	21	21	22	23	24	25	26	27	28	29	30	-21	-22	-23	-24	1	1	0	1
4	31	31	32	33	34	35	36	37	38	39	40	-31	-32	-33	-34	1	1	0	1
5	41	41	42	43	44	45	46	47	48	49	50	-41	-42	-43	-44	1	1	0	1
6	51	51	52	53	54	55	56	57	58	59	60	-51	-52	-53	-54	1	1	0	1
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
11	20	20	5	5	10	100	100	3	20	500	2	-10	-20	-20	0	1	1	0	1
12	20	20	5	5	10	100	100	3	20	500	2	-10	-20	-20	0	1	1	0	1
13	20	20	5	5	10	100	100	3	20	500	2	-15	-30	-30	0	1	1	0	1
14	20	20	5	5	10	100	100	3	20	500	2	-20	-40	-40	0	1	1	0	1
15	20	20	5	5	10	100	100	3	20	500	2	-25	-50	-50	0	1	1	0	1
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
21	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	1
22	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	2
23	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	3
24	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	4
25	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	5
26	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	6
27	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	7
28	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	8
29	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	9
30	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	11	10
31	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	1
32	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	2
33	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	3
34	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	4
35	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	5
36	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	6
37	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	7
38	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	8
39	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	9
40	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	12	10
41	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	1
42	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	2
43	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	3
44	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	4
45	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	5
46	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	6
47	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	7
48	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	8
49	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	9
50	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	13	10
51	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	1
52	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	2
53	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	3
54	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	4
55	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	5
56	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	6
57	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	7
58	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	8
59	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	9
60	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	14	10
61	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	1
62	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	2
63	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	3
64	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	4
65	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	5
66	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	6
67	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	7
68	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	8
69	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	9
70	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	15	10
101	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	1
102	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	2
103	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	3
104	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	4
105	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	5
106	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	6
107	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	7
108	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	8
109	20	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	9
110	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10001	10
111	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	1
112	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	2
113	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	3
114	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	4
115	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	5
116	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	6
117	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	7
118	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	8
119	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	9
120	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10002	10
121	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	1
122	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	2
123	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	3
124	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	4
125	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	5
126	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	6
127	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	7
128	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	8
129	100	1	0	0	0	0	50	0	5	500	1	0	0	0	0	10	5	10003	9
