ROWID	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_SubTitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameIDParam|TEXT	_Icon|INTEGER	_AchieveIcon|INTEGER	_RewardAppellation|INTEGER	_RewardPoint|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_CounterParam|INTEGER	_CounterOperator|INTEGER	_AchieveCheckType|BOOLEAN	_type|INTEGER	_typeParam|INTEGER	_MailID|INTEGER	_StartTime|TEXT	_EndTime|TEXT	_MinLevel|INTEGER	_MaxLevel|INTEGER
700020	1000144780	1000148030	1000093810		1	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5459	0	0	95	95
700021	1000144780	1000148030	1000102555		1	3	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5460	0	0	95	95
700022	1000144780	1000148030	1000150165		1	3	0	0	0	14	31	3716	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5461	0	0	95	95
700024	1000144780	1000148030	1000148034		1	3	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5462	0	0	95	95
700025	1000144780	1000148030	1000160334		{9768},{1000000865},1	3	0	0	0	3	3	274	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700026	1000144780	1000148030	1000160334		{9768},{1000000866},1	3	0	0	0	3	3	284	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700027	1000144780	1000148030	1000160334		{9768},{1000000867},1	3	0	0	0	3	3	294	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700028	1000144780	1000148030	1000160334		{9767},{1000003487},1	3	0	0	0	3	3	301	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700029	1000144780	1000148030	1000160334		{9768},{1000000868},1	3	0	0	0	3	3	314	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700030	1000144780	1000148030	1000160334		{9767},{1000007830},1	3	0	0	0	3	3	324	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700031	1000144780	1000148030	1000160334		{9767},{1000000870},1	3	0	0	0	3	3	331	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700032	1000144780	1000148030	1000160334		{9767},{1000007831},1	3	0	0	0	3	3	344	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700033	1000144780	1000148030	1000160334		{9768},{1000000872},1	3	0	0	0	3	3	354	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700034	1000144780	1000148030	1000160334		{9768},{1000000873},1	3	0	0	0	3	3	364	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700035	1000144780	1000148030	1000160334		{9768},{1000000875},1	3	0	0	0	3	3	384	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700036	1000144780	1000148030	1000160334		{9767},{1000003488},1	3	0	0	0	3	3	393	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700037	1000144780	1000148030	1000160334		{9768},{1000000877},1	3	0	0	0	3	3	404	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
