ROWID	_EventPeriod|TEXT	_TargetNest|INTEGER	_LevelMin|INTEGER	_WorldMapID|INTEGER	_LevelMax|INTEGER	_PartyMax|INTEGER	_ClearCount|INTEGER	_CountDown|INTEGER	_PartyTitle|INTEGER
1	201704062100:201704062300	15185	40	15180	93	8	1	5	1000075222
2	201704072100:201704072300	15181	40	15180	93	8	1	5	1000075222
3	201704081400:201704081600	15191	40	15180	93	8	1	5	1000075222
4	201704082100:201704082300	15195	40	15180	93	8	1	5	1000075222
5	201704091400:201704091600	15201	40	15180	93	8	1	5	1000075222
6	201704092100:201704092300	15185	40	15180	93	8	1	5	1000075222
7	201704102100:201704102300	15181	40	15180	93	8	1	5	1000075222
8	201704112100:201704112300	15191	40	15180	93	8	1	5	1000075222
9	201704122100:201704122300	15195	40	15180	93	8	1	5	1000075222
10	201704132100:201704132300	15201	40	15180	93	8	1	5	1000075222
11	201704142100:201704142300	15185	40	15180	93	8	1	5	1000075222
12	201704151400:201704151600	15181	40	15180	93	8	1	5	1000075222
13	201704152100:201704152300	15191	40	15180	93	8	1	5	1000075222
14	201704161400:201704161600	15195	40	15180	93	8	1	5	1000075222
15	201704162100:201704162300	15201	40	15180	93	8	1	5	1000075222
16	201704172100:201704172300	15185	40	15180	93	8	1	5	1000075222
17	201704182100:201704182300	15181	40	15180	93	8	1	5	1000075222
18	201704192100:201704192300	15191	40	15180	93	8	1	5	1000075222
19	201704202100:201704202300	15195	40	15180	93	8	1	5	1000075222
20	201704212100:201704212300	15201	40	15180	93	8	1	5	1000075222
21	201704221400:201704221600	15185	40	15180	93	8	1	5	1000075222
22	201704222100:201704222300	15181	40	15180	93	8	1	5	1000075222
23	201704231400:201704231600	15191	40	15180	93	8	1	5	1000075222
24	201704232100:201704232300	15195	40	15180	93	8	1	5	1000075222
25	201704242100:201704242300	15201	40	15180	93	8	1	5	1000075222
26	201704252100:201704252300	15185	40	15180	93	8	1	5	1000075222
27	201704262100:201704262300	15181	40	15180	93	8	1	5	1000075222
28	201704272100:201704272300	15191	40	15180	93	8	1	5	1000075222
29	201704282100:201704282300	15195	40	15180	93	8	1	5	1000075222
30	201704291400:201704291600	15201	40	15180	93	8	1	5	1000075222
31	201704292100:201704292300	15185	40	15180	93	8	1	5	1000075222
32	201704301400:201704301600	15181	40	15180	93	8	1	5	1000075222
33	201704302100:201704302300	15191	40	15180	93	8	1	5	1000075222
34	201705012100:201705012300	15195	40	15180	93	8	1	5	1000075222
35	201705022100:201705022300	15201	40	15180	93	8	1	5	1000075222
36	201705032100:201705032300	15185	40	15180	93	8	1	5	1000075222
37	201705042100:201705042300	15181	40	15180	93	8	1	5	1000075222
38	201705052100:201705052300	15191	40	15180	93	8	1	5	1000075222
39	201705061400:201705061600	15195	40	15180	93	8	1	5	1000075222
40	201705062100:201705062300	15201	40	15180	93	8	1	5	1000075222
41	201705071400:201705071600	15185	40	15180	93	8	1	5	1000075222
42	201705072100:201705072300	15181	40	15180	93	8	1	5	1000075222
43	201705082100:201705082300	15191	40	15180	93	8	1	5	1000075222
44	201705092100:201705092300	15195	40	15180	93	8	1	5	1000075222
45	201705102100:201705102300	15201	40	15180	93	8	1	5	1000075222
46	201705112100:201705112300	15185	40	15180	93	8	1	5	1000075222
47	201705122100:201705122300	15181	40	15180	93	8	1	5	1000075222
48	201705131400:201705131600	15191	40	15180	93	8	1	5	1000075222
49	201705132100:201705132300	15195	40	15180	93	8	1	5	1000075222
50	201705141400:201705141600	15201	40	15180	93	8	1	5	1000075222
51	201705142100:201705142300	15185	40	15180	93	8	1	5	1000075222
52	201705152100:201705152300	15181	40	15180	93	8	1	5	1000075222
53	201705162100:201705162300	15191	40	15180	93	8	1	5	1000075222
54	201705172100:201705172300	15195	40	15180	93	8	1	5	1000075222
