ROWID	_DragonJewelID|INTEGER	_DragonJewelRatio|FLOAT	_DragonJewelSlot1|INTEGER	_DragonJewelSlot2|INTEGER	_DragonJewelSlot3|INTEGER	_DragonJewelSlot4|INTEGER	_IsEnchanted|BOOLEAN
1	99	1.0	0	0	0	0	false
2	1	1.0	1	2	0	0	false
3	2	1.0	2	2	0	0	false
4	3	1.0	1	0	0	0	false
5	15	1.0	2	0	0	0	false
6	4	1.0	3	1	2	0	false
7	5	1.0	3	2	2	0	false
8	6	1.0	1	0	0	0	false
9	16	1.0	2	0	0	0	false
10	7	1.0	3	1	2	0	false
11	8	1.0	3	2	2	0	false
12	9	1.0	1	0	0	0	false
13	17	1.0	2	0	0	0	false
14	14	1.0	1	1	2	0	false
15	10	1.0	3	1	2	0	false
16	11	1.0	3	2	2	0	false
17	12	1.0	1	0	0	0	false
18	18	1.0	2	0	0	0	false
19	19	1.0	3	1	1	2	false
20	20	1.0	1	0	0	0	true
21	21	1.0	2	0	0	0	true
22	22	1.0	1	0	0	0	true
23	23	1.0	2	0	0	0	true
24	24	1.0	1	0	0	0	true
25	25	1.0	2	0	0	0	true
26	26	1.0	1	0	0	0	true
27	27	1.0	2	0	0	0	true
28	28	1.0	1	0	0	0	true
29	29	1.0	2	0	0	0	true
30	30	1.0	1	0	0	0	true
31	31	1.0	2	0	0	0	true
32	32	1.0	1	0	0	0	true
33	33	1.0	2	0	0	0	true
34	34	1.0	2	1	0	0	true
35	35	1.0	1	2	0	0	true
36	36	1.0	2	3	0	0	true
37	37	1.0	2	1	3	0	true
38	38	1.0	2	1	3	0	true
39	39	1.0	3	0	0	0	true
40	40	1.0	1	3	0	0	true
41	41	1.0	2	3	0	0	true
42	42	1.0	2	3	0	0	true
45	45	1.0	2	3	0	0	true
46	46	1.0	2	3	0	0	true
47	48	1.0	2	3	0	0	true
51	52	1.0	2	3	3	0	true
52	47	1.0	1	3	3	0	true
