ROWID	_Activate|INTEGER	_EventTitleName|INTEGER	_EventSubTitileName|INTEGER	_EventTime|INTEGER	_EventType|INTEGER	_EventValue1|INTEGER	_EventValue2|INTEGER	_EventValue3|INTEGER	_MonsterCompoundID1|INTEGER	_MonsterValue1|INTEGER	_MonsterCompoundID2|INTEGER	_MonsterValue2|INTEGER	_MonsterCompoundID3|INTEGER	_MonsterValue3|INTEGER	_MonsterCompoundID4|INTEGER	_MonsterValue4|INTEGER	_MonsterCompoundID5|INTEGER	_MonsterValue5|INTEGER	_MonsterCompoundID6|INTEGER	_MonsterValue6|INTEGER	_MonsterCompoundID7|INTEGER	_MonsterValue7|INTEGER	_MonsterCompoundID8|INTEGER	_MonsterValue8|INTEGER	_MonsterCompoundID9|INTEGER	_MonsterValue9|INTEGER	_MonsterCompoundID10|INTEGER	_MonsterValue10|INTEGER	_DropGroupID|INTEGER	_EmergenceBGM|INTEGER
1	1	1000078341	1000078347	60	1	102	0	0	11	30	12	60	13	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
2	1	1000078342	1000078348	60	2	0	0	0	31	60	32	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
3	1	1000078343	1000078349	60	3	0	0	0	53	45	54	600	51	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
4	1	1000078344	1000078350	60	4	0	0	0	21401	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
5	1	1000074528	1000074531	10	5	30925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
6	1	1000074528	1000074532	10	5	35073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
7	1	1000074528	1000074533	10	5	34733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
8	1	1000074529	1000072380	60	6	305142282	0	0	21402	10	21403	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
9	1	1000074530	1000072380	60	7	21210	0	0	21408	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
10	1	1000076354	1000072380	10	8	0	0	0	21402	10	21403	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
