ROWID	_ApplicableValue|INTEGER	_RequireMaxItemLevel|INTEGER	_RequireEnchantLevel|INTEGER	_EnchantLevel|INTEGER	_CanApplySealedItem|BOOLEAN
308314386	125336580	24	1	2	true
308314387	125336580	24	2	3	true
308314388	125336580	24	3	4	true
308314389	125336580	24	4	5	true
308314390	125336580	24	5	6	true
308314391	125336580	24	6	7	true
308314392	125336580	24	7	8	true
308314393	125336580	24	8	9	true
308314394	125336580	24	9	10	true
308314395	125336580	24	10	11	true
308314396	125336580	24	11	12	true
308314129	125336580	24	0	1	true
308314130	125336580	24	0	2	true
308314131	125336580	24	0	3	true
308314132	125336580	24	0	4	true
308314133	125336580	24	0	5	true
308314134	125336580	24	0	6	true
308314135	125336580	24	0	7	true
308314136	125336580	24	0	8	true
308314137	125336580	24	0	9	true
308314138	125336580	24	0	10	true
308314139	125336580	24	0	11	true
308314140	125336580	24	0	12	true
308318482	125385732	24	1	2	true
308318483	125385732	24	2	3	true
308318484	125385732	24	3	4	true
308318485	125385732	24	4	5	true
308318486	125385732	24	5	6	true
308318487	125385732	24	6	7	true
308318488	125385732	24	7	8	true
308318489	125385732	24	8	9	true
308318490	125385732	24	9	10	true
308318491	125385732	24	10	11	true
308318492	125385732	24	11	12	true
308318493	125385732	24	12	13	true
308318494	125385732	24	13	14	true
308318495	125385732	24	14	15	true
308318225	125385732	24	0	1	true
308318226	125385732	24	0	2	true
308318227	125385732	24	0	3	true
308318228	125385732	24	0	4	true
308318229	125385732	24	0	5	true
308318230	125385732	24	0	6	true
308318231	125385732	24	0	7	true
308318232	125385732	24	0	8	true
308318233	125385732	24	0	9	true
308318234	125385732	24	0	10	true
308318235	125385732	24	0	11	true
308318236	125385732	24	0	12	true
308318237	125385732	24	0	13	true
308318238	125385732	24	0	14	true
308318239	125385732	24	0	15	true
308316434	125352964	24	1	2	true
308316435	125352964	24	2	3	true
308316436	125352964	24	3	4	true
308316437	125352964	24	4	5	true
308316438	125352964	24	5	6	true
308316439	125352964	24	6	7	true
308316440	125352964	24	7	8	true
308316441	125352964	24	8	9	true
308316442	125352964	24	9	10	true
308316443	125352964	24	10	11	true
308316444	125352964	24	11	12	true
308316177	125352964	24	0	1	true
308316178	125352964	24	0	2	true
308316179	125352964	24	0	3	true
308316180	125352964	24	0	4	true
308316181	125352964	24	0	5	true
308316182	125352964	24	0	6	true
308316183	125352964	24	0	7	true
308316184	125352964	24	0	8	true
308316185	125352964	24	0	9	true
308316186	125352964	24	0	10	true
308316187	125352964	24	0	11	true
308316188	125352964	24	0	12	true
308320530	125451268	24	1	2	true
308320531	125451268	24	2	3	true
308320532	125451268	24	3	4	true
308320533	125451268	24	4	5	true
308320534	125451268	24	5	6	true
308320535	125451268	24	6	7	true
308320536	125451268	24	7	8	true
308320537	125451268	24	8	9	true
308320538	125451268	24	9	10	true
308320539	125451268	24	10	11	true
308320540	125451268	24	11	12	true
308320541	125451268	24	12	13	true
308320542	125451268	24	13	14	true
308320543	125451268	24	14	15	true
308320273	125451268	24	0	1	true
308320274	125451268	24	0	2	true
308320275	125451268	24	0	3	true
308320276	125451268	24	0	4	true
308320277	125451268	24	0	5	true
308320278	125451268	24	0	6	true
308320279	125451268	24	0	7	true
308320280	125451268	24	0	8	true
308320281	125451268	24	0	9	true
308320282	125451268	24	0	10	true
308320283	125451268	24	0	11	true
308320284	125451268	24	0	12	true
308320285	125451268	24	0	13	true
308320286	125451268	24	0	14	true
308320287	125451268	24	0	15	true
308298002	125336578	24	1	2	true
308298003	125336578	24	2	3	true
308298004	125336578	24	3	4	true
308298005	125336578	24	4	5	true
308298006	125336578	24	5	6	true
308298007	125336578	24	6	7	true
308298008	125336578	24	7	8	true
308298009	125336578	24	8	9	true
308298010	125336578	24	9	10	true
308298011	125336578	24	10	11	true
308298012	125336578	24	11	12	true
308297745	125336578	24	0	1	true
308297746	125336578	24	0	2	true
308297747	125336578	24	0	3	true
308297748	125336578	24	0	4	true
308297749	125336578	24	0	5	true
308297750	125336578	24	0	6	true
308297751	125336578	24	0	7	true
308297752	125336578	24	0	8	true
308297753	125336578	24	0	9	true
308297754	125336578	24	0	10	true
308297755	125336578	24	0	11	true
308297756	125336578	24	0	12	true
308302098	125385730	24	1	2	true
308302099	125385730	24	2	3	true
308302100	125385730	24	3	4	true
308302101	125385730	24	4	5	true
308302102	125385730	24	5	6	true
308302103	125385730	24	6	7	true
308302104	125385730	24	7	8	true
308302105	125385730	24	8	9	true
308302106	125385730	24	9	10	true
308302107	125385730	24	10	11	true
308302108	125385730	24	11	12	true
308302109	125385730	24	12	13	true
308302110	125385730	24	13	14	true
308302111	125385730	24	14	15	true
308301841	125385730	24	0	1	true
308301842	125385730	24	0	2	true
308301843	125385730	24	0	3	true
308301844	125385730	24	0	4	true
308301845	125385730	24	0	5	true
308301846	125385730	24	0	6	true
308301847	125385730	24	0	7	true
308301848	125385730	24	0	8	true
308301849	125385730	24	0	9	true
308301850	125385730	24	0	10	true
308301851	125385730	24	0	11	true
308301852	125385730	24	0	12	true
308301853	125385730	24	0	13	true
308301854	125385730	24	0	14	true
308301855	125385730	24	0	15	true
308300050	125352962	24	1	2	true
308300051	125352962	24	2	3	true
308300052	125352962	24	3	4	true
308300053	125352962	24	4	5	true
308300054	125352962	24	5	6	true
308300055	125352962	24	6	7	true
308300056	125352962	24	7	8	true
308300057	125352962	24	8	9	true
308300058	125352962	24	9	10	true
308300059	125352962	24	10	11	true
308300060	125352962	24	11	12	true
308299793	125352962	24	0	1	true
308299794	125352962	24	0	2	true
308299795	125352962	24	0	3	true
308299796	125352962	24	0	4	true
308299797	125352962	24	0	5	true
308299798	125352962	24	0	6	true
308299799	125352962	24	0	7	true
308299800	125352962	24	0	8	true
308299801	125352962	24	0	9	true
308299802	125352962	24	0	10	true
308299803	125352962	24	0	11	true
308299804	125352962	24	0	12	true
308304146	125451266	24	1	2	true
308304147	125451266	24	2	3	true
308304148	125451266	24	3	4	true
308304149	125451266	24	4	5	true
308304150	125451266	24	5	6	true
308304151	125451266	24	6	7	true
308304152	125451266	24	7	8	true
308304153	125451266	24	8	9	true
308304154	125451266	24	9	10	true
308304155	125451266	24	10	11	true
308304156	125451266	24	11	12	true
308304157	125451266	24	12	13	true
308304158	125451266	24	13	14	true
308304159	125451266	24	14	15	true
308303889	125451266	24	0	1	true
308303890	125451266	24	0	2	true
308303891	125451266	24	0	3	true
308303892	125451266	24	0	4	true
308303893	125451266	24	0	5	true
308303894	125451266	24	0	6	true
308303895	125451266	24	0	7	true
308303896	125451266	24	0	8	true
308303897	125451266	24	0	9	true
308303898	125451266	24	0	10	true
308303899	125451266	24	0	11	true
308303900	125451266	24	0	12	true
308303901	125451266	24	0	13	true
308303902	125451266	24	0	14	true
308303903	125451266	24	0	15	true
308330770	125336584	24	1	2	true
308330771	125336584	24	2	3	true
308330772	125336584	24	3	4	true
308330773	125336584	24	4	5	true
308330774	125336584	24	5	6	true
308330775	125336584	24	6	7	true
308330776	125336584	24	7	8	true
308330777	125336584	24	8	9	true
308330778	125336584	24	9	10	true
308330779	125336584	24	10	11	true
308330780	125336584	24	11	12	true
308330513	125336584	24	0	1	true
308330514	125336584	24	0	2	true
308330515	125336584	24	0	3	true
308330516	125336584	24	0	4	true
308330517	125336584	24	0	5	true
308330518	125336584	24	0	6	true
308330519	125336584	24	0	7	true
308330520	125336584	24	0	8	true
308330521	125336584	24	0	9	true
308330522	125336584	24	0	10	true
308330523	125336584	24	0	11	true
308330524	125336584	24	0	12	true
308334866	125385736	24	1	2	true
308334867	125385736	24	2	3	true
308334868	125385736	24	3	4	true
308334869	125385736	24	4	5	true
308334870	125385736	24	5	6	true
308334871	125385736	24	6	7	true
308334872	125385736	24	7	8	true
308334873	125385736	24	8	9	true
308334874	125385736	24	9	10	true
308334875	125385736	24	10	11	true
308334876	125385736	24	11	12	true
308334877	125385736	24	12	13	true
308334878	125385736	24	13	14	true
308334879	125385736	24	14	15	true
308334609	125385736	24	0	1	true
308334610	125385736	24	0	2	true
308334611	125385736	24	0	3	true
308334612	125385736	24	0	4	true
308334613	125385736	24	0	5	true
308334614	125385736	24	0	6	true
308334615	125385736	24	0	7	true
308334616	125385736	24	0	8	true
308334617	125385736	24	0	9	true
308334618	125385736	24	0	10	true
308334619	125385736	24	0	11	true
308334620	125385736	24	0	12	true
308334621	125385736	24	0	13	true
308334622	125385736	24	0	14	true
308334623	125385736	24	0	15	true
308332818	125352968	24	1	2	true
308332819	125352968	24	2	3	true
308332820	125352968	24	3	4	true
308332821	125352968	24	4	5	true
308332822	125352968	24	5	6	true
308332823	125352968	24	6	7	true
308332824	125352968	24	7	8	true
308332825	125352968	24	8	9	true
308332826	125352968	24	9	10	true
308332827	125352968	24	10	11	true
308332828	125352968	24	11	12	true
308332561	125352968	24	0	1	true
308332562	125352968	24	0	2	true
308332563	125352968	24	0	3	true
308332564	125352968	24	0	4	true
308332565	125352968	24	0	5	true
308332566	125352968	24	0	6	true
308332567	125352968	24	0	7	true
308332568	125352968	24	0	8	true
308332569	125352968	24	0	9	true
308332570	125352968	24	0	10	true
308332571	125352968	24	0	11	true
308332572	125352968	24	0	12	true
308336914	125451272	24	1	2	true
308336915	125451272	24	2	3	true
308336916	125451272	24	3	4	true
308336917	125451272	24	4	5	true
308336918	125451272	24	5	6	true
308336919	125451272	24	6	7	true
308336920	125451272	24	7	8	true
308336921	125451272	24	8	9	true
308336922	125451272	24	9	10	true
308336923	125451272	24	10	11	true
308336924	125451272	24	11	12	true
308336925	125451272	24	12	13	true
308336926	125451272	24	13	14	true
308336927	125451272	24	14	15	true
308336657	125451272	24	0	1	true
308336658	125451272	24	0	2	true
308336659	125451272	24	0	3	true
308336660	125451272	24	0	4	true
308336661	125451272	24	0	5	true
308336662	125451272	24	0	6	true
308336663	125451272	24	0	7	true
308336664	125451272	24	0	8	true
308336665	125451272	24	0	9	true
308336666	125451272	24	0	10	true
308336667	125451272	24	0	11	true
308336668	125451272	24	0	12	true
308336669	125451272	24	0	13	true
308336670	125451272	24	0	14	true
308336671	125451272	24	0	15	true
308379922	125336640	24	1	2	true
308379923	125336640	24	2	3	true
308379924	125336640	24	3	4	true
308379925	125336640	24	4	5	true
308379926	125336640	24	5	6	true
308379927	125336640	24	6	7	true
308379928	125336640	24	7	8	true
308379929	125336640	24	8	9	true
308379930	125336640	24	9	10	true
308379931	125336640	24	10	11	true
308379932	125336640	24	11	12	true
308379665	125336640	24	0	1	true
308379666	125336640	24	0	2	true
308379667	125336640	24	0	3	true
308379668	125336640	24	0	4	true
308379669	125336640	24	0	5	true
308379670	125336640	24	0	6	true
308379671	125336640	24	0	7	true
308379672	125336640	24	0	8	true
308379673	125336640	24	0	9	true
308379674	125336640	24	0	10	true
308379675	125336640	24	0	11	true
308379676	125336640	24	0	12	true
308384018	125385792	24	1	2	true
308384019	125385792	24	2	3	true
308384020	125385792	24	3	4	true
308384021	125385792	24	4	5	true
308384022	125385792	24	5	6	true
308384023	125385792	24	6	7	true
308384024	125385792	24	7	8	true
308384025	125385792	24	8	9	true
308384026	125385792	24	9	10	true
308384027	125385792	24	10	11	true
308384028	125385792	24	11	12	true
308384029	125385792	24	12	13	true
308384030	125385792	24	13	14	true
308384031	125385792	24	14	15	true
308383761	125385792	24	0	1	true
308383762	125385792	24	0	2	true
308383763	125385792	24	0	3	true
308383764	125385792	24	0	4	true
308383765	125385792	24	0	5	true
308383766	125385792	24	0	6	true
308383767	125385792	24	0	7	true
308383768	125385792	24	0	8	true
308383769	125385792	24	0	9	true
308383770	125385792	24	0	10	true
308383771	125385792	24	0	11	true
308383772	125385792	24	0	12	true
308383773	125385792	24	0	13	true
308383774	125385792	24	0	14	true
308383775	125385792	24	0	15	true
308381970	125353024	24	1	2	true
308381971	125353024	24	2	3	true
308381972	125353024	24	3	4	true
308381973	125353024	24	4	5	true
308381974	125353024	24	5	6	true
308381975	125353024	24	6	7	true
308381976	125353024	24	7	8	true
308381977	125353024	24	8	9	true
308381978	125353024	24	9	10	true
308381979	125353024	24	10	11	true
308381980	125353024	24	11	12	true
308381713	125353024	24	0	1	true
308381714	125353024	24	0	2	true
308381715	125353024	24	0	3	true
308381716	125353024	24	0	4	true
308381717	125353024	24	0	5	true
308381718	125353024	24	0	6	true
308381719	125353024	24	0	7	true
308381720	125353024	24	0	8	true
308381721	125353024	24	0	9	true
308381722	125353024	24	0	10	true
308381723	125353024	24	0	11	true
308381724	125353024	24	0	12	true
308386066	125451328	24	1	2	true
308386067	125451328	24	2	3	true
308386068	125451328	24	3	4	true
308386069	125451328	24	4	5	true
308386070	125451328	24	5	6	true
308386071	125451328	24	6	7	true
308386072	125451328	24	7	8	true
308386073	125451328	24	8	9	true
308386074	125451328	24	9	10	true
308386075	125451328	24	10	11	true
308386076	125451328	24	11	12	true
308386077	125451328	24	12	13	true
308386078	125451328	24	13	14	true
308386079	125451328	24	14	15	true
308385809	125451328	24	0	1	true
308385810	125451328	24	0	2	true
308385811	125451328	24	0	3	true
308385812	125451328	24	0	4	true
308385813	125451328	24	0	5	true
308385814	125451328	24	0	6	true
308385815	125451328	24	0	7	true
308385816	125451328	24	0	8	true
308385817	125451328	24	0	9	true
308385818	125451328	24	0	10	true
308385819	125451328	24	0	11	true
308385820	125451328	24	0	12	true
308385821	125451328	24	0	13	true
308385822	125451328	24	0	14	true
308385823	125451328	24	0	15	true
308363538	125336608	24	1	2	true
308363539	125336608	24	2	3	true
308363540	125336608	24	3	4	true
308363541	125336608	24	4	5	true
308363542	125336608	24	5	6	true
308363543	125336608	24	6	7	true
308363544	125336608	24	7	8	true
308363545	125336608	24	8	9	true
308363546	125336608	24	9	10	true
308363547	125336608	24	10	11	true
308363548	125336608	24	11	12	true
308363281	125336608	24	0	1	true
308363282	125336608	24	0	2	true
308363283	125336608	24	0	3	true
308363284	125336608	24	0	4	true
308363285	125336608	24	0	5	true
308363286	125336608	24	0	6	true
308363287	125336608	24	0	7	true
308363288	125336608	24	0	8	true
308363289	125336608	24	0	9	true
308363290	125336608	24	0	10	true
308363291	125336608	24	0	11	true
308363292	125336608	24	0	12	true
308367634	125385760	24	1	2	true
308367635	125385760	24	2	3	true
308367636	125385760	24	3	4	true
308367637	125385760	24	4	5	true
308367638	125385760	24	5	6	true
308367639	125385760	24	6	7	true
308367640	125385760	24	7	8	true
308367641	125385760	24	8	9	true
308367642	125385760	24	9	10	true
308367643	125385760	24	10	11	true
308367644	125385760	24	11	12	true
308367645	125385760	24	12	13	true
308367646	125385760	24	13	14	true
308367647	125385760	24	14	15	true
308367377	125385760	24	0	1	true
308367378	125385760	24	0	2	true
308367379	125385760	24	0	3	true
308367380	125385760	24	0	4	true
308367381	125385760	24	0	5	true
308367382	125385760	24	0	6	true
308367383	125385760	24	0	7	true
308367384	125385760	24	0	8	true
308367385	125385760	24	0	9	true
308367386	125385760	24	0	10	true
308367387	125385760	24	0	11	true
308367388	125385760	24	0	12	true
308367389	125385760	24	0	13	true
308367390	125385760	24	0	14	true
308367391	125385760	24	0	15	true
308365586	125352992	24	1	2	true
308365587	125352992	24	2	3	true
308365588	125352992	24	3	4	true
308365589	125352992	24	4	5	true
308365590	125352992	24	5	6	true
308365591	125352992	24	6	7	true
