ROWID	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT
1	0	35	1	28	2	25	3	23	74	5	0		0		0		0		0	
100	100	168	25	1261	8	87	9	77	-1		0		0		0		0		0	
101	100	168	25	1778	8	108	9	96	-1		0		0		0		0		0	
102	100	168	25	2944	8	339	9	301	-1		0		0		0		0		0	
22301184	25	1619	26	1133	-1	0	-1	0	-1	0	0		0		0		0		0	
22104576	25	5669	26	3968	-1	0	-1	0	-1	0	0		0		0		0		0	
22235648	25	1619	26	1133	-1	0	-1	0	-1	0	0		0		0		0		0	
22170112	25	4049	26	2834	-1	0	-1	0	-1	0	0		0		0		0		0	
22039040	25	3239	26	2267	-1	0	-1	0	-1	0	0		0		0		0		0	
22497792	25	2892	26	2024	-1	0	-1	0	-1	0	0		0		0		0		0	
22366720	25	2313	26	1619	-1	0	-1	0	-1	0	0		0		0		0		0	
22563328	25	1156	26	809	-1	0	-1	0	-1	0	0		0		0		0		0	
22628864	25	1156	26	809	-1	0	-1	0	-1	0	0		0		0		0		0	
22432256	25	4049	26	2834	-1	0	-1	0	-1	0	0		0		0		0		0	
22759936	25	3846	26	2692	-1	0	-1	0	-1	0	0		0		0		0		0	
22825472	25	2747	26	1923	-1	0	-1	0	-1	0	0		0		0		0		0	
22891008	25	1099	26	769	-1	0	-1	0	-1	0	0		0		0		0		0	
22694400	25	2198	26	1538	-1	0	-1	0	-1	0	0		0		0		0		0	
22956544	25	1099	26	769	-1	0	-1	0	-1	0	0		0		0		0		0	
23022080	25	3748	26	2624	-1	0	-1	0	-1	0	0		0		0		0		0	
23218688	25	1874	26	1312	-1	0	-1	0	-1	0	0		0		0		0		0	
23284224	25	1874	26	1312	-1	0	-1	0	-1	0	0		0		0		0		0	
23087616	25	6560	26	4592	-1	0	-1	0	-1	0	0		0		0		0		0	
23153152	25	4685	26	3280	-1	0	-1	0	-1	0	0		0		0		0		0	
880803841	25	2776	26	1943	-1	0	-1	0	-1	0	0		0		0		0		0	
880803842	25	4859	26	3401	-1	0	-1	0	-1	0	0		0		0		0		0	
880803843	25	3470	26	2429	-1	0	-1	0	-1	0	0		0		0		0		0	
880803844	25	1388	26	971	-1	0	-1	0	-1	0	0		0		0		0		0	
880803845	25	1388	26	971	-1	0	-1	0	-1	0	0		0		0		0		0	
20990464	4	444	5	601	6	380	7	514	-1	0	0		0		0		0		0	
21056000	4	329	5	685	6	262	7	545	-1	0	0		0		0		0		0	
21318144	4	358	5	745	6	285	7	592	-1	0	0		0		0		0		0	
21121536	4	258	5	776	6	205	7	617	-1	0	0		0		0		0		0	
21514752	4	288	5	672	6	197	7	461	-1	0	0		0		0		0		0	
21252608	4	503	5	615	6	431	7	526	-1	0	0		0		0		0		0	
21776896	4	248	5	372	6	291	7	437	-1	0	0		0		0		0		0	
21645824	4	296	5	444	6	401	7	602	-1	0	0		0		0		0		0	
23808512	4	407	5	550	6	475	7	643	-1	0	0		0		0		0		0	
23742976	4	475	5	643	6	407	7	550	-1	0	0		0		0		0		0	
21383680	4	459	5	689	6	393	7	590	-1	0	0		0		0		0		0	
21580288	4	343	5	638	6	235	7	437	-1	0	0		0		0		0		0	
21187072	4	266	5	400	6	209	7	314	-1	0	0		0		0		0		0	
21711360	4	254	5	382	6	254	7	382	8	50	0		0		0		0		0	
21907968	4	432	5	585	6	504	7	683	-1	0	0		0		0		0		0	
21973504	4	412	5	558	6	481	7	650	-1	0	0		0		0		0		0	
21842432	4	412	5	558	6	481	7	650	-1	0	0		0		0		0		0	
23874048	4	254	5	381	6	254	7	381	-1	0	0		0		0		0		0	
21449216	4	274	5	411	6	233	7	350	-1	0	0		0		0		0		0	
2	4	444	5	601	6	380	7	514	-1	0	0		0		0		0		0	
10	4	10	5	10	6	10	7	10	-1	0	0		0		0		0		0	
4194816	4	89.2926785685917	5	120.807741592801	6	76.4488876798255	7	103.430848037411	0		0		0		0		0		0	
4195328	4	110.556206154296	5	149.576043620518	6	94.6538856498175	7	128.061139408577	0		0		0		0		0		0	
4195840	4	137.557230438402	5	186.106841181367	6	117.771103162228	7	159.337374866543	0		0		0		0		0		0	
4196352	4	195.069058421229	5	263.916961393428	6	167.010473603369	7	225.955346639852	0		0		0		0		0		0	
4196864	4	277.59647969883	5	375.571707827829	6	237.667213449183	7	321.549759372425	0		0		0		0		0		0	
4197376	4	388.604824596151	5	525.759468571263	6	332.708202549534	7	450.134626978781	0		0		0		0		0		0	
4197888	4	504.595451359862	5	682.68796360452	6	432.01482588663	7	584.490646787793	0		0		0		0		0		0	
4198400	4	647.973471507407	5	876.669990862962	6	554.769460798779	7	750.570446963054	0		0		0		0		0		0	
847251870	4	982.687969945138	5	1329.51901816107	6	841.338880666937	7	1138.28201501997	0		0		0		0		0		0	
847251871	4	1484.4402643145	5	2008.36035760197	6	1270.91950709951	7	1719.47933313463	0		0		0		0		0		0	
