ROWID	_EnchantID|INTEGER	_EnchantLevel|INTEGER	_EnchantRatio|FLOAT	_BreakRatio|FLOAT	_MinDown|INTEGER	_MaxDown|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER	_NeedItemID3|INTEGER	_NeedItemCount3|INTEGER	_NeedItemID4|INTEGER	_NeedItemCount4|INTEGER	_NeedItemID5|INTEGER	_NeedItemCount5|INTEGER	_NeedCoin|INTEGER	_State1|INTEGER	_State1Value|TEXT	_State2|INTEGER	_State2Value|TEXT	_State3|INTEGER	_State3Value|TEXT	_State4|INTEGER	_State4Value|TEXT	_State5|INTEGER	_State5Value|TEXT	_State6|INTEGER	_State6Value|TEXT	_State7|INTEGER	_State7Value|TEXT	_State8|INTEGER	_State8Value|TEXT	_State9|INTEGER	_State9Value|TEXT	_State10|INTEGER	_State10Value|TEXT	_FailResultDropItemTableID|INTEGER	_PotentialID|INTEGER	_PotentialRatio|FLOAT	_ActionChangeValue|INTEGER	_ProtectItemCount|INTEGER	_ShieldItemCount|INTEGER	_BreakProtectItemCount|INTEGER	_DisjointDrop|INTEGER	_RandFunction|INTEGER	_NeedPoint|INTEGER	_NeedPointCount|INTEGER	_GearScore|INTEGER	_ProtectType|INTEGER	_Msg|BOOLEAN	_Skill_ApplyType|INTEGER	_SkillID|INTEGER	_SkillLevel|INTEGER
61975	847258592	1	0.5	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	20	33	20	101	0.00501	102	0.00501	12	200	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555793	1	0	0	0	0	false	0	0	0
61976	847258592	2	0.4	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	40	33	40	101	0.01001	102	0.01001	12	400	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555794	1	0	0	0	0	false	0	0	0
61977	847258592	3	0.35	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	120	33	120	101	0.02001	102	0.02001	12	1200	29	50	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555795	1	0	0	0	0	false	0	0	0
61978	847258592	4	0.2	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	210	33	210	101	0.03501	102	0.03501	12	1700	29	70	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555796	1	0	0	0	0	false	0	0	0
61979	847258592	5	0.1	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	460	33	460	101	0.05001	102	0.05001	12	2700	29	100	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555797	1	0	0	0	0	false	0	0	0
61980	847258592	6	0.07	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	1460	33	1460	101	0.07001	102	0.07001	12	3700	29	150	62	0.03001	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
61981	847258592	7	0.05	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	2360	33	2360	101	0.09001	102	0.09001	12	4700	29	200	62	0.05001	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
61982	847258592	8	0.05	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	10360	33	10360	101	0.09501	102	0.09501	12	5700	29	250	62	0.05501	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
61983	847258592	9	0.03	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	11360	33	11360	101	0.10001	102	0.10001	12	29700	29	450	62	0.05501	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	true	0	0	0
61984	847258592	10	0.03	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	11860	33	11860	101	0.11001	102	0.11001	12	49700	29	500	62	0.05501	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	true	0	0	0
61985	847258595	1	0.5	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	20	33	20	101	0.00501	102	0.00501	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555804	1	0	0	0	0	false	0	0	0
61986	847258595	2	0.4	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	50	33	50	101	0.01001	102	0.01001	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555805	1	0	0	0	0	false	0	0	0
61987	847258595	3	0.35	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	120	33	120	101	0.01501	102	0.01501	88	0.03001	29	20	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555806	1	0	0	0	0	false	0	0	0
61988	847258595	4	0.2	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	200	33	200	101	0.02001	102	0.02001	88	0.04001	29	50	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555807	1	0	0	0	0	false	0	0	0
61989	847258595	5	0.1	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	350	33	350	101	0.02501	102	0.02501	88	0.05001	29	70	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	184555808	1	0	0	0	0	false	0	0	0
61990	847258595	6	0.07	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	1200	33	1200	101	0.03501	102	0.03501	88	0.07001	29	120	103	3000	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
61991	847258595	7	0.05	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	1900	33	1900	101	0.04501	102	0.04501	88	0.09001	29	170	103	5000	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
61992	847258595	8	0.05	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	5400	33	5400	101	0.05001	102	0.05001	88	0.10001	29	220	103	7000	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
61993	847258595	9	0.03	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	6900	33	6900	101	0.05001	102	0.05001	88	0.13001	29	400	103	35000	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	true	0	0	0
61994	847258595	10	0.03	0.0	0	0	1073888728	1	0	0	0	0	0	0	0	0	0	32	7900	33	7900	101	0.05501	102	0.05501	88	0.16001	29	500	103	50000	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	true	0	0	0
62285	847258616	1	1.0	0.0	0	0	1073896712	3500	0	0	0	0	0	0	0	0	0	32	9000	33	9000	101	0.01001	102	0.01001	53	0.01001	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
62186	847258616	2	1.0	0.0	0	0	1073896712	3500	0	0	0	0	0	0	0	0	0	32	19000	33	19000	101	0.03001	102	0.03001	53	0.02001	-1	0	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
62187	847258616	3	1.0	0.0	0	0	1073896712	3500	0	0	0	0	0	0	0	0	0	32	39000	33	39000	101	0.03001	102	0.03001	53	0.02001	75	0.05001	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
62188	847258616	4	1.0	0.0	0	0	1073896712	3500	0	0	0	0	0	0	0	0	0	32	59000	33	59000	101	0.03001	102	0.03001	53	0.02001	75	0.10001	-1	0	-1	0	-1	0	-1	0	0	0	0.0	0	0	0	0	0	1	0	0	0	0	false	0	0	0
