ROWID	_ItemID|INTEGER
1	268452594
2	268452595
3	268452376
4	268452377
5	268452378
6	268452952
7	268452596
8	268452597
9	268452380
10	268452381
11	268452382
12	268452956
13	268452598
14	268452599
15	268452384
16	268452385
17	268452386
18	268452960
19	268452600
20	268452601
21	268452388
22	268452389
23	268452390
24	268452964
25	268452602
26	268452603
27	268452392
28	268452393
29	268452394
30	268452968
31	268452604
32	268452605
33	268452396
34	268452397
35	268452398
36	268452972
37	268452606
38	268452607
39	268452400
40	268452401
41	268452402
42	268452976
43	268452608
44	268454374
45	268454375
46	268453882
47	268453883
48	268453884
49	268453885
50	268453894
51	268452609
52	268452404
53	268452405
54	268452406
55	268452980
56	268452610
57	268452611
58	268452612
59	268452409
60	268452410
61	268452411
62	268452984
63	268452613
64	268454380
65	268453998
66	268453999
67	268454000
68	268454001
69	268454010
70	268452614
71	268452413
72	268452414
73	268452415
74	268452988
75	268452615
76	268452616
77	268452617
78	268452418
79	268452419
80	268452420
81	268452992
82	268452618
83	268452619
84	268452620
85	268452423
86	268452424
87	268452425
88	268452996
89	268452621
90	268452622
91	268452427
92	268452428
93	268452429
94	268453000
95	268452623
96	268452624
97	268452625
98	268452432
99	268452433
100	268452434
101	268453004
102	268452626
103	268452627
104	268452436
105	268452437
106	268452438
107	268453008
108	268452628
109	268452629
110	268452630
111	268452441
112	268452442
113	268452443
114	268453012
115	268452631
116	268452632
117	268452633
118	268452446
119	268452447
120	268452448
121	268453016
122	268452634
123	268452635
124	268452636
125	268452451
126	268452452
127	268452453
128	268453020
129	268452637
130	268452638
131	268452639
132	268452456
133	268452457
134	268452458
135	268453024
136	268452640
137	268452641
138	268452460
139	268452461
140	268452462
141	268453028
142	268452642
143	268452643
144	268452644
145	268452465
146	268452466
147	268452467
148	268453032
149	268452645
150	268452646
151	268452647
152	268452470
153	268452471
154	268452472
155	268453036
156	268452648
157	268452649
158	268452474
159	268452475
160	268452476
161	268453040
162	268452650
163	268452651
164	268452478
165	268452479
166	268452480
167	268453044
168	268452652
169	268452653
170	268452654
171	268452483
172	268452484
173	268452485
174	268453048
175	268452655
176	268452656
177	268452657
178	268452109
179	268452110
180	268452111
181	268453052
182	268452658
183	268452661
184	268452662
185	268452130
186	268452131
187	268452132
188	268453056
189	268452663
190	268452664
191	268452665
192	268452136
193	268452137
194	268452138
195	268453060
196	268452666
197	268454389
198	268454390
199	268454067
200	268454068
201	268454069
202	268454070
203	268454079
204	268454399
205	268454400
206	268454136
207	268454137
208	268454138
209	268454139
210	268454148
211	268452667
212	268452668
213	268452142
214	268452143
215	268452144
216	268453064
217	268452669
218	268452670
219	268452671
220	268452148
221	268452149
222	268452150
223	268453068
224	268452672
225	268452673
226	268452674
227	268452154
228	268452155
229	268452156
230	268453072
231	268452675
232	268452676
233	268452677
234	268452161
235	268452162
236	268452163
237	268453076
238	268452678
239	268452679
240	268452680
241	268452168
242	268452169
243	268452170
244	268453080
245	268452681
246	268452682
247	268452683
248	268452174
249	268452175
250	268452176
251	268453084
252	268452684
253	268452687
254	268452688
255	268452197
256	268452198
257	268452199
258	268453088
259	268452689
260	268452692
261	268452693
262	268452224
263	268452225
264	268452226
265	268453092
266	268452694
267	268452695
268	268452696
269	268452230
270	268452231
271	268452232
272	268453096
273	268452697
274	268454409
275	268454410
276	268454214
277	268454215
278	268454216
279	268454217
280	268454226
281	268452698
282	268452699
283	268452236
284	268452237
285	268452238
286	268453100
287	268452700
288	268452701
289	268452702
290	268452242
291	268452243
292	268452244
293	268453104
294	268452703
295	268452704
296	268452705
297	268452248
298	268452249
299	268452250
300	268453108
301	268452706
302	268454419
303	268454420
304	268454283
305	268454284
306	268454285
307	268454286
308	268454295
309	268452707
310	268452708
311	268452254
312	268452255
313	268452256
314	268453112
315	268452709
316	268454429
317	268454430
318	268454352
319	268454353
320	268454354
321	268454355
322	268454364
323	268452710
324	268452711
325	268452260
326	268452261
327	268452262
328	268453116
329	268452712
330	268452713
331	268452714
332	268452266
333	268452267
334	268452268
335	268453120
336	268452715
337	268452716
338	268452717
339	268452272
340	268452273
341	268452274
342	268453124
343	268452718
344	268452719
345	268452720
346	268452279
347	268452280
348	268452281
349	268453128
350	268452721
351	268452722
352	268452723
353	268452285
354	268452286
355	268452287
356	268453132
357	268452724
358	268452725
359	268452726
360	268452291
361	268452292
362	268452293
363	268453136
364	268452727
365	268452728
366	268452729
367	268452297
368	268452298
369	268452299
370	268453140
371	268452730
372	268452731
373	268452732
374	268452303
375	268452304
376	268452305
377	268453144
378	268452733
379	268452734
380	268452735
381	268452309
382	268452310
383	268452311
384	268453148
385	268452736
386	268452737
387	268452738
388	268452315
389	268452316
390	268452317
391	268453152
392	268452739
393	268452740
394	268452741
395	268452321
396	268452322
397	268452323
398	268453156
399	268452742
400	268452743
401	268452744
402	268452327
403	268452328
404	268452329
405	268453160
406	268452745
407	268452746
408	268452747
409	268452333
410	268452334
411	268452335
412	268453164
413	268452748
414	268452749
415	268452750
416	268452339
417	268452340
418	268452341
419	268453168
420	268452751
421	268452752
422	268452753
423	268452346
424	268452347
425	268452348
426	268453172
427	268452754
428	268452755
429	268452756
430	268452352
431	268452353
432	268452354
433	268453176
434	268452757
435	268452758
436	268452759
437	268452358
438	268452359
439	268452360
440	268453180
441	268452760
442	268452761
443	268452762
444	268452364
445	268452365
446	268452366
447	268453184
448	268452763
449	268452764
450	268452765
451	268452371
452	268452372
453	268452373
454	268453188
455	268452766
456	268456419
457	268456420
458	268456421
459	268456422
460	268456423
461	268456424
462	268456425
463	268456426
464	268456427
465	268456428
466	268456429
467	268456430
468	268456431
469	268456432
470	268456433
471	268456434
472	268456435
473	268456436
474	268456437
475	268456438
476	268456439
477	268456440
478	268456441
479	268456442
480	268456443
481	268456444
482	268456445
483	268456446
484	268456447
485	268456448
486	268456449
487	268456450
488	268456451
489	268456452
490	268456453
491	268456454
492	268456455
493	268456456
494	268456457
495	268456458
496	268457285
497	268457286
498	268457287
499	268457288
500	268457289
501	268457290
502	268457291
503	268457292
504	268457293
505	268457294
506	268457295
507	268457296
508	268457297
509	268457298
510	268457299
511	268457300
512	268457301
513	268457302
514	268457303
515	268457304
516	268457305
517	268457306
518	268457307
519	268457308
520	268457309
521	268457310
522	268457311
523	268457312
524	268457313
525	268457314
526	268457315
527	268457316
528	268457317
529	268457318
530	268457319
531	268457320
532	268457321
533	268457322
534	268457323
535	268457324
536	268456392
537	268456393
538	268456394
539	268456395
540	268456396
541	268456397
542	268456398
543	268456399
544	268456400
545	268456401
546	268456402
547	268456403
548	268456404
549	268456405
550	268456406
551	268456407
552	268456408
553	268456409
554	268456410
555	268456411
556	268456412
557	268456413
558	268456414
559	268456415
560	268456416
561	268456417
562	268456418
563	268457258
564	268457259
565	268457260
566	268457261
567	268457262
568	268457263
569	268457264
570	268457265
571	268457266
572	268457267
573	268457268
574	268457269
575	268457270
576	268457271
577	268457272
578	268457273
579	268457274
580	268457275
581	268457276
582	268457277
583	268457278
584	268457279
585	268457280
586	268457281
587	268457282
588	268457283
589	268457284
590	268461848
