ROWID	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
1	27	46	15	29	304	174	420	245	4	96	54	53	116	92	35	100	300	75	1	1	18	11	7	14	53	1	1
2	31	53	18	34	352	203	480	315	5	109	60	63	136	104	40	100	300	87	1	1	20	13	9	16	63	1	1
3	36	60	20	38	401	231	540	350	6	125	69	72	158	119	45	100	300	99	1	1	23	15	10	18	72	1	1
4	40	68	22	43	450	259	630	385	6	140	78	78	168	134	52	100	300	111	1	1	26	16	11	21	78	1	1
5	44	75	25	48	498	286	690	420	7	156	87	87	189	149	58	100	300	123	1	1	29	18	12	23	87	1	1
6	49	83	27	52	547	314	750	455	8	172	96	97	210	164	62	100	300	135	1	1	32	20	13	25	97	1	1
7	53	90	30	57	595	343	810	525	9	185	102	106	231	176	68	100	300	147	1	1	34	22	15	27	106	1	1
8	57	97	32	62	644	371	900	560	9	200	111	112	242	191	75	100	300	159	1	1	37	23	16	30	112	1	1
9	61	104	34	66	693	398	960	595	10	216	120	121	262	206	80	100	300	171	1	1	40	25	17	32	121	1	1
10	66	112	37	71	741	426	1020	630	11	232	129	131	284	221	85	100	300	183	1	1	43	27	18	34	131	1	1
11	70	119	39	75	789	454	1080	665	11	248	138	140	304	236	90	100	300	195	1	1	46	29	19	36	140	1	1
12	74	126	42	80	839	483	1170	735	12	260	144	146	315	248	98	100	300	207	1	1	48	30	21	39	146	1	1
13	78	133	44	85	887	510	1230	770	13	276	153	155	336	263	102	100	300	219	1	1	51	32	22	41	155	1	1
14	83	141	46	89	935	538	1290	805	13	292	162	165	357	278	108	100	300	231	1	1	54	34	23	43	165	1	1
15	96	167	55	108	1149	660	1350	840	17	331	171	183	378	319	112	100	300	285	1	1	57	36	24	45	183	1	1
16	101	176	58	114	1210	696	1440	910	18	349	180	192	399	336	120	100	300	300	1	1	60	38	26	48	192	1	1
17	107	185	61	119	1271	730	1530	945	18	369	192	202	420	355	128	100	300	315	1	1	64	40	27	51	202	1	1
18	112	194	64	125	1332	766	1620	1015	19	386	201	212	441	372	135	100	300	330	1	1	67	42	29	54	212	1	1
19	117	203	67	131	1393	800	1710	1050	20	407	213	222	462	391	142	100	300	345	1	1	71	44	30	57	222	1	1
20	122	212	70	137	1453	836	1770	1120	21	424	222	236	494	408	148	100	300	360	1	1	74	47	32	59	236	1	1
21	128	222	73	143	1514	870	1860	1155	22	445	234	246	514	427	155	100	300	375	1	1	78	49	33	62	246	1	1
22	133	231	76	149	1574	905	1950	1225	23	462	243	256	536	444	162	100	300	390	1	1	81	51	35	65	256	1	1
23	139	240	79	154	1635	940	2040	1260	24	482	255	266	556	463	170	100	300	405	1	1	85	53	36	68	266	1	1
