ROWID	_PhysicalAttackMinRevision|DOUBLE	_PhysicalAttackMaxRevision|DOUBLE	_MagicAttackMinRevision|DOUBLE	_MagicAttackMaxRevision|DOUBLE	_PhysicalDefenseRevision|DOUBLE	_MagicDefenseRevision|DOUBLE	_MaxHPRevision|DOUBLE	_MaxSPRevision|DOUBLE	_RecoverySPRevision|DOUBLE	_StiffRevision|DOUBLE	_StiffResistanceRevision|DOUBLE	_CriticalRevision|DOUBLE	_CriticalResistanceRevision|DOUBLE	_StunRevision|DOUBLE	_StunResistanceRevision|DOUBLE	_SuperAmmorRevision|DOUBLE	_MoveSpeedRevision|DOUBLE	_FinalDamageRevision|DOUBLE	_ElementAttackRevision|DOUBLE	_ElementDefenseRevision|DOUBLE	_StrengthRevision|DOUBLE	_AgilityRevision|DOUBLE	_IntelligenceRevision|DOUBLE	_StaminaRevision|DOUBLE	_CriticalDamageRevision|DOUBLE	_PVPAttackPowerRevision|DOUBLE	_PVPDefencePowerRevision|DOUBLE
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.2	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.5	0.0	1.0	1.0	0.2	0.2	0.2	0.2	0.0	0.0	0.0
3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	0.2	0.2	0.2	0.2	0.5	1.0	1.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	0.2	0.2	0.2	0.2	0.5	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.5	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
