ROWID	_JobID|INTEGER	_Mode|INTEGER	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|DOUBLE	_ElementDefenseRevision|DOUBLE	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_BaseLevel|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
1	1	1	1886	2305	1777	2172	15002	10141	122265	16100	136	2760	1608	1758	3538	3148	2145	100	300	0	0.0	0.0	536	337	230	429	80	1758	0	0
2	2	1	1772	2166	1180	1443	9992	10901	96045	19320	136	977	1149	4961	5628	958	1685	100	300	0	0.0	0.0	383	536	276	337	80	4961	0	0
3	3	1	1481	1810	2075	2536	6969	14032	87210	37590	155	742	873	3360	4179	728	1530	100	300	0	0.0	0.0	291	398	537	306	80	3360	0	0
4	4	1	1415	1730	1528	1868	14124	13662	125685	30862	136	2132	1608	1780	1292	1340	2450	100	300	0	0.0	0.0	536	123	383	490	80	1780	0	0
5	5	1	1928	2356	2044	2498	9992	13488	96045	33250	136	625	735	2530	4988	612	1685	100	300	0	0.0	0.0	245	475	475	337	80	2530	0	0
6	6	1	1939	2370	2033	2485	9964	13470	69768	32200	136	1173	1380	1939	3213	1150	1530	100	300	0	0.0	0.0	460	306	460	306	80	1939	0	0
7	7	1	2026	2476	1552	1896	10345	9313	78660	21420	136	1211	1425	2434	4988	1188	1380	100	300	0	0.0	0.0	516	256	317	317	80	2434	0	0
8	8	1	2380	2909	1563	1911	10628	10127	110038	20370	136	2304	1746	1673	2415	2178	2145	100	300	0	0.0	0.0	562	210	271	409	80	1673	0	0
9	9	1	1446	1767	1076	1315	15211	13429	131100	16100	136	1477	966	2688	5460	1347	2300	100	300	0	0.0	0.0	322	520	230	460	80	2688	0	0
10	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
11	11	1	2038	2491	1895	2316	14972	10296	111150	25130	136	1931	1404	2213	3602	1712	1950	100	300	0	0.0	0.0	468	343	359	390	80	2213	0	0
12	12	1	1611	1969	1188	1451	11477	9131	124545	16380	136	2785	1638	1779	3602	1586	2185	100	300	0	0.0	0.0	546	343	234	437	80	1779	0	0
13	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
14	14	1	1760	2152	1204	1471	9997	10944	97755	21840	136	994	1170	4887	5408	975	1715	100	300	0	0.0	0.0	390	515	312	343	80	4887	0	0
15	15	1	1793	2192	1257	1536	9997	10907	97755	19670	136	994	1170	4225	5733	975	1715	100	300	0	0.0	0.0	390	546	281	343	80	4225	0	0
16	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
17	17	1	1485	1816	2084	2547	6975	14043	88920	38220	155	755	888	3388	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	3388	0	0
18	18	1	1485	1816	2084	2547	6975	14043	88920	38220	155	755	888	3388	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	3388	0	0
19	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
20	20	1	1651	2018	1189	1453	10362	10024	127994	27300	136	2922	1638	1247	1312	1948	2495	100	300	0	0.0	0.0	546	125	390	499	80	1247	0	0
21	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
22	22	1	1378	1685	1987	2429	10347	10075	120042	22087	136	1958	1404	1896	1638	1170	2340	100	300	0	0.0	0.0	468	156	468	468	80	1896	0	0
23	23	1	2087	2551	1848	2258	11449	10239	111150	21840	136	2130	1638	2104	3276	1907	1950	100	300	0	0.0	0.0	546	312	312	390	80	2104	0	0
24	24	1	1819	2223	2097	2564	11449	10370	111150	29470	136	1852	1770	2104	3276	1635	1950	100	300	0	0.0	0.0	437	312	421	390	80	2104	0	0
25	25	1	1621	1981	1188	1451	11477	9131	124545	16380	136	2864	1731	1670	3276	3250	2185	100	300	0	0.0	0.0	577	312	234	437	80	1670	0	0
26	26	1	1621	1981	1188	1451	11477	9131	124545	16380	136	2864	1731	1670	3276	3250	2185	100	300	0	0.0	0.0	577	312	234	437	80	1670	0	0
27	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
28	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
29	29	1	1771	2164	1204	1471	9997	10944	97755	21840	136	915	1077	4996	5733	898	1715	100	300	0	0.0	0.0	359	546	312	343	80	4996	0	0
30	30	1	1326	1621	1570	1919	9997	11094	97755	30590	136	796	936	4723	4914	780	1715	100	300	0	0.0	0.0	312	468	437	343	80	4723	0	0
31	31	1	1793	2192	1257	1536	9997	10907	97755	19670	136	994	1170	4225	5733	975	1715	100	300	0	0.0	0.0	390	546	281	343	80	4225	0	0
32	32	1	1793	2192	1257	1536	9997	10907	97755	19670	136	994	1170	4225	5733	975	1715	100	300	0	0.0	0.0	390	546	281	343	80	4225	0	0
33	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
34	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	80	0	0	0
35	35	1	1485	1816	2084	2547	6975	14043	88920	38220	155	755	888	3388	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	3388	0	0
36	36	1	1485	1816	2084	2547	6975	14043	88920	38220	155	755	888	3388	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	3388	0	0
37	37	1	1485	1816	2084	2547	6975	14043	88920	38220	155	755	888	3388	4263	740	1560	100	300	0	0.0	0.0	296	406	546	312	80	3388	0	0
