ROWID	_Mode|INTEGER	_EqualType|INTEGER	_PhysicalAttackMinRevision|DOUBLE	_PhysicalAttackMaxRevision|DOUBLE	_MagicAttackMinRevision|DOUBLE	_MagicAttackMaxRevision|DOUBLE	_PhysicalDefenseRevision|DOUBLE	_MagicDefenseRevision|DOUBLE	_MaxHPRevision|DOUBLE	_MaxSPRevision|DOUBLE	_RecoverySPRevision|DOUBLE	_StiffRevision|DOUBLE	_StiffResistanceRevision|DOUBLE	_CriticalRevision|DOUBLE	_CriticalResistanceRevision|DOUBLE	_StunRevision|DOUBLE	_StunResistanceRevision|DOUBLE	_SuperAmmorRevision|DOUBLE	_MoveSpeedRevision|DOUBLE	_FinalDamageRevision|DOUBLE	_ElementAttackRevision|DOUBLE	_ElementDefenseRevision|DOUBLE	_StrengthRevision|DOUBLE	_AgilityRevision|DOUBLE	_IntelligenceRevision|DOUBLE	_StaminaRevision|DOUBLE	_CriticalDamageRevision|DOUBLE	_PVPAttackPowerRevision|DOUBLE	_PVPDefencePowerRevision|DOUBLE
1	1	0	0.5	0.5	0.5	0.5	20.0	50.0	1.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
2	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
3	3	0	0.5	0.5	0.5	0.5	20.0	50.0	1.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
4	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	4	2	100.0	100.0	100.0	100.0	1.0	2.5	1000.0	10000.0	10.0	10.0	100.0	10.0	10.0	10.0	100.0	100.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	5	0	0.5	0.5	0.5	0.5	20.0	50.0	1.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
9	5	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	6	0	1.5	2.0	1.5	2.0	8.0	20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
11	6	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
