ROWID	_Class|INTEGER	_WeaponType|INTEGER	_Action|TEXT	_ChangeAction|TEXT
1	2	4	Shoot_Stand	Shoot_Stand_SmallBow
2	2	4	Shoot_Front	Shoot_Front_SmallBow
3	2	4	Shoot_Back	Shoot_Back_SmallBow
4	2	4	Shoot_Left	Shoot_Left_SmallBow
5	2	4	Shoot_Right	Shoot_Right_SmallBow
6	2	4	Jump_Attack	Jump_Attack_SmallBow
7	2	5	Shoot_Stand	Shoot_Stand_BigBow
8	2	5	Shoot_Front	Shoot_Front_BigBow
9	2	5	Shoot_Back	Shoot_Back_BigBow
10	2	5	Shoot_Left	Shoot_Left_BigBow
11	2	5	Shoot_Right	Shoot_Right_BigBow
12	2	5	Jump_Attack	Jump_Attack_BigBow
13	2	6	Shoot_Stand	Shoot_Stand_CrossBow
14	2	6	Shoot_Front	Shoot_Front_CrossBow
15	2	6	Shoot_Back	Shoot_Back_CrossBow
16	2	6	Shoot_Left	Shoot_Left_CrossBow
17	2	6	Shoot_Right	Shoot_Right_CrossBow
18	2	6	Jump_Attack	Jump_Attack_CrossBow
19	1	0	Attack1	Attack1_Sword
20	1	0	Attack2	Attack2_Sword
21	1	0	Attack3	Attack3_Sword
22	1	0	Attack4	Attack4_Sword
23	1	0	Jump_Attack	Jump_Attack_Sword
24	1	2	Attack1	Attack1_Axe
25	1	2	Attack2	Attack2_Axe
26	1	2	Attack3	Attack3_Axe
27	1	2	Attack4	Attack4_Axe
28	1	2	Jump_Attack	Jump_Attack_Axe
29	1	3	Attack1	Attack1_Hammer
30	1	3	Attack2	Attack2_Hammer
31	1	3	Attack3	Attack3_Hammer
32	1	3	Attack4	Attack4_Hammer
33	1	3	Jump_Attack	Jump_Attack_Hammer
34	3	8	Attack_SideKick	Attack_SideKick_Book
35	3	9	Attack_SideKick	Attack_SideKick_Orb
36	3	10	Attack_SideKick	Attack_SideKick_Puppet
37	4	11	Attack1	Attack1_Mace
38	4	12	Attack1	Attack1_Flail
39	4	13	Attack1	Attack1_Wand
40	5	16	Shoot_Stand	Shoot_Stand_Cannon
41	5	16	Shoot_Front	Shoot_Front_Cannon
42	5	16	Shoot_Back	Shoot_Back_Cannon
43	5	16	Shoot_Left	Shoot_Left_Cannon
44	5	16	Shoot_Right	Shoot_Right_Cannon
45	5	16	Jump_Attack	Jump_Attack_Cannon
46	5	17	Shoot_Stand	Shoot_Stand_Bubble
47	5	17	Shoot_Front	Shoot_Front_Bubble
48	5	17	Shoot_Back	Shoot_Back_Bubble
49	5	17	Shoot_Left	Shoot_Left_Bubble
50	5	17	Shoot_Right	Shoot_Right_Bubble
51	5	17	Jump_Attack	Jump_Attack_Bubble
52	5	16	Skill_QuickShot	Skill_QuickShot
53	5	17	Skill_QuickShot	Skill_QuickShot_Magic
54	6	19	Attack1	Attack1_Fan
55	6	19	Attack2	Attack2_Fan
56	6	19	Attack3	Attack3_Fan
57	6	19	Jump_Attack	Jump_Attack_Fan
58	6	20	Attack1	Attack1_Chakram
59	6	20	Attack2	Attack2_Chakram
60	6	20	Attack3	Attack3_Chakram
61	6	20	Jump_Attack	Jump_Attack_Chakram
62	7	22	Attack1	Attack1_Scimitar
63	7	22	Attack2	Attack2_Scimitar
64	7	22	Attack3	Attack3_Scimitar
65	7	22	Attack4	Attack4_Scimitar
66	7	22	Jump_Attack	Jump_Attack_Scimitar
67	7	23	Attack1	Attack1_Dagger
68	7	23	Attack2	Attack2_Dagger
69	7	23	Jump_Attack	Jump_Attack_Dagger
70	8	25	Attack1	Attack1_Spear
71	8	25	Attack2	Attack2_Spear
72	8	25	Attack3	Attack3_Spear
73	8	25	Attack4	Attack4_Spear
74	8	25	Jump_Attack	Jump_Attack_Spear
75	9	28	Attack1	Attack1_Knucklegear
76	9	28	Attack2	Attack2_Knucklegear
77	9	28	Attack3	Attack3_Knucklegear
78	9	28	Attack4	Attack4_Knucklegear
79	9	28	Jump_Attack	Jump_Attack_Knucklegear
80	9	28	Skill_ChargingGearC	Skill_ChargingGearC
81	9	28	Skill_PivotGunShot_1	Skill_PivotGunShot_1
82	9	29	Attack1	Attack1_Blaster
83	9	29	Attack2	Attack2_Blaster
84	9	29	Attack3	Attack3_Blaster
85	9	29	Attack4	Attack4_Blaster
86	9	29	Jump_Attack	Jump_Attack_Blaster
87	9	29	Skill_BodyCheck	Skill_BodyCheck_Blaster
88	9	29	Skill_ElbowAttack	Skill_ElbowAttack_Blaster
89	9	29	Skill_ChargingGearC	Skill_ChargingGearC_Blaster
91	8	26	Attack1	Attack1_Lance
92	8	26	Attack2	Attack2_Lance
93	8	26	Attack3	Attack3_Lance
94	8	26	Attack4	Attack4_Lance
95	8	26	Jump_Attack	Jump_Attack_Lance
96	10	33	Attack1	Attack1_BattleSword
97	10	33	Attack2	Attack2_BattleSword
98	10	33	Attack3	Attack3_BattleSword
99	10	33	Attack4	Attack4_BattleSword
100	10	33	Jump_Attack	Jump_Attack_BattleSword
101	1	36	Attack1	Attack1_EgoSword
102	1	36	Attack2	Attack2_EgoSword
103	1	36	Attack3	Attack3_EgoSword
104	1	36	Attack4	Attack4_EgoSword
105	1	36	Jump_Attack	Jump_Attack_EgoSword
