ROWID	_ExDifficultyType|INTEGER	_MapSubType|INTEGER	_ExDifficultyName|INTEGER	_ExDifficultyGrade|INTEGER	_ExDifficultyColor|INTEGER
1	0	1	2370	0	0
2	1	1	2371	0	1
3	2	1	2372	0	2
4	3	1	2373	0	3
5	4	1	2374	0	4
6	5	1	1000126608	1	5
7	6	1	1000126608	2	5
8	7	1	1000126608	3	5
9	8	1	1000126608	4	5
10	9	1	1000126608	5	5
11	10	1	1000126608	6	5
12	11	1	1000126608	7	5
13	12	1	1000126608	8	5
14	13	1	1000126608	9	5
15	14	1	1000126608	10	5
16	15	1	1000126608	11	5
17	16	1	1000126608	12	5
18	17	1	1000126608	13	5
19	18	1	1000126608	14	5
20	19	1	1000126608	15	5
21	20	1	1000126608	16	5
22	21	1	1000126608	17	5
23	22	1	1000126608	18	5
24	23	1	1000126608	19	5
25	24	1	1000126608	20	5
26	25	1	1000126608	21	5
27	26	1	1000126608	22	5
28	27	1	1000126608	23	5
29	28	1	1000126608	24	5
30	29	1	1000126608	25	5
31	30	1	1000126608	26	5
32	31	1	1000126608	27	5
33	32	1	1000126608	28	5
34	33	1	1000126608	29	5
35	34	1	1000126608	30	5
36	35	1	1000126608	31	5
37	36	1	1000126608	32	5
38	37	1	1000126608	33	5
39	38	1	1000126608	34	5
40	39	1	1000126608	35	5
41	40	1	1000126608	36	5
42	41	1	1000126608	37	5
43	42	1	1000126608	38	5
44	43	1	1000126608	39	5
45	44	1	1000126608	40	5
46	45	1	1000126608	41	5
47	46	1	1000126608	42	5
48	47	1	1000126608	43	5
49	48	1	1000126608	44	5
50	49	1	1000126608	45	5
51	50	1	1000126608	46	5
52	51	1	1000126608	47	5
53	52	1	1000126608	48	5
54	53	1	1000126608	49	5
55	54	1	1000126608	50	5
56	55	1	1000126608	51	5
57	56	1	1000126608	52	5
58	57	1	1000126608	53	5
59	58	1	1000126608	54	5
60	59	1	1000126608	55	5
61	60	1	1000126608	56	5
62	61	1	1000126608	57	5
63	62	1	1000126608	58	5
64	63	1	1000126608	59	5
65	64	1	1000126608	60	5
66	65	1	1000126608	61	5
67	66	1	1000126608	62	5
68	67	1	1000126608	63	5
69	68	1	1000126608	64	5
70	69	1	1000126608	65	5
71	70	1	1000126608	66	5
72	71	1	1000126608	67	5
73	72	1	1000126608	68	5
74	73	1	1000126608	69	5
75	74	1	1000126608	70	5
76	75	1	1000126608	71	5
77	76	1	1000126608	72	5
78	77	1	1000126608	73	5
79	78	1	1000126608	74	5
80	79	1	1000126608	75	5
81	80	1	1000126608	76	5
82	81	1	1000126608	77	5
83	82	1	1000126608	78	5
84	83	1	1000126608	79	5
85	84	1	1000126608	80	5
86	85	1	1000126608	81	5
87	86	1	1000126608	82	5
88	87	1	1000126608	83	5
89	88	1	1000126608	84	5
90	89	1	1000126608	85	5
91	90	1	1000126608	86	5
92	91	1	1000126608	87	5
93	92	1	1000126608	88	5
94	93	1	1000126608	89	5
95	94	1	1000126608	90	5
96	95	1	1000126608	91	5
97	96	1	1000126608	92	5
98	97	1	1000126608	93	5
99	98	1	1000126608	94	5
100	99	1	1000126608	95	5
101	100	1	1000126608	96	5
102	101	1	1000126608	97	5
103	0	0	2370	0	0
104	1	0	2371	0	1
105	2	0	2372	0	2
106	3	0	2373	0	3
107	4	0	2374	0	4
108	5	0	1000126608	1	5
109	6	0	1000126608	2	5
110	7	0	1000126608	3	5
111	8	0	1000126608	4	5
112	9	0	1000126608	5	5
113	10	0	1000126608	6	5
114	11	0	1000126608	7	5
115	12	0	1000126608	8	5
116	13	0	1000126608	9	5
117	14	0	1000126608	10	5
118	15	0	1000126608	11	5
119	16	0	1000126608	12	5
120	17	0	1000126608	13	5
121	18	0	1000126608	14	5
122	19	0	1000126608	15	5
123	20	0	1000126608	16	5
124	21	0	1000126608	17	5
125	22	0	1000126608	18	5
126	23	0	1000126608	19	5
127	24	0	1000126608	20	5
128	25	0	1000126608	21	5
129	26	0	1000126608	22	5
130	27	0	1000126608	23	5
131	28	0	1000126608	24	5
132	29	0	1000126608	25	5
133	30	0	1000126608	26	5
134	31	0	1000126608	27	5
135	32	0	1000126608	28	5
