ROWID	_TotalFrame|INTEGER	_TextureName1|INTEGER	_Delay1|INTEGER	_TextureName2|INTEGER	_Delay2|INTEGER	_TextureName3|INTEGER	_Delay3|INTEGER	_TextureName4|INTEGER	_Delay4|INTEGER	_TextureName5|INTEGER	_Delay5|INTEGER	_TextureName6|INTEGER	_Delay6|INTEGER	_TextureName7|INTEGER	_Delay7|INTEGER	_TextureName8|INTEGER	_Delay8|INTEGER	_TextureName9|INTEGER	_Delay9|INTEGER	_TextureName10|INTEGER	_Delay10|INTEGER	_TextureName11|INTEGER	_Delay11|INTEGER	_TextureName12|INTEGER	_Delay12|INTEGER	_TextureName13|INTEGER	_Delay13|INTEGER	_TextureName14|INTEGER	_Delay14|INTEGER	_TextureName15|INTEGER	_Delay15|INTEGER	_TextureName16|INTEGER	_Delay16|INTEGER	_TextureName17|INTEGER	_Delay17|INTEGER	_TextureName18|INTEGER	_Delay18|INTEGER	_TextureName19|INTEGER	_Delay19|INTEGER	_TextureName20|INTEGER	_Delay20|INTEGER	_TextureName21|INTEGER	_Delay21|INTEGER	_TextureName22|INTEGER	_Delay22|INTEGER	_TextureName23|INTEGER	_Delay23|INTEGER	_TextureName24|INTEGER	_Delay24|INTEGER	_TextureName25|INTEGER	_Delay25|INTEGER	_TextureName26|INTEGER	_Delay26|INTEGER	_TextureName27|INTEGER	_Delay27|INTEGER	_TextureName28|INTEGER	_Delay28|INTEGER
1	1	3375	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	3376	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	3377	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	3378	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	3379	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	3380	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	3381	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	3382	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	3383	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	18328	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	19654	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	51117	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
