ROWID	_ExpType|INTEGER	_Level|INTEGER	_FairyExp|INTEGER
1	1	1	775
2	1	2	930
3	1	3	1200
4	1	4	1690
5	1	5	2540
6	2	1	3875
7	2	2	4650
8	2	3	6000
9	2	4	8450
10	2	5	12700
11	3	1	7750
12	3	2	9300
13	3	3	12000
14	3	4	16900
15	3	5	25400
16	4	1	38750
17	4	2	46500
18	4	3	60000
19	4	4	84500
20	4	5	127000
21	5	1	193750
22	5	2	232500
23	5	3	302300
24	5	4	423200
25	5	5	634700
26	6	1	38750
27	6	2	46500
28	6	3	60000
29	6	4	84500
30	6	5	127000
31	7	1	38750
32	7	2	46500
33	7	3	60000
34	7	4	84500
35	7	5	127000
36	8	1	387500
37	8	2	465000
38	8	3	604600
39	8	4	846400
40	8	5	1269400
41	8	6	3100000
