ROWID	_FairyLevel|INTEGER	_FairyType|INTEGER	_FairyLevelUpExp|INTEGER	_LevelUpState1|INTEGER	_LevelUpState1_Min|TEXT	_LevelUpState1_Max|TEXT	_LevelUpState2|INTEGER	_LevelUpState2_Min|TEXT	_LevelUpState2_Max|TEXT	_LevelUpState3|INTEGER	_LevelUpState3_Min|TEXT	_LevelUpState3_Max|TEXT	_LevelUpState4|INTEGER	_LevelUpState4_Min|TEXT	_LevelUpState4_Max|TEXT	_LevelUpState5|INTEGER	_LevelUpState5_Min|TEXT	_LevelUpState5_Max|TEXT	_LevelUpState6|INTEGER	_LevelUpState6_Min|TEXT	_LevelUpState6_Max|TEXT
1	1	1	0	8	0	0	9	0	0	75	0	0	101	0	0	102	0	0	29	0	0
2	2	1	7750	8	150	180	9	150	180	75	0	0	101	0	0	102	0	0	29	0	0
3	3	1	23250	8	135	160	9	135	160	75	0.00901	0.01301	101	0	0	102	0	0	29	0	0
4	4	1	46500	8	105	120	9	105	120	75	0.00701	0.01001	101	0.00901	0.01301	102	0.00901	0.01301	29	0	0
5	5	1	77500	8	90	100	9	90	100	75	0.00401	0.00701	101	0.00401	0.00701	102	0.00401	0.00701	29	30	35
6	1	2	0	8	0	0	9	0	0	75	0	0	101	0	0	102	0	0	29	0	0
7	2	2	38750	8	150	200	9	150	200	75	0	0	101	0	0	102	0	0	29	0	0
8	3	2	116250	8	150	180	9	150	180	75	0.01001	0.01501	101	0	0	102	0	0	29	0	0
9	4	2	232500	8	150	180	9	150	180	75	0.01101	0.01501	101	0.00901	0.01301	102	0.00901	0.01301	29	0	0
10	5	2	387500	8	120	140	9	120	140	75	0.01401	0.02001	101	0.01401	0.01701	102	0.01401	0.01701	29	40	60
11	1	3	0	32	0	0	33	0	0	101	0	0	102	0	0	29	0	0	75	0	0
12	2	3	193750	32	5000	10000	33	5000	10000	101	0	0	102	0	0	29	0	0	75	0	0
13	3	3	581250	32	5000	10000	33	5000	10000	101	0.02001	0.02501	102	0.02001	0.02501	29	0	100	75	0	0
14	4	3	1162500	32	5000	10000	33	5000	10000	101	0.01501	0.02501	102	0.01501	0.02501	29	0	100	75	0	0
15	5	3	1937500	32	5000	20000	33	5000	20000	101	0.02501	0.05001	102	0.02501	0.05001	29	0	300	75	0.05001	0.05001
16	6	3	3487500	32	5000	100000	33	5000	100000	101	0.01001	0.05001	102	0.01001	0.05001	29	0	300	75	0	0
