ROWID	_CheckFairy|INTEGER	_CheckLevel|INTEGER	_Change_SkinName|INTEGER	_Change_AniName|INTEGER	_Change_ActName|INTEGER	_IconImageIndex|INTEGER	_CameraX|DOUBLE	_CameraY|DOUBLE	_CameraZ|DOUBLE	_CameraZoom|INTEGER
50000	1073916322	3	29441	29442	29443	14087	-34.0	104.5	30.0	40
50001	1073916322	5	29444	29445	29446	14088	-34.0	104.5	30.0	40
1	1073782910	5	24284	24283	24282	13858	-32.0	104.0	30.0	32
2	1073817556	3	29441	29442	29443	14087	-34.0	104.5	30.0	40
3	1073817556	5	29444	29445	29446	14088	-34.0	104.5	30.0	40
4	1073821339	3	29441	29442	29443	14087	-34.0	104.5	30.0	40
5	1073821339	5	29444	29445	29446	14088	-34.0	104.5	30.0	40
6	1073826011	5	28035	28032	28034	13982	-33.0	101.0	30.0	31
7	1073828180	3	33314	33320	33317	14192	-32.5	112.5	30.0	43
8	1073844847	3	33583	33584	33585	14229	-34.0	101.0	30.0	36
9	1073844847	5	33586	33587	33588	14230	-34.0	101.0	30.0	36
10	1073853371	3	33313	33319	33316	14191	-32.5	112.5	30.0	43
11	1073853371	5	33314	33320	33317	14192	-32.5	112.5	30.0	43
12	1073858663	3	37663	37664	37665	14434	-34.0	104.5	30.0	40
13	1073858663	5	37666	37667	37668	14435	-34.0	101.0	30.0	54
14	1073867701	3	35581	35584	35587	14315	-34.0	110.5	19.0	48
15	1073867701	5	35582	35585	35588	14316	-34.0	110.5	19.0	48
16	1073873421	3	42499	42498	42497	14587	-34.0	104.5	30.0	40
17	1073873421	5	42502	42501	42500	14588	-34.0	101.0	30.0	54
18	1073875349	3	37944	37941	37938	14440	-34.0	104.5	30.0	40
19	1073875349	5	37945	37942	37939	14441	-34.0	104.5	30.0	40
20	1073877927	3	40751	40752	40753	14506	-34.0	104.5	30.0	40
21	1073877927	5	40754	40755	40756	14508	-34.0	101.0	30.0	54
22	1073882796	3	45355	45354	45353	14696	-34.0	104.5	30.0	40
23	1073882796	5	45358	45357	45356	14697	-34.0	101.0	30.0	54
24	1073883906	3	29441	29442	29443	14087	-34.0	104.5	30.0	40
25	1073883906	5	29444	29445	29446	14088	-34.0	104.5	30.0	40
26	1073888694	3	48564	48566	48565	14808	-34.0	104.5	30.0	40
27	1073888694	5	48567	48569	48568	14809	-34.0	101.0	30.0	54
28	1073891238	3	46931	46933	46932	14764	-34.0	104.5	30.0	40
29	1073891238	5	46934	46936	46935	14765	-34.0	101.0	30.0	54
30	1073893855	3	49884	49883	49882	14885	-32.5	112.5	30.0	43
31	1073893855	5	49887	49886	49885	14886	-32.5	112.5	30.0	43
32	1073896728	3	51632	51631	51633	14942	-32.5	112.5	30.0	43
33	1073896728	5	51635	51634	51636	14943	-32.5	112.5	30.0	43
34	1073898970	3	53276	53278	53277	14999	-32.5	112.5	30.0	43
35	1073898970	5	53279	53281	53280	15000	-32.5	112.5	30.0	43
36	1073902374	3	43855	43854	43853	14625	-34.0	104.5	30.0	40
37	1073902374	5	43858	43857	43856	14626	-34.0	101.0	30.0	54
38	1073905335	3	55018	55012	55011	15094	-34.0	104.5	30.0	40
39	1073905335	5	55019	55015	55014	15095	-34.0	101.0	30.0	54
40	1073907710	3	56019	56018	56017	15141	-32.5	112.5	30.0	43
41	1073907710	5	56022	56021	56020	15142	-32.5	112.5	30.0	43
42	1073908449	3	59129	59130	59131	15267	-32.5	112.5	30.0	43
43	1073908449	5	59132	59133	59134	15268	-32.5	112.5	30.0	43
44	1073908891	3	59652	59651	59650	15270	-32.5	112.5	30.0	43
45	1073908891	5	59655	59654	59653	15271	-32.5	112.5	30.0	43
46	1073909047	3	55966	55964	55965	15127	-32.5	112.5	30.0	43
47	1073909047	5	55969	55968	55967	15128	-32.5	112.5	30.0	43
48	1073909454	3	29441	29442	29443	14087	-34.0	104.5	30.0	40
49	1073909454	5	29444	29445	29446	14088	-34.0	104.5	30.0	40
50	1073911323	3	29441	29442	29443	14087	-34.0	104.5	30.0	40
51	1073911323	5	29444	29445	29446	14088	-34.0	104.5	30.0	40
52	1073911324	3	33313	33319	33316	14191	-32.5	112.5	30.0	43
53	1073911324	5	33314	33320	33317	14192	-32.5	112.5	30.0	43
54	1073911325	3	35581	35584	35587	14315	-34.0	110.5	19.0	48
55	1073911325	5	35582	35585	35588	14316	-34.0	110.5	19.0	48
56	1073911326	3	37944	37941	37938	14440	-34.0	104.5	30.0	40
57	1073911326	5	37945	37942	37939	14441	-34.0	104.5	30.0	40
58	1073911327	3	45355	45354	45353	14696	-34.0	104.5	30.0	40
59	1073911327	5	45358	45357	45356	14697	-34.0	101.0	30.0	54
60	1073911328	3	48564	48566	48565	14808	-34.0	104.5	30.0	40
61	1073911328	5	48567	48569	48568	14809	-34.0	101.0	30.0	54
62	1073914932	3	59129	59130	59131	15267	-32.5	112.5	30.0	43
63	1073914932	5	59132	59133	59134	15268	-32.5	112.5	30.0	43
64	1073915049	3	49884	49883	49882	14885	-32.5	112.5	30.0	43
65	1073915049	5	49887	49886	49885	14886	-32.5	112.5	30.0	43
66	1073915590	3	59652	59651	59650	15270	-32.5	112.5	30.0	43
67	1073915590	5	59655	59654	59653	15271	-32.5	112.5	30.0	43
68	1073916274	3	62533	62532	62531	15360	-32.5	112.5	30.0	43
69	1073916274	5	62536	62535	62534	15361	-32.5	112.5	30.0	43
70	1073917782	3	64041	64042	64043	15414	-32.5	112.5	30.0	43
71	1073917782	5	64044	64045	64046	15415	-32.5	112.5	30.0	43
72	1073920440	3	64497	64498	64499	15428	-32.5	112.5	30.0	43
73	1073920440	5	64500	64501	64502	15429	-32.5	112.5	30.0	43
74	1073922043	3	68259	68258	68257	15541	-32.5	112.5	30.0	43
75	1073922043	5	68262	68261	68260	15542	-32.5	112.5	30.0	43
76	805312905	3	52700	52702	52701	14977	-32.5	100.5	30.0	43
77	805312905	5	52700	52702	52701	14977	-32.5	100.5	30.0	43
78	1073925177	3	68259	68258	68257	15541	-32.5	112.5	30.0	43
79	1073925177	6	68262	68261	68260	15542	-32.5	112.5	30.0	43
