ROWID	_SecondarySkillClass|INTEGER	_SecondarySkillLevel|INTEGER	_CultivateMaxTime|INTEGER	_MaxWater|INTEGER	_ConsumeWater|INTEGER	_HarvestItemID|INTEGER	_HarvestDrop1|INTEGER	_HarvestDrop2|INTEGER	_HarvestDrop3|INTEGER	_HarvestDropID|INTEGER	_SkillpointSeed|INTEGER	_SkillpointWater|INTEGER	_SkinID|INTEGER	_CatalystCount|INTEGER	_Overlap|INTEGER
348341249	1	1	60	540	10	348323841	0	0	0	558025012	10	1	6	1	0
348341250	1	1	60	540	10	348323841	0	0	0	558025024	10	1	2	1	0
348341377	1	1	60	540	10	348323841	0	0	0	558027512	10	1	6	1	0
348341379	1	2	360	3240	10	348323841	0	0	0	558027536	60	1	2	1	0
348341251	1	2	360	3240	10	348323841	0	0	0	558025036	60	1	3	1	0
348341252	1	2	360	3240	10	348323841	0	0	0	558025048	60	1	4	1	0
348341253	1	2	360	3240	10	348323841	0	0	0	558025060	60	1	5	1	0
348341381	1	3	1800	16200	10	348323841	0	0	0	558027560	300	1	3	1	0
348341383	1	3	1800	16200	10	348323841	0	0	0	558027584	300	1	4	1	0
348341385	1	3	1800	16200	10	348323841	0	0	0	558027608	300	1	5	1	0
348341378	1	3	1800	16200	10	348323841	0	0	0	558027524	300	1	6	1	0
348341380	1	4	5400	48600	10	348323841	0	0	0	558027548	900	1	2	1	0
348341384	1	4	5400	48600	10	348323841	0	0	0	558027596	900	1	4	1	0
348341382	1	4	5400	48600	10	348323841	0	0	0	558027572	900	1	3	1	0
348341386	1	4	10800	97200	10	348323841	0	0	0	558027620	1800	1	5	1	0
348341571	1	4	10800	97200	10	348323841	0	0	0	558031286	1800	1	2	1	0
348341575	1	4	10800	97200	10	348323841	0	0	0	558031334	1800	1	4	1	0
348341577	1	9	172800	900000	10	348323841	0	0	0	558031358	144000	1	5	1	0
348341569	1	9	172800	900000	10	348323841	0	0	0	558031262	144000	1	6	1	0
