ROWID	_FileName|TEXT
1	SkillStoreDlg.dds
2	PlayerCommonEffect.act
3	DRAGON NEST_BGM_Stage Clear.ogg
4	Quest_Harp_01.wav
10	EYE_LWY_SK_soceress-charge_00.eff
21	Effect_Enchant
22	RandomItemBox_Effect
23	Effect_Glyph
24	Item_Brass
25	CookingEffect02
26	CookingEffect01
27	Farmingeffect01
28	Farmingeffect02
29	Farmingeffect03
30	FishingEffect
51	Monster_Recall.wav
52	Monster_Recall.wav
53	Recall_Goblin.wav
54	Monster_Recall.wav
55	Monster_Recall.wav
56	Monster_Recall.wav
57	Hound_Bark_a.wav
58	Spider_Scream_a.wav
59	Troll_CryBig_a.wav
60	Orge_Cry_Big_a.wav
61	TutorialImage01.dds
62	TutorialImage02.dds
63	TutorialImage03.dds
64	TutorialImage04.dds
65	BM_A_MonsterDrum_Activate_04.wav
66	DRAGON NEST_BGM_Usual Battle.ogg
67	UI_Mailbox_Close.wav
68	UI_EnemyDrums.wav
69	War.ogg
70	TipImage01.dds
71	TipImage02.dds
72	TipImage03.dds
73	TipImage04.dds
74	Barricade00_break.wav
75	SH_D_BlackmineSmalldoor01_Close.wav
76	SH_D_BlackmineBigdoor01_Break.wav
77	GreenLand_DungeonPath_break.wav
78	UI_Tutorial_Mission.ogg
79	UI_Tutorial_Pass.ogg
80	Ambience_Dungeon4_hightone.ogg
81	Item_Cloth_drag.wav
82	Manticore_Attack_SleepGas_02_Voice.wav
83	Apocalypse_WarningVoice.ogg
84	WarpGate01_Close_01_Insert.wav
85	WarpGate01_Switch_Warp.wav
86	Dungeon_BigGate_Close.wav
87	SH_D_BlackmineSmalldoor02_03.wav
88	Apocalypse_Warp.ogg
89	UI_Heal.wav
90	Item_dimensionpiece_use.ogg
91	Crowd.ogg
92	War.ogg
95	Recall_Orc.wav
96	Recall_Broo.wav
97	Item_Platearmor_root.wav
99	Monster_Recall.wav
100	Recall_Goblin.wav
101	UI_EnemyDrums.wav
102	DN_BGM_Signal_KimOrc.ogg
103	00_BGM_sq275_catherock_challenger_1.ogg
104	00_BGM_sq275_catherock_challenger_2.ogg
105	DRAGON NEST_BGM_Battle_Hidden01.ogg
106	Monster_Recall.wav
107	DRAGON NEST_BGM_Field_Ruin.ogg
1001	TipImage01_Move.dds
1002	TipImage02_Jump.dds
1003	TipImage03_MouseMove.dds
1004	TipImage04_Attack.dds
1005	TipImage05_DownAttack.dds
1006	TipImage06_Tumble.dds
1007	TipImage07_DownTumble.dds
1008	TipImage08_UseSkill.dds
1009	TipImage09_ItemPick.dds
1010	TipImage10_TalkNPC.dds
1011	TipImage_OK.dds
1012	TipImage01_Move_Pad.dds
1013	TipImage02_Jump_Pad.dds
1014	TipImage03_MouseMove_Pad.dds
1015	TipImage04_Attack_Pad.dds
1016	TipImage05_DownAttack_Pad.dds
1017	TipImage06_Tumble_Pad.dds
1018	TipImage07_DownTumble_Pad.dds
1019	TipImage08_UseSkill_Pad.dds
1020	TipImage09_ItemPick_Pad.dds
1021	TipImage10_TalkNPC_Pad.dds
1022	UI_MissionSuccess.ogg
9001	npc_Kasius_qu_01_c.wav
9002	npc_Kasius_qu_02_c.wav
9003	npc_Kasius_qu_03_c.wav
9004	npc_Kasius_qu_04_c.wav
9005	npc_Stwart_qu_01_b.wav
9006	npc_Kasius_qu_05_b.wav
