ROWID	_SetItem01|INTEGER	_SetItem02|INTEGER	_SetItem03|INTEGER	_SetItem04|INTEGER	_SetItem05|INTEGER	_SetItem06|INTEGER	_SetItem07|INTEGER	_SetItem08|INTEGER	_SetItem09|INTEGER	_SetItem10|INTEGER	_SetItem11|INTEGER	_SetItem12|INTEGER	_SetItem13|INTEGER	_SetItem14|INTEGER	_SetItem15|INTEGER	_GachaNum|INTEGER	_SetName|INTEGER	_Grade|INTEGER
1	1346373633	1346897921	1347422209	1347946497	1348470785	0	0	0	0	0	0	0	0	0	0	1	1000009764	0
2	1346373639	1346897927	1347422215	1347946503	1348470791	0	0	0	0	0	0	0	0	0	0	1	1000009765	0
3	1346373645	1346897933	1347422221	1347946509	1348470797	0	0	0	0	0	0	0	0	0	0	1	1000009766	0
4	1346373633	1346897939	1347422227	1347946515	1348470803	0	0	0	0	0	0	0	0	0	0	1	1000009767	0
5	1346373639	1346897945	1347422233	1347946521	1348470809	0	0	0	0	0	0	0	0	0	0	1	1000009768	0
6	1346373645	1346897951	1347422239	1347946527	1348470815	0	0	0	0	0	0	0	0	0	0	1	1000009769	0
7	1346373889	1346898177	1347422465	1347946753	1348471041	0	0	0	0	0	0	0	0	0	0	1	1000009770	1
8	1346373895	1346898183	1347422471	1347946759	1348471047	0	0	0	0	0	0	0	0	0	0	1	1000009771	1
9	1346373901	1346898189	1347422477	1347946765	1348471053	0	0	0	0	0	0	0	0	0	0	1	1000009772	1
10	1346374145	1346898433	1347422721	1347947009	1348471297	0	0	0	0	0	0	0	0	0	0	1	1000009773	2
11	1350567937	1351092225	1351616513	1352140801	1352665089	0	0	0	0	0	0	0	0	0	0	1	1000009774	0
12	1350567943	1351092231	1351616519	1352140807	1352665095	0	0	0	0	0	0	0	0	0	0	1	1000009775	0
13	1350567949	1351092237	1351616525	1352140813	1352665101	0	0	0	0	0	0	0	0	0	0	1	1000009776	0
14	1350567937	1351092243	1351616531	1352140819	1352665107	0	0	0	0	0	0	0	0	0	0	1	1000009777	0
15	1350567943	1351092249	1351616537	1352140825	1352665113	0	0	0	0	0	0	0	0	0	0	1	1000009778	0
16	1350567949	1351092255	1351616543	1352140831	1352665119	0	0	0	0	0	0	0	0	0	0	1	1000009779	0
17	1350568193	1351092481	1351616769	1352141057	1352665345	0	0	0	0	0	0	0	0	0	0	1	1000009780	1
18	1350568199	1351092487	1351616775	1352141063	1352665351	0	0	0	0	0	0	0	0	0	0	1	1000009781	1
19	1350568205	1351092493	1351616781	1352141069	1352665357	0	0	0	0	0	0	0	0	0	0	1	1000009782	1
20	1350568449	1351092737	1351617025	1352141313	1352665601	0	0	0	0	0	0	0	0	0	0	1	1000009783	2
21	1354762241	1355286529	1355810817	1356335105	1356859393	0	0	0	0	0	0	0	0	0	0	1	1000009784	0
22	1354762244	1355286535	1355810823	1356335111	1356859399	0	0	0	0	0	0	0	0	0	0	1	1000009785	0
23	1354762247	1355286541	1355810829	1356335117	1356859405	0	0	0	0	0	0	0	0	0	0	1	1000009786	0
24	1354762241	1355286547	1355810835	1356335123	1356859411	0	0	0	0	0	0	0	0	0	0	1	1000009787	0
25	1354762244	1355286553	1355810841	1356335129	1356859417	0	0	0	0	0	0	0	0	0	0	1	1000009788	0
26	1354762247	1355286559	1355810847	1356335135	1356859423	0	0	0	0	0	0	0	0	0	0	1	1000009789	0
27	1354762497	1355286785	1355811073	1356335361	1356859649	0	0	0	0	0	0	0	0	0	0	1	1000009790	1
28	1354762503	1355286791	1355811079	1356335367	1356859655	0	0	0	0	0	0	0	0	0	0	1	1000009791	1
29	1354762509	1355286797	1355811085	1356335373	1356859661	0	0	0	0	0	0	0	0	0	0	1	1000009792	1
30	1354762753	1355287041	1355811329	1356335617	1356859905	0	0	0	0	0	0	0	0	0	0	1	1000009793	2
31	1358956545	1359480833	1360005121	1360529409	1361053697	0	0	0	0	0	0	0	0	0	0	1	1000009794	0
32	1358956551	1359480839	1360005127	1360529415	1361053703	0	0	0	0	0	0	0	0	0	0	1	1000009795	0
33	1358956557	1359480845	1360005133	1360529421	1361053709	0	0	0	0	0	0	0	0	0	0	1	1000009796	0
34	1358956545	1359480851	1360005139	1360529427	1361053715	0	0	0	0	0	0	0	0	0	0	1	1000009797	0
35	1358956551	1359480857	1360005145	1360529433	1361053721	0	0	0	0	0	0	0	0	0	0	1	1000009798	0
36	1358956557	1359480863	1360005151	1360529439	1361053727	0	0	0	0	0	0	0	0	0	0	1	1000009799	0
37	1358956801	1359481089	1360005377	1360529665	1361053953	0	0	0	0	0	0	0	0	0	0	1	1000009800	1
38	1358956807	1359481095	1360005383	1360529671	1361053959	0	0	0	0	0	0	0	0	0	0	1	1000009801	1
39	1358956813	1359481101	1360005389	1360529677	1361053965	0	0	0	0	0	0	0	0	0	0	1	1000009802	1
40	1358957057	1359481345	1360005633	1360529921	1361054209	0	0	0	0	0	0	0	0	0	0	1	1000009803	2
41	1346375681	1346899969	1347424257	1347948545	1348472833	0	0	0	0	0	0	0	0	0	0	2	1000010553	0
42	1346375687	1346899975	1347424263	1347948551	1348472839	0	0	0	0	0	0	0	0	0	0	2	1000010554	0
43	1346375693	1346899981	1347424269	1347948557	1348472845	0	0	0	0	0	0	0	0	0	0	2	1000010555	0
44	1346375699	1346899987	1347424275	1347948563	1348472851	0	0	0	0	0	0	0	0	0	0	2	1000010556	0
45	1346375705	1346899993	1347424281	1347948569	1348472857	0	0	0	0	0	0	0	0	0	0	2	1000010557	0
46	1346375711	1346899999	1347424287	1347948575	1348472863	0	0	0	0	0	0	0	0	0	0	2	1000010558	0
47	1346375937	1346900225	1347424513	1347948801	1348473089	0	0	0	0	0	0	0	0	0	0	2	1000010559	1
48	1346375943	1346900231	1347424519	1347948807	1348473095	0	0	0	0	0	0	0	0	0	0	2	1000010560	1
49	1346375949	1346900237	1347424525	1347948813	1348473101	0	0	0	0	0	0	0	0	0	0	2	1000010561	1
50	1346374145	1346898433	1347422721	1347947009	1348471297	0	0	0	0	0	0	0	0	0	0	2	1000009773	2
51	1350569985	1351094273	1351618561	1352142849	1352667137	0	0	0	0	0	0	0	0	0	0	2	1000010562	0
52	1350569991	1351094279	1351618567	1352142855	1352667143	0	0	0	0	0	0	0	0	0	0	2	1000010563	0
53	1350569997	1351094285	1351618573	1352142861	1352667149	0	0	0	0	0	0	0	0	0	0	2	1000010564	0
54	1350570003	1351094291	1351618579	1352142867	1352667155	0	0	0	0	0	0	0	0	0	0	2	1000010565	0
55	1350570009	1351094297	1351618585	1352142873	1352667161	0	0	0	0	0	0	0	0	0	0	2	1000010566	0
56	1350570015	1351094303	1351618591	1352142879	1352667167	0	0	0	0	0	0	0	0	0	0	2	1000010567	0
57	1350570241	1351094529	1351618817	1352143105	1352667393	0	0	0	0	0	0	0	0	0	0	2	1000010568	1
58	1350570247	1351094535	1351618823	1352143111	1352667399	0	0	0	0	0	0	0	0	0	0	2	1000010569	1
59	1350570253	1351094541	1351618829	1352143117	1352667405	0	0	0	0	0	0	0	0	0	0	2	1000010570	1
60	1350568449	1351092737	1351617025	1352141313	1352665601	0	0	0	0	0	0	0	0	0	0	2	1000009783	2
61	1354764289	1355288577	1355812865	1356337153	1356861441	0	0	0	0	0	0	0	0	0	0	2	1000010571	0
62	1354764295	1355288583	1355812871	1356337159	1356861447	0	0	0	0	0	0	0	0	0	0	2	1000010572	0
63	1354764301	1355288589	1355812877	1356337165	1356861453	0	0	0	0	0	0	0	0	0	0	2	1000010573	0
64	1354764307	1355288595	1355812883	1356337171	1356861459	0	0	0	0	0	0	0	0	0	0	2	1000010574	0
65	1354764313	1355288601	1355812889	1356337177	1356861465	0	0	0	0	0	0	0	0	0	0	2	1000010575	0
66	1354764319	1355288607	1355812895	1356337183	1356861471	0	0	0	0	0	0	0	0	0	0	2	1000010576	0
67	1354764545	1355288833	1355813121	1356337409	1356861697	0	0	0	0	0	0	0	0	0	0	2	1000010577	1
68	1354764551	1355288839	1355813127	1356337415	1356861703	0	0	0	0	0	0	0	0	0	0	2	1000010578	1
