ROWID	_UseCompound|BOOLEAN	_UseDesign|BOOLEAN	_sort|INTEGER
1073880623	false	false	0
1073880624	false	false	0
1073880625	false	false	0
1073880626	false	false	0
1073880627	false	false	0
1073912582	false	false	0
1073912583	false	false	0
1073912584	false	false	0
1073912585	false	false	0
1073912586	false	false	0
1073912587	false	false	0
1073912588	false	false	0
1073912589	false	false	0
1073912590	false	false	0
1073912591	false	false	0
1073918416	false	false	0
1073918417	false	false	0
1073918418	false	false	0
1073918419	false	false	0
1073918420	false	false	0
1073918421	false	false	0
1073918422	false	false	0
1073918423	false	false	0
1073918424	false	false	0
1073918425	false	false	0
