ROWID	_UseCompound|BOOLEAN	_UseDesign|BOOLEAN	_sort|INTEGER
1073899389	true	false	0
1073899390	true	false	0
1073899391	true	false	0
1073899392	true	false	0
1073899393	true	false	0
1073899394	true	false	0
1073899395	true	false	0
1073899396	true	false	0
1073899397	true	false	0
1073899398	true	false	0
1073899399	true	false	0
1073899400	true	false	0
1073899401	true	false	0
1073899402	true	false	0
1073899403	true	false	0
1073899404	true	false	0
1073899405	true	false	0
1073899406	true	false	0
1073899407	true	false	0
1073899408	true	false	0
1073899409	true	false	0
1073899410	true	false	0
1073899411	true	false	0
1073899412	true	false	0
1073899413	true	false	0
1073899414	true	false	0
1073899415	true	false	0
1073899416	true	false	0
1073899417	true	false	0
1073899418	true	false	0
1073899419	true	false	0
1073899420	true	false	0
1073899421	true	false	0
1073899422	true	false	0
1073899423	true	false	0
1073899424	true	false	0
1073899425	true	false	0
1073899426	true	false	0
1073899427	true	false	0
1073899428	true	false	0
1073899429	true	false	0
1073899430	true	false	0
1073899431	true	false	0
1073899432	true	false	0
1073899433	true	false	0
1073899434	true	false	0
1073899435	true	false	0
1073899436	true	false	0
1073899437	true	false	0
1073899438	true	false	0
1073899439	true	false	0
1073899440	true	false	0
1073899441	true	false	0
1073899442	true	false	0
1073899443	true	false	0
1073899444	true	false	0
1073899445	true	false	0
1073899446	true	false	0
1073899447	true	false	0
1073899448	true	false	0
1073899449	true	false	0
1073899450	true	false	0
1073899451	true	false	0
1073899452	true	false	0
1073899453	true	false	0
1073899454	true	false	0
1073899455	true	false	0
1073899456	true	false	0
1073899457	true	false	0
1073899458	true	false	0
1073899459	true	false	0
1073899460	true	false	0
1073899461	true	false	0
1073899462	true	false	0
1073899463	true	false	0
1073899464	true	false	0
1073899465	true	false	0
1073899466	true	false	0
1073899467	true	false	0
1073899468	true	false	0
1073899469	true	false	0
1073899470	true	false	0
1073899471	true	false	0
1073899472	true	false	0
1073899473	true	false	0
1073899474	true	false	0
1073899475	true	false	0
1073899476	true	false	0
1073899477	true	false	0
1073899478	true	false	0
1073899479	true	false	0
1073899480	true	false	0
1073899481	true	false	0
1073899482	true	false	0
1073899483	true	false	0
1073899484	true	false	0
1073899485	true	false	0
1073899486	true	false	0
1073899487	true	false	0
1073899488	true	false	0
1073899489	true	false	0
1073899490	true	false	0
1073899491	true	false	0
1073899492	true	false	0
1073899493	true	false	0
1073899494	true	false	0
1073899495	true	false	0
1073899496	true	false	0
1073899497	true	false	0
1073899498	true	false	0
1073899499	true	false	0
1073899500	true	false	0
1073899501	true	false	0
1073899502	true	false	0
1073899503	true	false	0
1073899504	true	false	0
1073899505	true	false	0
1073899506	true	false	0
1073899507	true	false	0
1073899508	true	false	0
1073899509	true	false	0
1073899510	true	false	0
1073899511	true	false	0
1073899512	true	false	0
1073899513	true	false	0
1073899514	true	false	0
1073899515	true	false	0
1073899516	true	false	0
1073899517	true	false	0
1073899518	true	false	0
1073899519	true	false	0
1073899520	true	false	0
1073899521	true	false	0
1073899522	true	false	0
1073899523	true	false	0
1073916303	true	false	0
1073916304	true	false	0
1073916305	true	false	0
1073916306	true	false	0
1073916307	true	false	0
1073916308	true	false	0
1073916309	true	false	0
1073916310	true	false	0
1073916311	true	false	0
1073916312	true	false	0
1073916313	true	false	0
1073916314	true	false	0
1073916315	true	false	0
1073916316	true	false	0
1073916317	true	false	0
1073897688	true	false	0
1073897689	true	false	0
1073897690	true	false	0
1073897691	true	false	0
1073897692	true	false	0
1073897693	true	false	0
1073897694	true	false	0
1073897695	true	false	0
1073897696	true	false	0
1073897697	true	false	0
1073897698	true	false	0
1073897699	true	false	0
1073897700	true	false	0
1073897701	true	false	0
1073897702	true	false	0
1073897703	true	false	0
1073897704	true	false	0
1073897705	true	false	0
1073897706	true	false	0
1073897707	true	false	0
1073897708	true	false	0
1073897709	true	false	0
1073897710	true	false	0
1073897711	true	false	0
1073897712	true	false	0
1073897713	true	false	0
1073897714	true	false	0
1073897715	true	false	0
1073897716	true	false	0
1073897717	true	false	0
1073897718	true	false	0
1073897719	true	false	0
1073897720	true	false	0
1073897721	true	false	0
1073897722	true	false	0
1073897723	true	false	0
1073897724	true	false	0
1073897725	true	false	0
1073897726	true	false	0
1073897727	true	false	0
1073897728	true	false	0
1073897729	true	false	0
1073897730	true	false	0
1073897731	true	false	0
1073897732	true	false	0
1073897733	true	false	0
1073897734	true	false	0
1073897735	true	false	0
1073897736	true	false	0
1073897737	true	false	0
1073897738	true	false	0
1073897739	true	false	0
1073897740	true	false	0
1073897741	true	false	0
1073897742	true	false	0
1073897743	true	false	0
1073897744	true	false	0
1073897745	true	false	0
