ROWID	_NameID|INTEGER	_IconID|INTEGER	_ActionID|TEXT	_MsgID|INTEGER	_KeywordID_0|INTEGER	_KeywordID_1|INTEGER	_KeywordID_2|INTEGER	_KeywordID_3|INTEGER	_KeywordID_4|INTEGER	_KeywordID_5|INTEGER	_KeywordID_6|INTEGER	_DescID|INTEGER	_bDef|BOOLEAN	_UnlockLv|INTEGER	_Reaction_1|TEXT	_Reaction_2|TEXT	_GestureType|INTEGER	_PetActionID|TEXT	_IsLimited|INTEGER	_Range|INTEGER	_MaxChar|INTEGER	_PlayTime|INTEGER	_ChainAct|TEXT	_NeedChar1|INTEGER	_NeedChar2|INTEGER	_InteractionSkinName|INTEGER	_InteractionAniName|INTEGER	_InteractionActName|INTEGER	_InteractionChangeAni|TEXT
1	118001	0	Social_Laugh01	118002	118003	118004	118005	118006	118007	118008	118009	118010	true	0			0	Social_Pet_Laugh01	0	0	0	0	0	0	0	0	0	0	
2	118031	3	Social_Greet01	118032	118033	118034	118035	118036	118037	118038	118039	118040	true	0			0	Social_Pet_Greet01	0	0	0	0	0	0	0	0	0	0	
3	118011	1	Social_Anger01	118012	118013	118014	118015	118016	118017	118018	118019	118020	true	2			0	Social_Pet_Anger01	0	0	0	0	0	0	0	0	0	0	
4	118021	2	Social_Sorrow01	118022	118023	118024	118025	118026	118027	118028	118029	118030	true	2			0	Social_Pet_Sorrow01	0	0	0	0	0	0	0	0	0	0	
5	118091	9	Social_Sit01	118092	118093	118094	118095	118096	118097	118098	118099	118100	true	4			0		0	0	0	0	0	0	0	0	0	0	
6	118051	5	Social_Yes01	118052	118053	118054	118055	118056	118057	118058	118059	118060	true	6			0		0	0	0	0	0	0	0	0	0	0	
7	118061	6	Social_No01	118062	118063	118064	118065	118066	118067	118068	118069	118070	true	6			0		0	0	0	0	0	0	0	0	0	0	
8	118071	7	Social_Dance01	118072	118073	118074	118075	118076	118077	118078	118079	118080	true	8			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
9	118081	8	Social_Dance02	118082	118083	118084	118085	118086	118087	118088	118089	118090	true	8			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
10	118041	4	Social_Bow01	118042	118043	118044	118045	118046	118047	118048	118049	118050	false	-1			0		0	0	0	0	0	0	0	0	0	0	
11	118101	11	Social_CameraPose1	118102	118103	118104	118105	118106	118107	118108	118109	118110	false	-1			0		0	0	0	0	0	0	0	0	0	0	
12	118111	12	Social_CameraPose2	118112	118113	118114	118115	118116	118117	118118	118119	118120	false	-1			0		0	0	0	0	0	0	0	0	0	0	
13	118121	23	Social_CameraPose3	118122	118123	118124	118125	118126	118127	118128	118129	118130	false	-1			0		0	0	0	0	0	0	0	0	0	0	
19	118191	10	Social_Dance05_BB	118192	118193	118194	118195	118196	118197	118198	118199	118200	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
20	118201	13	Social_Dance06_BB	118202	118203	118204	118205	118206	118207	118208	118209	118210	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
23	118141	13	Social_Dance04	118142	118143	118144	118145	118146	118147	118148	118149	118150	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
25	118220	22	Social_Salute	118221	118220	118222	118223	118224	118225	118226	118227	118228	false	-1			2		0	0	0	0	0	0	0	0	0	0	
26	118231	18	Social_Dance07_GangnamStyle	118232	118233	118222	118223	118224	118225	118226	118227	118234	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
27	118235	26	Social_HeartKiss	118236	118237	118222	118223	118224	118225	118226	118227	118238	false	-1			2		0	0	0	0	0	0	0	0	0	0	
29	118243	19	Social_Dance08_Gentleman_01	118244	118245	118222	118223	118224	118225	118226	118227	118246	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
30	118247	20	Social_Dance08_Gentleman_02	118248	118249	118222	118223	118224	118225	118226	118227	118250	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
31	118251	28	Social_Worship_Target	118252	118253	118254	118255	118224	118225	118226	118227	118256	false	-1			0		0	0	0	0	0	0	0	0	0	0	
32	118257	29	Social_Chair01_Start	118258	118259	118222	118223	118224	118225	118226	118227	118263	false	-1			4		1	1800	4	180	Social_Chair	0	0	0	0	0	
33	118260	30	Social_Chair02_Start	118261	118262	118222	118223	118224	118225	118226	118227	118264	false	-1			4		1	1800	4	180	Social_Chair	0	0	0	0	0	
34	0	0	Social_Chair01_ChangeAction	0	0	0	0	0	0	0	0	0	false	-1			4		1	1800	4	180	Social_Chair	0	0	0	0	0	
35	0	0	Social_Chair02_ChangeAction	0	0	0	0	0	0	0	0	0	false	-1			4		1	1800	4	180	Social_Chair	0	0	0	0	0	
36	0	0	Social_Chair01_Command	0	0	0	0	0	0	0	0	0	false	-1			4		1	1800	4	180	Social_Chair	0	0	0	0	0	
37	0	0	Social_Chair02_Command	0	0	0	0	0	0	0	0	0	false	-1			4		1	1800	4	180	Social_Chair	0	0	0	0	0	
38	1000073928	32		0	0	0	0	0	0	0	0	8969	true	0			3		0	0	0	0	0	0	0	0	0	0	
39	110012	31	Social_sweep	110013	110012	0	0	0	0	0	0	118019	false	-1			0	Social_Pet_Laugh01	0	0	0	0	0	0	0	0	0	0	
40	110012	31	Social_Stretching	0	0	0	0	0	0	0	0	0	false	-1			0		0	0	0	0	0	0	0	0	0	0	
41	110801	33	Social_Dance_Exile(choochootrain)	110802	110804	118222	118223	118224	118225	118226	118227	110803	false	-1			0	Social_Pet_Dance01	0	0	0	0	0	0	0	0	0	0	
42	9524	34	Social_Clap	0	0	0	0	0	0	0	0	9526	true	0			0		0	0	0	0	0	0	0	0	0	0	
43	9525	35	Social_Water	0	0	0	0	0	0	0	0	9527	true	0			0		0	0	0	0	0	0	0	0	0	0	
44	118269	38	Social_Heart	118270	118272	118273	118223	118224	118225	118226	118227	118271	false	-1			0		0	0	0	0	0	0	0	0	0	0	
45	118274	37	Social_CrabDance	118275	118218	118222	118223	118224	118225	118226	118227	118276	false	-1			0		0	0	0	0	0	0	0	0	0	0	
46	118277	36	Social_Dozing_Start	118278	118280	118281	118223	118224	118225	118226	118227	118279	false	-1			0		0	0	0	0	0	0	0	0	0	0	
47	118282	39	Social_Heart_Gag	118283	118272	118222	118223	118224	118225	118226	118227	118284	false	-1			0		0	0	0	0	0	0	0	0	0	0	
48	118285	40	Social_RunInPlace_Start	118286	118218	118222	118223	118224	118225	118226	118227	118287	false	-1			0		0	0	0	0	0	0	0	0	0	0	
50	118307	42	Social_Shy	118305	118218	118222	118223	118224	118225	118226	118227	118306	false	-1			0		0	0	0	0	0	0	0	0	0	0	
51	118311	43	Social_Christmas	118312	118218	118222	118223	118224	118225	118226	118227	118313	false	-1			0		0	0	0	0	0	0	0	0	0	0	
52	118314	44	Social_Rolling	118315	118218	118222	118223	118224	118225	118226	118227	118316	false	-1			0		0	0	0	0	0	0	0	0	0	0	
53	118367	45	Social_PlayDead02_Start	118368	118181	118222	118223	118224	118225	118226	118227	118369	false	-1			0		0	0	0	0	0	0	0	0	0	0	
56	118370	46	Social_ComicSignal	118371	118373	118374	118218	118222	118223	118224	118225	118372	false	-1			0		0	0	0	0	0	0	0	0	0	0	
57	118380	8	Social_Summer_InterAction	118381	118383	118222	118223	118224	118225	118226	118227	118382	false	-1			4	Social_Pet_Dance01	4	1800	4	180	Social_Summer_InterAction	3	0	0	0	0	
