ROWID	_slotID|INTEGER	_slotPage|INTEGER	_LevelLimit|INTEGER	_slotType|INTEGER	_isCash|BOOLEAN	_OpenDescriptionID|INTEGER
1	5	0	10	1	false	1000017579
2	6	0	14	1	false	1000017579
3	7	0	18	1	false	1000017579
4	8	0	22	1	false	1000017579
5	9	0	26	1	false	1000017579
6	10	0	30	1	false	1000017579
7	11	0	34	1	false	1000017579
8	12	0	38	1	false	1000017579
101	1	0	16	2	false	1000017580
102	2	0	24	2	false	1000017580
103	4	0	32	2	false	1000017580
104	3	0	40	2	false	1000017580
111	0	0	10	3	false	1000017581
121	13	0	1	4	true	1000033360
123	14	0	1	4	true	1000033360
124	15	0	1	4	true	1000033360
201	16	0	60	5	false	1000053046
202	17	0	60	5	false	1000053046
203	18	0	60	5	false	1000053046
204	19	0	60	5	false	1000053046
301	100	0	1	6	false	1000068780
