ROWID	_Activate|INTEGER	_CategoryMID|INTEGER	_CategoryOrder|INTEGER	_SubCategoryMID|INTEGER	_SubCategoryOrder|INTEGER	_TitleMID|INTEGER	_SubTitleMID|INTEGER	_TipMID|INTEGER	_JobID|TEXT	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN	_CounterParam|INTEGER	_MailID|INTEGER	_GuideImage01|TEXT	_GuideImage02|TEXT	_GuideImage03|TEXT	_GuideImage04|TEXT	_GuideImage05|TEXT	_HelpID|INTEGER
444	1	1000174784	1	1000152306	101	1000175176	1000152314	1000152318	0	3	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6365	1_101_StageAndFatigue.dds	0	0	0	0	86
445	1	1000174784	1	3078	102	1000175177	1000151550	1000152744	0	73	84	10401	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6366	1_102_Chat.dds	0	0	0	0	0
446	1	1000174784	1	1000121408	103	1000175178	1000151549	1000151910	0	24	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6367	1_103_Gesture.dds	1_102_2.dds	1_102_3.dds	0	0	0
447	1	1000174784	1	1000175091	104	1000175179	1000175172	1000175330	0	6	13	268494500	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6368	1_104_EquipItem.dds	0	0	0	0	0
448	1	1000174784	1	4501	105	1000175180	1000175173	1000175331	0	6	13	805312547	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6369	1_105_EquipCostume.dds	0	0	0	0	0
449	1	1000174784	1	2181	106	1000175181	1000175174	1000175332	0	5	13	536879769	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6370	1_106_HPRecovery.dds	0	0	0	0	0
450	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152748	1;11;12;23;24;25;26	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Warrior_1.dds	1_112_Warrior_2.dds	0	0	0
451	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152749	2;14;15;29;30;31;32	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Archer_1.dds	1_112_Archer_2.dds	0	0	0
452	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152750	3;17;18;35;36;37;38	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Sorceress_1.dds	1_112_Sorceress_2.dds	0	0	0
453	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152751	4;20;22;41;42;43;44	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Cleric_1.dds	1_112_Cleric_2.dds	0	0	0
454	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152752	5;46;47;48;49;50;51	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Academic_1.dds	1_112_Academic_2.dds	0	0	0
455	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152753	6;54;55;56;57;58;59	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Carly_1.dds	1_112_Carly_2.dds	0	0	0
456	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152754	7;62;63;64;67;68;69	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Assassin_1.dds	1_112_Assassin_2.dds	0	0	0
457	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152755	8;72;73;74;92;93;94	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Lensia_1.dds	1_112_Lensia_2.dds	0	0	0
458	1	1000174784	1	1000150013	107	1000175182	1000151555	1000152756	9;77;78;79;95;96;97	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6371	jobchange_1.dds	1_112_Machina_1.dds	1_112_Machina_2.dds	0	0	0
459	1	1000174784	1	1000150013	107	1000175182	1000151555	1000164740	201;100;101;102;103;104;105	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6386	Job_Van1.dds	0	0	0	0	0
460	1	1000174784	1	1000175092	108	1000175183	1000175175	1000175333	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97;75;76;80;81;84;85;82;83;86;87;88;89;90;91;98;99	12	10	70	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6372	1_108_Airship.dds	0	0	0	0	0
461	1	1000174784	1	1000151493	109	1000175184	1000151571	1000151937	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97	1	1	45	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6373	2_214_1.dds	0	0	0	0	0
443	1	1000174784	1	1000151493	107	1000175184	1000151571	1000151937	75;76;80;81;82;83;84;85;86;87;88;89;90;91;98;99	1	1	45	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6510	2_214_1.dds	0	0	0	0	0
462	1	1000174784	1	1000151495	110	1000175185	1000151573	1000152759	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97;75;76;80;81;84;85;82;83;86;87;88;89;90;91;98;99	22	93	2	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6374	jobchange_2.dds	2_215_1.dds	2_215_2.dds	0	0	0
463	1	1000174784	1	1000151495	108	1000175395	1000151573	1000164772	201;100;101;102;103;104;105	22	93	2	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6387	Job_Van2.dds	0	0	0	0	0
464	1	1000174784	1	1000151501	111	1000175186	1000151587	1000154670	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97;75;76;80;81;84;85;82;83;86;87;88;89;90;91;98;99	1	1	90	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6375	3_315_1.dds	0	0	0	0	0
465	1	1000174784	1	382	112	1000175187	1000151588	1000151979	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97;75;76;80;81;84;85;82;83;86;87;88;89;90;91;98;99	83	103	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6376	3_316_1.dds	3_316_2.dds	0	0	0	0
466	1	1000174784	1	382	109	1000175396	1000151588	1000164773	201;100;101;102;103;104;105	83	103	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6388	Van_modawak.dds	Van_modawak_2.dds	0	0	0	0
467	1	1000174784	1	1000151503	113	1000175188	1000151591	1000151981	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97;75;76;80;81;84;85;82;83;86;87;88;89;90;91;98;99	1	1	95	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6377	4_401_1.dds	0	0	0	0	0
468	1	1000174784	1	1000151503	115	1000175397	1000151591	1000151981	201;100;101;102;103;104;105	1	1	95	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6483	Van_modawak.dds	0	0	0	0	0
469	1	1000174784	1	1000175093	117	1000175189	1000175283	1000175334	1;11;12;23;24;25;26;2;14;15;29;30;31;32;3;17;18;35;36;37;38;4;20;22;41;42;43;44;5;46;47;48;49;50;51;6;54;55;56;57;58;59;7;62;63;64;67;68;69;8;72;73;74;92;93;94;9;77;78;79;95;96;97;75;76;80;81;84;85;82;83;86;87;88;89;90;91;98;99	13	20	5362	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6378	Growup_Graduate.dds	0	0	0	0	0
470	1	1000174784	1	1000175093	117	1000175189	1000175283	1000175334	201;100;101;102;103;104;105	13	20	5362	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6378	Growup_Graduate.dds	0	0	0	0	0
471	1	1000174785	2	8001	201	1000175190	1000175284	1000151970	0	13	20	5366	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6389	2_201_EnchantItem.dds	0	0	0	0	75
472	1	1000174785	2	1000175096	202	1000175191	1000175285	1000175335	0	13	20	5368	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6390	2_202_Stageclear_1.dds	0	0	0	0	0
473	1	1000174785	2	1000175097	203	1000175192	1000175286	1000175336	0	13	20	5370	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6391	2_203_Stageclear_2.dds	0	0	0	0	0
474	1	1000174785	2	1000149995	204	1000175193	1000175287	1000175337	0	13	20	5372	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6392	2_204_BuyEmblem.dds	0	0	0	0	65
475	1	1000174785	2	1000151486	205	1000175194	1000175288	1000175338	0	13	20	5374	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6393	2_205_EquipEmblem.dds	0	0	0	0	0
476	1	1000174785	2	1000175098	206	1000175195	1000175289	1000175339	0	13	20	5376	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6394	2_206_Stageclear_3.dds	0	0	0	0	0
477	1	1000174785	2	1000175099	207	1000175196	1000175290	1000175340	0	13	20	5378	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6395	2_207_Stageclear_4.dds	0	0	0	0	0
478	1	1000174785	2	1000175171	208	1000175197	1000175291	1000175341	0	13	20	5380	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6396	2_208_UpgradeEmblem.dds	0	0	0	0	0
479	1	1000174785	2	1000175100	209	1000175198	1000175292	1000175342	0	13	20	5382	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6397	2_209_Stageclear_5.dds	0	0	0	0	0
480	1	1000174785	2	1000175101	210	1000175199	1000175293	1000175343	0	13	20	5384	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6398	2_210_Stageclear_6.dds	0	0	0	0	0
481	1	1000174785	2	1000151514	211	1000175200	1000151611	1000152332	0	13	20	5386	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6399	5_509_1.dds	5_509_2.dds	0	0	0	0
482	1	1000174785	2	1000175102	212	1000175201	1000175294	1000175344	0	13	20	5388	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6400	2_212_217_225_ManticoreNest.dds	0	0	0	0	228
483	1	1000174785	2	1000175103	213	1000175202	1000175295	1000175345	0	13	20	5390	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	6401	2_213_218_226_SurpentraNest.dds	0	0	0	0	214
