ROWID	_GuildLevel|INTEGER	_ReqGuildPoint|INTEGER	_MaxGuildPoint|INTEGER	_DailyGuildPointLimit|INTEGER	_DailyMissionPointLimit|INTEGER	_IsApplicable|BOOLEAN	_ReqGold|INTEGER
1	1	0	5000000	8000	3000	true	10000
2	2	2325	5000000	8000	3000	true	0
3	3	4359	5000000	8000	3000	true	0
4	4	6781	5000000	8000	3000	true	0
5	5	9591	5000000	8000	3000	true	0
6	6	12788	5000000	16000	8000	true	0
7	7	16372	5000000	16000	8000	true	0
8	8	20344	5000000	16000	8000	true	0
9	9	23250	5000000	16000	8000	true	0
10	10	26350	5000000	16000	8000	true	0
11	11	29644	5000000	22500	15000	true	0
12	12	33131	5000000	22500	15000	true	0
13	13	36813	5000000	22500	15000	true	0
14	14	40688	5000000	22500	15000	true	0
15	15	44756	5000000	22500	15000	true	0
16	16	49019	5000000	36000	24000	true	0
17	17	53475	5000000	36000	24000	true	0
18	18	58125	5000000	36000	24000	true	0
19	19	62969	5000000	36000	24000	true	0
20	20	68006	5000000	36000	24000	true	0
21	21	73238	5000000	40000	30000	true	0
22	22	130200	5000000	40000	30000	true	0
23	23	151900	5000000	40000	30000	true	0
24	24	173600	5000000	40000	30000	true	0
25	25	195300	5000000	40000	30000	true	0
26	26	217000	5000000	40000	30000	true	0
27	27	238700	5000000	40000	30000	true	0
28	28	260400	5000000	40000	30000	true	0
29	29	282100	5000000	40000	30000	true	0
30	30	303800	5000000	40000	30000	true	0
31	31	956970	5000000	50000	40000	true	0
32	32	1222795	5000000	50000	40000	true	0
33	33	1519190	5000000	50000	40000	true	0
34	34	1849670	5000000	50000	40000	true	0
35	35	2218156	5000000	50000	40000	true	0
36	36	2629017	5000000	50000	40000	true	0
37	37	3087127	5000000	50000	40000	true	0
38	38	3597921	5000000	50000	40000	true	0
39	39	4167455	5000000	50000	40000	true	0
40	40	4802486	5000000	55000	45000	true	0
41	41	0	0	55000	45000	false	0
42	42	0	0	55000	45000	false	0
43	43	0	0	55000	45000	false	0
44	44	0	0	55000	45000	false	0
45	45	0	0	55000	45000	false	0
46	46	0	0	55000	45000	false	0
47	47	0	0	55000	45000	false	0
48	48	0	0	55000	45000	false	0
49	49	0	0	55000	45000	false	0
50	50	0	0	55000	45000	false	0
